"ID","localizedTextId","iconName","accountItemId"
1,723872,"IconSprites:Icon_ItemMisc_UI_Item_CREDD",0
2,723873,"IconSprites:Icon_ItemMisc_Icon_Store_RealmTransf_smll",0
3,723874,"IconSprites:Icon_ItemMisc_Icon_Store_Character_Rename_Small",31
4,723887,"",0
5,723888,"IconSprites:Icon_Windows16_UI_CRB_Coin_Fortune",535
6,723889,"IconSprites:Icon_Windows_UI_CRB_Coin_OmniBit",85
7,723890,"IconSprites:Icon_Windows_UI_CRB_Coin_NCoin",579
8,723891,"IconSprites:Icon_Windows16_UI_CRB_Coin_Loyalty",125
9,723892,"IconSprites:Icon_Windows_UI_CRB_Coin_ServiceToken",165
11,742607,"IconSprites:Icon_Windows_UI_CRB_Coin_ProtoBuck",769
12,743794,"IconSprites:Icon_Windows16_UI_CRB_Coin_GiantPoint",831
13,757232,"IconSprites:Icon_Windows_UI_CRB_Coin_MaxLevelToken",2155
14,759004,"IconSprites:Icon_ItemMisc_letter_0004",2389
15,765444,"IconSprites:Icon_Windows_UI_Coin_Essence_Red",2764
16,765445,"IconSprites:Icon_Windows_UI_Coin_Essence_Blue",2765
17,765446,"IconSprites:Icon_Windows_UI_Coin_Essence_Green",2766
18,765447,"IconSprites:Icon_Windows_UI_Coin_Essence_Purple",2767
