"ID","flags","item2Id","entitlementId","entitlementCount","entitlementScopeEnum","instantEventEnum","accountCurrencyEnum","accountCurrencyAmount","buttonIcon","prerequisiteId","accountItemCooldownGroupId","storeDisplayInfoId","storeIdentifierUpsell","creature2DisplayGroupIdGacha","entitlementIdPurchase","genericUnlockSetId"
1,0,175,0,1,0,0,0,0,"",22,0,0,"",0,0,0
2,0,0,1,1,0,0,0,0,"",0,0,0,"",0,0,0
3,0,0,2,1,0,0,0,0,"",0,0,0,"",0,0,0
4,3,175,0,1,0,0,0,0,"",22,0,0,"",0,0,0
5,0,0,0,1,0,1,0,0,"",0,0,0,"",0,0,0
6,0,0,4,1,2,0,0,0,"",0,0,0,"",0,0,0
7,0,0,5,1,2,0,0,0,"",0,0,0,"",0,0,0
8,3,40687,0,1,0,0,0,0,"",33245,0,0,"",0,0,0
9,3,40689,0,1,0,0,0,0,"",33391,0,0,"",0,0,0
10,3,40611,0,1,0,0,0,0,"",39786,0,0,"",0,0,0
11,3,40688,0,1,0,0,0,0,"",33392,0,0,"",0,0,0
12,3,41249,0,1,0,0,0,0,"",39785,0,0,"",0,0,0
13,3,40691,0,1,0,0,0,0,"",39783,0,0,"",0,0,0
14,3,41024,0,1,0,0,0,0,"",33307,0,0,"",0,0,0
15,3,38783,0,1,0,0,0,0,"",33395,0,0,"",0,0,0
16,3,40690,0,1,0,0,0,0,"",33393,0,0,"",0,0,0
17,3,41754,0,1,0,0,0,0,"",33394,0,0,"",0,0,0
18,3,19183,0,1,0,0,0,0,"",33306,0,0,"",0,0,0
19,3,42439,0,1,0,0,0,0,"",39787,0,0,"",0,0,0
20,0,0,6,1,0,0,0,0,"",0,0,0,"",0,0,0
21,0,0,7,1,0,0,0,0,"",0,0,0,"",0,0,0
22,0,0,0,1,0,0,1,1,"Icon_ItemMisc_UI_Item_CREDD",0,0,0,"",0,0,0
23,0,0,8,1,0,0,0,0,"",0,0,0,"",0,0,0
24,3,42367,0,1,0,0,0,0,"",39781,0,0,"",0,0,0
25,1,0,9,1,2,0,0,0,"Icon_Modifier_xp_001",0,0,0,"",0,0,0
26,1,0,10,1,2,0,0,0,"",0,0,0,"",0,0,0
27,0,17193,0,1,0,0,0,0,"",0,1,0,"",0,0,0
28,2,7964,0,1,0,0,0,0,"",0,1,0,"",0,0,0
29,1,44359,0,1,0,0,0,0,"",0,3,0,"",0,0,0
30,0,0,0,1,0,0,2,1,"IconSprites:Icon_ItemMisc_Icon_Store_RealmTransf_smll",0,0,334,"",0,0,0
31,0,0,0,1,0,0,3,1,"IconSprites:Icon_ItemMisc_Icon_Store_Character_Rename_Small",0,0,159,"",0,0,0
32,1,0,12,10,2,0,0,0,"",0,0,0,"",0,0,0
33,1,0,14,1,2,0,0,0,"",0,0,0,"",0,0,0
34,1,0,15,1,2,0,0,0,"",0,0,0,"",0,0,0
35,1,0,16,1,2,0,0,0,"",0,0,0,"",0,0,0
36,1,0,17,1,2,0,0,0,"",0,0,0,"",0,0,0
37,1,0,18,1,2,0,0,0,"",0,0,0,"",0,0,0
38,1,0,19,1,2,0,0,0,"",0,0,0,"",0,0,0
40,3,45908,0,1,0,0,0,0,"IconSprites:Icon_ItemMisc_Cog",30313,0,0,"",0,0,0
41,3,47854,0,1,0,0,0,0,"",0,0,0,"",0,0,0
42,3,44114,0,1,0,0,0,0,"",33287,0,0,"",0,0,0
43,3,47966,0,1,0,0,0,0,"",30313,0,0,"",0,0,0
44,3,48894,0,1,0,0,0,0,"",33969,0,0,"",0,0,0
45,1,0,20,1,2,0,0,0,"",0,0,0,"",0,0,0
46,3,49444,0,1,0,0,0,0,"Icon_ItemMisc_UI_Item_SquirgHat",0,0,0,"",0,0,0
47,3,44115,0,1,0,0,0,0,"",35366,0,0,"",0,0,0
48,3,49642,0,1,0,0,0,0,"IconSprites:Icon_ItemArmor_Light_Armor_Helm_02",0,0,0,"",0,0,0
49,3,49643,0,1,0,0,0,0,"IconSprites:Icon_ItemArmor_Medium_Armor_Chest_04",0,0,0,"",0,0,0
50,3,49644,0,1,0,0,0,0,"IconSprites:Icon_ItemArmor_Medium_Armor_Pants_04",0,0,0,"",0,0,0
51,3,49645,0,1,0,0,0,0,"IconSprites:Icon_ItemArmorHands_UI_Item_Arcane_Glove_001",0,0,0,"",0,0,0
52,3,49646,0,1,0,0,0,0,"IconSprites:Icon_ItemArmor_Light_Armor_Boots_03",0,0,0,"",0,0,0
53,3,49654,0,1,0,0,0,0,"IconSprites:Icon_ItemMisc_chair_interior",0,0,1938,"",0,0,0
54,3,49655,0,1,0,0,0,0,"IconSprites:Icon_ItemMisc_Table_medium",0,0,1939,"",0,0,0
55,3,49656,0,1,0,0,0,0,"IconSprites:Icon_ItemMisc_Table_lamp",0,0,1940,"",0,0,0
