"ID","achievementId","bit","objectId","objectIdAlt","prerequisiteId","prerequisiteIdAlt"
592,940,0,0,0,0,0
593,940,1,0,0,0,0
594,940,2,0,0,0,0
595,940,3,0,0,0,0
596,940,4,0,0,0,0
641,1059,2,5040,0,0,0
642,1060,0,5054,0,0,0
643,1060,1,5056,0,0,0
644,1060,2,5057,0,0,0
645,1061,0,5108,0,0,0
646,1061,1,5107,0,0,0
647,1061,2,5109,0,0,0
648,1061,3,5110,0,0,0
649,1061,5,5111,0,0,0
650,1061,6,5112,0,0,0
653,1130,0,5421,0,0,0
654,1130,1,5422,0,0,0
655,1130,2,5423,0,0,0
656,1061,4,5314,0,0,0
657,1143,0,5343,0,0,0
658,1143,1,5344,0,0,0
659,1143,2,5347,0,0,0
660,1143,3,5348,0,0,0
661,1143,5,5349,0,0,0
662,1143,6,5350,0,0,0
663,1143,4,5353,0,0,0
664,1143,7,5352,0,0,0
668,1144,0,5355,0,0,0
669,1144,1,5356,0,0,0
670,1144,2,5357,0,0,0
672,1144,3,5360,0,0,0
674,1144,4,5362,0,0,0
675,1144,5,5363,0,0,0
676,1145,0,5393,0,0,0
677,1145,2,5478,0,0,0
678,1145,1,5396,0,0,0
679,1145,3,5397,0,0,0
680,1145,4,5398,0,0,0
681,1145,5,5395,0,0,0
695,1161,0,5171,0,0,0
696,1161,1,5178,0,0,0
697,1161,2,5209,0,0,0
701,1164,0,5504,0,0,0
702,1164,1,5505,0,0,0
703,1164,2,5506,0,0,0
704,1164,3,5507,0,0,0
707,1231,0,6216,0,0,0
708,1231,1,6217,0,0,0
740,0,0,5355,0,0,0
741,0,1,5356,0,0,0
742,0,2,5357,0,0,0
743,0,3,5360,0,0,0
744,0,4,5361,0,0,0
745,0,5,5362,0,0,0
746,0,6,5363,0,0,0
747,1243,0,5539,0,0,0
748,1243,1,5540,0,0,0
749,1243,2,5541,0,0,0
750,1243,3,5542,0,0,0
751,0,0,5539,0,0,0
752,0,1,5540,0,0,0
753,0,2,5541,0,0,0
754,0,3,5542,0,0,0
755,1244,0,5544,0,0,0
756,0,0,5045,0,0,0
757,1246,4,5578,0,0,0
758,0,0,5655,0,0,0
759,1247,5,5655,0,0,0
760,0,0,5655,0,0,0
761,1248,5,5724,0,0,0
779,0,0,0,0,0,0
783,0,0,1298,0,0,0
784,0,1,1299,0,0,0
785,0,2,1300,0,0,0
789,0,0,1306,0,0,0
790,0,1,1307,0,0,0
791,0,2,1308,0,0,0
796,0,0,1301,0,0,0
797,0,1,1302,0,0,0
798,0,2,1303,0,0,0
799,0,3,1304,0,0,0
805,0,0,14595,0,0,0
806,0,1,14596,0,0,0
807,0,2,14597,0,0,0
808,0,3,14598,0,0,0
809,0,4,14599,0,0,0
810,0,5,14600,0,0,0
811,0,6,14601,0,0,0
812,0,7,14602,0,0,0
813,0,8,14603,0,0,0
814,0,9,14604,0,0,0
815,0,10,14605,0,0,0
816,0,11,14606,0,0,0
817,0,12,14608,0,0,0
818,0,13,14609,0,0,0
819,0,14,14610,0,0,0
820,0,15,14611,0,0,0
825,0,0,5504,0,0,0
826,0,1,5505,0,0,0
827,0,2,5506,0,0,0
828,0,3,5507,0,0,0
829,1386,0,1321,0,0,0
830,1424,0,3165,0,0,0
831,0,0,5416,0,0,0
832,1425,0,5416,0,0,0
833,0,0,5420,0,0,0
834,1427,0,5420,0,0,0
835,0,0,3479,0,0,0
836,1432,0,3479,0,0,0
837,0,0,3479,0,0,0
838,0,0,3479,0,0,0
839,1433,0,3479,0,0,0
840,1434,0,3479,0,0,0
841,0,0,5547,0,0,0
842,1437,0,5823,0,0,0
843,1437,1,5824,0,0,0
844,1437,2,5825,0,0,0
845,1437,3,5826,0,0,0
846,1437,4,5827,0,0,0
847,0,0,5823,0,0,0
848,0,1,5824,0,0,0
849,0,2,5825,0,0,0
850,0,3,5826,0,0,0
851,0,4,5827,0,0,0
852,0,0,14838,0,0,0
853,0,1,15004,0,0,0
854,0,2,15011,0,0,0
855,0,3,15018,0,0,0
874,0,0,14908,0,0,0
875,0,1,14915,0,0,0
876,0,2,14922,0,0,0
877,0,3,14929,0,0,0
878,0,4,14936,0,0,0
879,0,5,14943,0,0,0
886,0,0,5897,0,0,0
887,1513,3,5897,0,0,0
888,1514,3,5898,0,0,0
889,0,0,5854,0,0,0
890,1516,5,5854,0,0,0
891,0,0,5832,0,0,0
892,0,1,5833,0,0,0
893,0,2,5834,0,0,0
894,0,3,5835,0,0,0
895,0,4,5836,0,0,0
896,0,5,5841,0,0,0
897,1517,0,5832,0,0,0
898,1517,1,5833,0,0,0
899,1517,2,5834,0,0,0
900,1517,3,5835,0,0,0
901,1517,4,5836,0,0,0
902,1517,5,5841,0,0,0
903,0,0,5996,0,0,0
904,0,1,5999,0,0,0
905,0,2,6002,0,0,0
906,0,0,1281,0,0,0
907,0,1,1282,0,0,0
908,0,2,1283,0,0,0
909,0,3,1284,0,0,0
917,1516,1,5850,0,0,0
918,1516,2,5851,0,0,0
919,1516,3,5852,0,0,0
920,1516,4,5853,0,0,0
921,1516,0,5849,0,0,0
927,0,0,0,0,0,0
937,1059,0,5039,0,0,0
938,1059,1,5162,0,0,0
939,1059,4,5041,0,0,0
940,1059,3,5044,0,0,0
941,1059,5,5045,0,0,0
942,0,0,5040,0,0,0
943,0,1,5039,0,0,0
944,0,2,5162,0,0,0
945,0,3,5041,0,0,0
946,0,4,5044,0,0,0
947,0,5,5045,0,0,0
949,1623,0,5026,0,0,0
950,1623,1,5260,0,0,0
1007,1186,0,5774,0,0,0
1008,1186,1,5779,0,0,0
1009,1186,2,5782,0,0,0
1046,1227,0,2595,0,0,0
1047,1227,1,2596,0,0,0
1049,1231,2,6218,0,0,0
1077,1230,0,33213,0,0,0
1078,1230,1,33214,0,0,0
1079,1641,0,2583,0,0,0
1080,1641,1,2584,0,0,0
1081,1641,2,2585,0,0,0
1092,0,0,5054,0,0,0
1093,0,1,5056,0,0,0
1094,0,2,5057,0,0,0
1095,1720,0,6167,0,0,0
1096,0,0,5823,0,0,0
1097,0,1,5824,0,0,0
1098,0,2,5825,0,0,0
