"ID","localizedTextId"
2,730548
3,730549
4,730550
5,730551
6,730552
7,730576
8,730577
9,730578
10,730579
11,730580
12,730581
13,730582
14,735516
15,735517
16,735518
17,735519
18,735520
19,735521
20,735522
21,735523
22,735524
23,735531
24,735534
25,735535
26,752950
27,752951
28,752952
29,752953
30,752954
31,752955
32,752956
33,753082
34,753083
35,753084
36,753085
37,762717
38,762718
39,762719
40,762720
41,762721
42,762722
43,762723
44,762724
45,762725
46,762726
47,762728
48,762729
49,766521
50,766522
51,766523
52,771309
53,771310
54,771311
55,771312
56,771313
