"ID","shortcutType00","shortcutType01","shortcutType02","shortcutType03","shortcutType04","shortcutType05","shortcutType06","shortcutType07","shortcutType08","shortcutType09","shortcutType10","shortcutType11","objectId00","objectId01","objectId02","objectId03","objectId04","objectId05","objectId06","objectId07","objectId08","objectId09","objectId10","objectId11"
1,3,6,7,0,0,0,0,0,0,0,0,0,8,22465,22466,0,0,0,0,0,0,0,0,0
2,6,6,6,3,0,0,0,0,0,0,0,0,1357,140,2944,8,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3116,0,0,0,0,0,0,0,0,0
5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0,0
6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3185,3187,0,0,0,0,0,0,0,0
7,0,6,0,0,0,0,0,0,0,0,0,0,0,3217,0,0,0,0,0,0,0,0,0,0
8,0,6,0,1,0,0,0,0,0,0,0,0,0,3353,0,4183,0,0,0,0,0,0,0,0
9,0,6,0,0,0,0,0,0,0,0,0,0,0,3635,0,0,0,0,0,0,0,0,0,0
10,6,6,6,0,0,0,0,0,0,0,0,0,4052,4053,4054,0,0,0,0,0,0,0,0,0
11,6,6,0,0,0,0,0,0,0,0,0,0,4381,4543,0,0,0,0,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,0,0,0,0
13,6,6,6,6,0,0,0,0,0,0,0,0,5948,4411,4413,4414,0,0,0,0,0,0,0,0
16,6,0,0,0,0,0,0,0,0,0,0,0,4632,0,0,0,0,0,0,0,0,0,0,0
18,0,6,0,0,0,0,0,0,0,0,0,0,0,4148,0,0,0,0,0,0,0,0,0,0
19,6,6,3,0,0,0,0,0,0,0,0,0,5284,5321,8,0,0,0,0,0,0,0,0,0
20,0,6,0,0,0,0,0,0,0,0,0,0,0,5349,0,0,0,0,0,0,0,0,0,0
22,6,6,6,0,0,0,0,0,0,0,0,0,5476,5477,5478,0,0,0,0,0,0,0,0,0
23,6,6,0,0,0,0,0,0,0,0,0,0,5474,5475,0,0,0,0,0,0,0,0,0,0
24,6,6,6,0,0,0,0,0,0,0,0,0,5533,5534,5535,0,0,0,0,0,0,0,0,0
25,6,6,0,0,0,0,0,0,0,0,0,0,5839,5840,0,0,0,0,0,0,0,0,0,0
26,6,6,0,0,0,0,0,0,0,0,0,0,5924,5843,0,0,0,0,0,0,0,0,0,0
27,6,6,0,0,0,0,0,0,0,0,0,0,5847,5848,0,0,0,0,0,0,0,0,0,0
28,6,6,0,0,0,0,0,0,0,0,0,0,5940,4443,0,0,0,0,0,0,0,0,0,0
29,6,0,0,0,0,0,0,0,0,0,0,0,5974,0,0,0,0,0,0,0,0,0,0,0
30,6,0,0,0,0,0,0,0,0,0,0,0,6020,0,0,0,0,0,0,0,0,0,0,0
31,6,0,0,0,0,0,0,0,0,0,0,0,6022,0,0,0,0,0,0,0,0,0,0,0
32,6,0,0,0,0,0,0,0,0,0,0,0,6024,0,0,0,0,0,0,0,0,0,0,0
33,6,0,0,0,0,0,0,0,0,0,0,0,6039,0,0,0,0,0,0,0,0,0,0,0
34,6,0,0,0,0,0,0,0,0,0,0,0,6046,0,0,0,0,0,0,0,0,0,0,0
35,6,0,0,0,0,0,0,0,0,0,0,0,6049,0,0,0,0,0,0,0,0,0,0,0
36,6,0,0,0,0,0,0,0,0,0,0,0,6047,0,0,0,0,0,0,0,0,0,0,0
37,6,0,0,0,0,0,0,0,0,0,0,0,6052,0,0,0,0,0,0,0,0,0,0,0
38,6,0,0,0,0,0,0,0,0,0,0,0,6056,0,0,0,0,0,0,0,0,0,0,0
39,6,0,0,0,0,0,0,0,0,0,0,0,6050,0,0,0,0,0,0,0,0,0,0,0
40,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6029,6086,6087,0,0,0,0,0,0,0
41,6,6,6,0,0,0,0,0,0,0,0,0,6237,6238,6239,0,0,0,0,0,0,0,0,0
42,6,6,6,6,6,0,0,0,0,0,0,0,6029,6086,6087,6284,6285,0,0,0,0,0,0,0
43,6,6,0,0,0,0,0,0,0,0,0,0,6237,6238,0,0,0,0,0,0,0,0,0,0
44,6,0,0,0,0,0,0,0,0,0,0,0,6326,0,0,0,0,0,0,0,0,0,0,0
45,6,0,0,0,0,0,0,0,0,0,0,0,6521,0,0,0,0,0,0,0,0,0,0,0
47,6,0,0,0,0,0,0,0,0,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0
49,6,6,6,6,0,0,0,0,0,0,0,0,6906,6907,6908,6905,0,0,0,0,0,0,0,0
50,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,7023,7024,7025,0,0,0,0,0,0
51,6,6,6,0,0,0,0,0,0,0,0,0,7070,7071,7088,0,0,0,0,0,0,0,0,0
52,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6,6,6,0,0,0,0,0,0,0,0,0,7162,7163,7164,0,0,0,0,0,0,0,0,0
54,0,0,6,6,6,6,0,0,0,0,0,0,0,0,7181,7186,7187,16961,0,0,0,0,0,0
55,6,6,0,0,0,0,0,0,0,0,0,0,7088,8157,0,0,0,0,0,0,0,0,0,0
56,6,6,6,0,0,0,0,0,0,0,0,0,7070,7071,8157,0,0,0,0,0,0,0,0,0
57,6,6,6,0,0,0,0,0,0,0,0,0,8545,8448,8546,0,0,0,0,0,0,0,0,0
58,6,6,6,0,0,0,0,0,0,0,0,0,8549,8551,8550,0,0,0,0,0,0,0,0,0
59,6,6,6,0,0,0,0,0,0,0,0,0,8589,8444,8567,0,0,0,0,0,0,0,0,0
60,6,6,6,0,0,0,0,0,0,0,0,0,8434,8435,8436,0,0,0,0,0,0,0,0,0
61,6,0,0,0,0,0,0,0,0,0,0,0,8157,0,0,0,0,0,0,0,0,0,0,0
63,6,6,6,0,0,0,0,0,0,0,0,0,8229,8230,8231,0,0,0,0,0,0,0,0,0
64,6,6,6,0,0,0,0,0,0,0,0,0,8232,8233,8234,0,0,0,0,0,0,0,0,0
65,6,6,0,0,0,0,0,0,0,0,0,0,8214,8198,0,0,0,0,0,0,0,0,0,0
66,6,6,0,0,0,0,0,0,0,0,0,0,15052,8241,0,0,0,0,0,0,0,0,0,0
67,6,6,0,0,0,0,0,0,0,0,0,0,8260,8262,0,0,0,0,0,0,0,0,0,0
68,6,6,0,0,0,0,0,0,0,0,0,0,8236,8355,0,0,0,0,0,0,0,0,0,0
72,0,6,0,0,0,6,0,0,0,0,0,0,0,8414,0,0,0,8413,0,0,0,0,0,0
74,6,6,6,0,0,0,0,0,0,0,0,0,8552,8548,8553,0,0,0,0,0,0,0,0,0
75,6,6,6,0,0,0,0,0,0,0,0,0,8555,8554,8556,0,0,0,0,0,0,0,0,0
76,6,6,0,0,0,0,0,0,0,0,0,0,8620,8621,0,0,0,0,0,0,0,0,0,0
77,6,6,6,0,0,0,0,0,0,0,0,0,8545,8448,9052,0,0,0,0,0,0,0,0,0
78,6,6,6,0,0,0,0,0,0,0,0,0,8549,8551,9053,0,0,0,0,0,0,0,0,0
79,6,6,6,0,0,0,0,0,0,0,0,0,8589,8444,9056,0,0,0,0,0,0,0,0,0
80,6,6,6,0,0,0,0,0,0,0,0,0,8434,8435,9051,0,0,0,0,0,0,0,0,0
81,6,6,6,0,0,0,0,0,0,0,0,0,8552,8548,9054,0,0,0,0,0,0,0,0,0
82,6,6,6,0,0,0,0,0,0,0,0,0,8555,8554,9055,0,0,0,0,0,0,0,0,0
83,6,6,6,0,0,0,0,0,0,0,0,0,9598,9599,9600,0,0,0,0,0,0,0,0,0
86,6,6,6,0,0,0,0,0,0,0,0,0,10091,10092,10093,0,0,0,0,0,0,0,0,0
87,6,6,6,0,0,0,0,0,0,0,0,0,10246,10247,10248,0,0,0,0,0,0,0,0,0
88,6,6,6,6,0,0,0,0,0,0,0,0,10312,10313,10314,10315,0,0,0,0,0,0,0,0
90,6,6,0,0,0,0,0,0,0,0,0,0,14731,14732,0,0,0,0,0,0,0,0,0,0
91,6,6,0,0,0,0,0,0,0,0,0,0,18511,18668,0,0,0,0,0,0,0,0,0,0
92,6,6,0,0,0,0,0,0,0,0,0,0,18986,18987,0,0,0,0,0,0,0,0,0,0
94,6,6,0,0,0,0,0,0,0,0,0,0,20365,20366,0,0,0,0,0,0,0,0,0,0
96,6,6,0,0,0,0,0,0,0,0,0,0,22429,22430,0,0,0,0,0,0,0,0,0,0
97,6,6,0,0,0,0,0,0,0,0,0,0,22449,22450,0,0,0,0,0,0,0,0,0,0
99,6,0,0,0,0,0,0,0,0,0,0,0,22639,0,0,0,0,0,0,0,0,0,0,0
100,0,0,6,6,0,0,0,0,0,0,0,0,0,0,22772,22773,0,0,0,0,0,0,0,0
