"ID","archiveEntryId","archiveEntryUnlockRuleEnum","archiveEntryUnlockRuleFlags","object00","object01","object02","object03","object04","object05"
1,1,0,0,5,0,0,0,0,0
2,3,0,0,1049,0,0,0,0,0
3,4,0,0,1045,0,0,0,0,0
4,5,0,0,1051,0,0,0,0,0
5,5,1,0,811,0,0,0,0,0
6,6,0,0,1046,0,0,0,0,0
7,7,0,0,1047,0,0,0,0,0
8,8,2,0,3780,3667,9710,0,0,0
9,9,2,0,3766,3671,0,0,0,0
10,10,2,0,3770,3963,0,0,0,0
13,16,0,0,1385,0,0,0,0,0
14,17,0,0,1385,0,0,0,0,0
15,18,0,0,1389,0,0,0,0,0
16,19,0,0,1389,0,0,0,0,0
17,20,0,0,1393,0,0,0,0,0
18,21,0,0,1393,0,0,0,0,0
19,22,0,0,1391,0,0,0,0,0
20,23,0,0,1391,0,0,0,0,0
21,24,0,0,1394,0,0,0,0,0
22,25,0,0,1398,0,0,0,0,0
23,26,0,0,1400,0,0,0,0,0
24,27,0,0,1402,0,0,0,0,0
25,28,0,0,1404,0,0,0,0,0
26,29,0,0,1406,0,0,0,0,0
27,30,0,0,1408,0,0,0,0,0
28,31,0,0,1410,0,0,0,0,0
29,32,0,0,1410,0,0,0,0,0
30,33,0,0,1411,0,0,0,0,0
31,34,0,0,1413,0,0,0,0,0
32,35,0,0,1413,0,0,0,0,0
33,36,0,0,1415,0,0,0,0,0
34,37,0,0,1424,0,0,0,0,0
35,38,2,0,3165,0,0,0,0,0
36,39,0,0,1417,0,0,0,0,0
37,40,0,0,1419,0,0,0,0,0
38,41,0,0,1419,0,0,0,0,0
39,42,0,0,1421,0,0,0,0,0
40,43,0,0,1423,0,0,0,0,0
42,43,0,0,1427,0,0,0,0,0
43,45,2,0,3165,0,0,0,0,0
44,46,2,0,3165,0,0,0,0,0
45,47,2,0,3167,0,0,0,0,0
46,48,2,0,3395,0,0,0,0,0
47,49,2,0,3395,0,0,0,0,0
48,18,2,0,3165,0,0,0,0,0
49,19,2,0,3165,5358,0,0,0,0
50,50,0,0,1430,0,0,0,0,0
51,51,0,0,1430,0,0,0,0,0
52,52,0,0,1430,0,0,0,0,0
53,50,2,0,3479,0,0,0,0,0
54,51,2,0,3479,0,0,0,0,0
55,52,2,0,3479,0,0,0,0,0
56,53,1,0,71,0,0,0,0,0
57,54,1,0,70,0,0,0,0,0
58,55,1,0,0,0,0,0,0,0
59,0,1,0,0,0,0,0,0,0
