"ID","requiredAttributeAmount00","requiredAttributeAmount01","requiredAttributeAmount02","requiredAttributeAmount03","requiredAttributeAmount04","requiredAttributeAmount05","requiredAttributeAmount06","requiredAttributeAmount07","requiredAttributeAmount08","requiredAttributeAmount09"
5,30,120,300,600,1050,1680,0,0,0,0
6,30,120,300,600,1050,1680,0,0,0,0
7,30,120,300,600,1050,1680,0,0,0,0
8,30,120,300,600,1050,1680,0,0,0,0
9,30,120,300,600,1050,1680,0,0,0,0
10,30,120,300,600,1050,1680,0,0,0,0
11,30,120,300,600,1050,1680,0,0,0,0
12,30,120,300,600,1050,1680,0,0,0,0
13,30,120,300,600,1050,1680,0,0,0,0
14,30,120,300,600,1050,1680,0,0,0,0
15,30,120,300,600,1050,1680,0,0,0,0
16,30,120,300,600,1050,1680,0,0,0,0
17,30,120,300,600,1050,1680,0,0,0,0
18,30,120,300,600,1050,1680,0,0,0,0
19,30,120,300,600,1050,1680,0,0,0,0
20,30,120,300,600,1050,1680,0,0,0,0
21,30,120,300,600,1050,1680,0,0,0,0
22,30,120,300,600,1050,1680,0,0,0,0
23,30,120,300,600,1050,1680,0,0,0,0
24,30,120,300,600,1050,1680,0,0,0,0
25,30,120,300,600,1050,1680,0,0,0,0
26,30,120,300,600,1050,1680,0,0,0,0
27,30,120,300,600,1050,1680,0,0,0,0
28,30,120,300,600,1050,1680,0,0,0,0
29,30,120,300,600,1050,1680,0,0,0,0
30,30,120,300,600,1050,1680,0,0,0,0
31,30,120,300,600,1050,1680,0,0,0,0
32,30,120,300,600,1050,1680,0,0,0,0
33,30,120,300,600,1050,1680,0,0,0,0
34,30,120,300,600,1050,1680,0,0,0,0
35,30,120,300,600,1050,1680,0,0,0,0
36,30,120,300,600,1050,1680,0,0,0,0
37,30,120,300,600,1050,1680,0,0,0,0
38,30,120,300,600,1050,1680,0,0,0,0
39,30,120,300,600,1050,1680,0,0,0,0
40,30,120,300,600,1050,1680,0,0,0,0
