"ID","bindPointFactionEnum","localizedTextId"
1,0,170555
2,0,171975
3,0,0
4,0,0
5,0,0
6,1,172053
7,1,171978
8,2,172646
9,2,172647
10,2,172648
11,2,172650
12,1,172651
13,1,173502
14,1,173503
15,1,173504
16,1,173597
17,1,173599
18,1,173600
19,1,173603
20,1,173604
21,1,178066
22,1,184856
24,1,188695
25,1,190296
26,1,190298
27,2,200191
28,2,205641
29,1,224950
30,0,224951
31,2,224952
32,0,224953
33,2,230870
34,2,230871
35,2,240613
36,2,240614
37,0,243598
38,0,243597
39,1,253944
40,1,254826
41,2,254841
42,2,259510
43,1,267413
44,2,280345
45,2,280346
46,1,289199
47,2,311832
48,0,342507
49,0,342508
52,2,435190
53,2,476880
54,1,509809
55,2,509811
56,2,522543
57,2,537198
58,1,537199
59,2,537200
60,1,537201
61,2,570385
62,1,570386
63,0,570387
65,1,683207
66,2,683208
