"ID","ccStatesId","dataInt00","dataInt01","dataInt02","dataInt03","dataInt04","dataFloat00","dataFloat01","dataFloat02","dataFloat03","dataFloat04"
1,21,0,0,0,0,0,0.5,0,0,0,0
2,21,0,0,0,0,0,0.35,0,0,0,0
3,21,0,0,0,0,0,0.4,0,0,0,0
4,21,0,0,0,0,0,0.5,0,0,0,0
5,21,0,0,0,0,0,0.7,0,0,0,0
6,21,0,0,0,0,0,0.1,0,0,0,0
7,21,0,0,0,0,0,0.15,0,0,0,0
8,21,0,0,0,0,0,0.2,0,0,0,0
9,21,0,0,0,0,0,0.25,0,0,0,0
10,21,0,0,0,0,0,0.3,0,0,0,0
11,21,0,0,0,0,0,0.45,0,0,0,0
12,21,0,0,0,0,0,0.55,0,0,0,0
13,21,0,0,0,0,0,0.6,0,0,0,0
14,21,0,0,0,0,0,0.65,0,0,0,0
15,16,35798,0,0,0,0,0,0,0,0,0
16,8,900,0,0,0,0,0,0,0,0,0
17,18,35832,0,0,0,0,0,0,0,0,0
18,3,0,0,0,0,0,0,0,0,0,0
19,15,2,0,0,0,0,0.2,0,0,0,0
20,4,33301,40609,0,0,0,0,0,0,0,0
21,16,36010,10,0,0,0,0,0,0,0,0
22,21,0,0,0,0,0,0.05,0,0,0,0
23,16,36214,8,0,0,0,0,0,0,0,0
24,16,36215,0,0,0,0,0,0,0,0,0
25,16,36218,12,0,0,0,0,0,0,0,0
26,16,36216,15,0,0,0,0,0,0,0,0
27,16,36217,20,0,0,0,0,0,0,0,0
28,18,72356,0,0,0,0,0,0,0,0,0
29,18,36225,0,0,0,0,0,0,0,0,0
30,18,36223,0,0,0,0,0,0,0,0,0
31,18,36226,0,0,0,0,0,0,0,0,0
36,13,0,0,0,0,0,0.75,0,0,0,0
41,13,0,0,0,0,0,0.5,0,0,0,0
42,13,1,0,0,0,0,0.75,1.2,0,0,0
43,13,1,0,0,0,0,0.5,1.2,0,0,0
56,14,0,0,0,0,0,0.75,0,0,0,0
57,14,0,0,0,0,0,0.5,0,0,0,0
58,14,1,0,0,0,0,0.75,0.25,0,0,0
59,14,1,0,0,0,0,0.5,0.25,0,0,0
72,18,36297,0,0,0,0,0,0,0,0,0
73,16,36317,10,0,0,0,0,0,0,0,0
74,16,36355,0,0,0,0,0,0,0,0,0
75,17,36635,0,0,0,0,0,0,0,0,0
76,16,36726,2,0,0,0,0,0,0,0,0
77,20,0,0,47447,0,0,10,0,0,0,0
78,20,0,0,0,0,0,7,0,0,0,0
79,20,0,0,0,0,0,5,0,0,0,0
80,20,0,0,0,0,0,12,0,0,0,0
81,20,0,0,47447,0,0,15,0,0,0,0
82,16,38398,0,0,0,0,0,0,0,0,0
84,17,38476,0,0,0,0,0,0,0,0,0
85,17,38480,0,0,0,0,0,0,0,0,0
86,20,35418,0,0,0,0,9,0,0,0,0
87,20,35419,0,0,0,0,9,0,0,0,0
