"ID","flags","defaultBreakProbability","localizedTextIdName","spellIcon","visualEffectId00","visualEffectId01","visualEffectId02","ccStateDiminishingReturnsId"
0,30,0,264188,"Icon_CCStates_Stun",55,5372,0,3
1,30,1,264189,"Icon_CCStates_Sleep",56,5372,0,0
2,195,0,264192,"Icon_CCStates_root",18277,0,0,4
3,0,0,264193,"Icon_CCStates_disarm",244,805,0,0
4,0,0,264195,"Icon_CCStates_Silence",162,18654,0,0
5,0,0,264197,"",0,0,0,0
6,4,0,264198,"Icon_CCStates_fear",0,0,0,0
7,87,0,264199,"",18280,0,0,0
8,30,0,264200,"Icon_Hobble",55,6501,0,8
9,37,0,264201,"Icon_ShieldSlice",6901,6305,0,0
10,1,0,264202,"Icon_ShieldSlice",6901,0,0,0
11,128,0,264203,"",91,0,0,11
12,95,0,264204,"",0,0,0,0
13,1,0,264205,"",0,0,0,10
14,1,0,264206,"",0,0,0,5
15,0,0,264207,"Icon_SkillShadow_UI_SM_eye",16537,16538,0,6
16,30,0,264208,"",0,0,0,14
17,22,0,264209,"",0,0,0,17
18,30,0,264210,"",0,0,0,13
19,6,0,264211,"",0,0,0,16
20,129,0,264212,"",0,0,0,9
21,129,0,264213,"",18265,0,0,0
22,8,0,298332,"",0,0,0,0
23,1,0,379028,"",0,0,0,0
24,0,0,381386,"",0,0,0,12
25,0,0,430606,"",0,0,0,0
26,95,0,438464,"",27251,0,0,0
27,9,0,439085,"",0,0,0,0
