"ID","challengeTypeEnum","target","challengeFlags","worldZoneIdRestriction","triggerVolume2IdRestriction","worldZoneId","worldLocation2IdIndicator","worldLocation2IdStartLocation","completionCount","challengeTierId00","challengeTierId01","challengeTierId02","localizedTextIdName","localizedTextIdProgress","localizedTextIdAreaRestriction","localizedTextIdLocation","virtualItemIdDisplay","targetGroupIdRewardPane","questDirectionIdActive","questDirectionIdInactive","rewardTrackId"
1,0,1677,1024,0,0,262,0,0,4294967295,2,3,0,145169,145170,0,260239,0,0,0,0,34
2,1,0,6,0,0,262,0,0,4294967295,4,0,0,145176,145177,0,260240,0,0,0,0,34
3,0,1678,1024,0,0,262,0,0,4294967295,5,6,7,145750,145751,0,260241,0,0,0,0,34
4,0,1472,0,262,0,262,14014,0,4294967295,8,0,0,146836,146837,0,405169,0,0,0,0,34
6,1,24246,2,262,0,262,14014,0,4294967295,10,0,0,146840,146841,0,260243,0,0,0,0,34
7,2,0,0,262,0,262,0,0,4294967295,11,0,0,146846,146847,0,260244,0,0,0,0,34
8,4,12203,0,262,0,262,0,0,4294967295,12,0,0,146831,146832,0,260245,0,0,0,0,34
9,0,1473,0,262,0,262,0,0,4294967295,13,14,494,146848,146849,0,260246,0,0,0,0,34
10,0,1474,0,262,0,262,0,0,4294967295,15,0,0,146850,146851,0,260247,0,0,0,0,34
11,2,0,0,262,0,262,0,0,4294967295,16,0,0,146852,146853,0,260248,0,0,0,0,34
12,2,0,0,865,0,262,0,14014,4294967295,17,0,0,146854,146855,148666,176187,0,0,0,0,34
13,2,0,0,262,1643,262,0,14013,4294967295,18,822,823,146857,146858,148932,176188,0,0,0,0,34
14,2,0,0,262,0,262,0,0,4294967295,19,0,0,146859,146860,0,405141,0,0,0,0,34
15,2,0,0,262,0,262,0,0,4294967295,20,0,0,146861,146862,0,260249,0,0,0,0,34
16,1,25128,1,262,0,262,0,0,4294967295,21,0,0,151179,151180,0,260250,0,0,0,0,34
17,0,9147,0,1235,0,483,49409,0,4294967295,22,0,0,151253,151249,151250,472476,0,0,2353,2353,19
18,0,12521,0,495,0,483,45099,0,4294967295,3082,0,0,151259,151260,151261,472477,0,0,0,0,19
19,0,948,0,483,0,483,7220,0,4294967295,24,0,0,151264,151265,151266,472478,0,0,0,0,19
20,0,3062,0,1215,0,483,7045,0,4294967295,25,0,0,151268,151269,151270,472480,0,3062,0,0,19
21,0,9163,0,1215,0,483,6950,0,4294967295,26,0,0,151283,151284,151285,263017,0,0,0,0,19
22,2,0,12,495,928,483,21049,33222,4294967295,27,0,0,151292,151293,151294,380276,0,0,0,0,19
23,0,988,0,483,0,1480,8196,0,4294967295,28,0,0,151295,151296,151297,0,0,0,0,0,0
24,0,989,0,483,0,1480,8196,0,4294967295,29,0,0,151299,151300,151301,0,0,0,0,0,0
25,0,992,0,483,0,1480,8195,0,4294967295,30,0,0,151302,151303,151304,0,0,0,0,0,0
26,0,995,0,483,0,1480,7781,0,4294967295,31,0,0,151305,151306,151307,0,0,0,0,0,0
27,0,998,0,483,0,1480,0,0,4294967295,32,0,0,151308,151309,151310,0,0,0,0,0,0
28,0,1003,0,483,0,1480,0,0,4294967295,33,0,0,151311,151312,151313,0,0,0,0,0,0
29,0,1007,0,483,0,1480,0,0,4294967295,34,0,0,151314,151315,151316,0,0,0,0,0,0
30,0,1011,0,483,0,1480,0,0,4294967295,35,0,0,151317,151318,151319,0,0,0,0,0,0
31,0,1080,0,483,0,1480,0,0,4294967295,36,0,0,151320,151321,151322,0,0,0,0,0,0
