"ID","count"
2,2
3,3
4,1
5,2
6,3
7,4
8,2
10,4
11,4
12,4
13,2
14,4
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,6
24,8
25,5
26,5
27,0
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,10
39,5
40,10
41,9
42,8
43,10
44,12
45,18
46,1
47,10
49,6
51,5
52,4
53,8
54,12
55,4
56,8
57,12
58,4
59,6
60,8
61,4
62,3
63,4
68,4
69,3
72,4
73,5
77,3
78,3
79,6
80,4
81,8
82,12
83,3
84,6
85,9
86,4
87,6
88,8
89,1
90,4
91,8
92,12
93,4
94,6
95,8
97,3
98,6
105,0
106,4
107,6
108,8
110,8
111,10
112,15
113,3
114,8
115,13
116,4
117,12
118,20
119,6
120,12
121,20
122,4
123,10
124,15
125,3
126,6
127,10
128,5
129,8
130,11
132,3
133,4
134,5
150,5
151,10
152,15
153,3
154,5
155,10
156,15
157,4
158,10
159,10
160,15
161,3
163,6
164,9
165,8
166,6
167,6
168,9
172,4
173,6
174,8
175,9
176,15
177,4
178,1
179,8
181,1
182,5
183,0
184,0
208,1
209,1
210,1
230,4
232,8
234,1
235,3
238,8
239,0
240,8
241,4
262,4
295,0
296,0
297,15000
298,3
299,6
300,9
301,30000
306,5
307,10
308,15
314,5
315,4
316,8
317,12
318,4
319,6
320,10
321,6
322,8
323,12
324,5
325,10
326,21
327,5
328,12
329,20
330,6
331,8
332,10
333,15
334,5
335,6
336,20
337,5
338,8
340,10
341,1
347,4
348,8
349,12
350,0
351,30
352,60
353,0
357,1
358,0
366,5
367,10
368,15
371,1
374,0
376,0
388,1
389,1
390,1
391,0
392,3
393,5
394,8
395,4
396,4
397,8
398,12
399,6
400,8
401,4
411,7
412,12
413,24
417,6
418,8
419,15
423,4
424,8
425,12
426,4
427,8
428,12
436,3
437,6
438,9
439,4
440,6
441,8
442,4
443,9
444,16
445,5
446,8
447,16
450,0
451,0
457,0
458,1
461,150
472,2
473,0
475,10
476,5
477,8
481,1
488,1
489,0
494,5
495,1
496,2
497,3
498,10000
499,10000
500,20000
501,30000
502,10000
503,10000
504,20000
505,30000
506,2
507,1
508,0
513,6
516,4
519,8
549,20
552,35
553,50
557,0
558,0
559,180000
560,240000
562,1
563,4
564,6
565,12
567,1
568,3
569,6
570,11
571,0
572,60000
573,150000
574,4
575,8
576,12
577,0
578,100000
579,180000
580,0
581,0
582,0
583,3
585,0
586,45000
587,120000
597,6
598,12
605,2
606,3
607,8
608,14
609,3
610,5
611,11
612,6
613,8
614,11
615,12
616,20
617,32
635,0
636,60000
637,120000
638,2
652,6
654,3
659,5
661,0
662,30000
663,60000
664,0
666,60000
668,3
669,4
670,6
681,2683995
682,2683996
683,2683997
684,5
685,6
686,5
687,7
688,10
695,0
699,0
709,4
710,8
711,14
712,0
713,0
714,30000
715,40000
716,3
717,5
718,7
719,5
720,10
721,20
722,6
723,0
724,28000
725,33000
726,3
727,7
728,12
729,6
730,8
731,11
732,0
733,100000
734,180000
735,4
736,8
737,12
738,3
739,6
740,9
741,4
742,6
743,12
744,5
746,5
747,4
748,7
749,12
762,0
763,5
764,8
765,12
768,10
769,5
770,8
771,10
772,3
773,1
774,12
775,0
776,0
777,0
778,3
779,6
780,9
782,30
783,95
796,4
797,5
798,5
800,0
801,5
802,4
803,8
804,12
806,4
807,8
818,0
822,3
823,4
847,6
848,6
882,60000
883,120000
884,200000
898,10
902,5
903,4
907,10
908,6
909,13
910,27
911,10
912,20
913,30
914,5
915,15
916,30
917,5
918,10
919,15
920,5
921,10
922,15
923,20
924,30
925,5
926,15
927,30
928,15
929,6
930,25
931,42
932,10
933,20
934,30
935,6
936,13
938,5
939,8
940,11
944,1
945,1
946,3
958,9
959,15
960,0
961,30000
962,45000
963,0
964,30000
965,60000
966,0
967,4
970,7
971,14
972,21
973,5
974,15
975,30
976,0
977,0
978,0
979,0
980,4
981,8
982,16
983,5
984,10
985,20
986,8
987,12
988,5
989,10
990,15
991,0
992,0
993,0
994,0
995,10
996,30
997,60
998,6
999,10
1000,21
1001,0
1002,60000
1003,90000
1004,6
1005,12
1006,18
1007,2
1008,4
1009,10
1011,0
1012,3
1013,6
1014,9
1015,6
1016,8
1017,10
1018,0
1019,4
1020,6
1021,8
1022,4
1023,6
1024,8
1025,0
1026,0
1027,20
1028,45
1029,60
1030,0
1031,10
1032,10
1036,15
1037,20
1039,10
1040,15
1041,20
1047,2
1048,4
1049,7
1050,10
1051,20
1052,30
1053,10
1054,20
1055,30
1056,5
1059,6
1062,0
1063,8
1064,12
1065,16
1066,5
1067,9
1068,25
1069,5
1070,8
1073,7
1076,0
1077,12
1080,3
1081,6
1083,4
1085,8
1087,7
1088,90000
1089,135000
1090,14
1092,0
1093,30000
1094,60000
1099,16
1100,32
1101,48
1102,6
1103,12
1104,24
1105,5
1106,10
1107,20
1108,6
1109,12
1110,24
1111,12
1112,1
1113,0
1115,10
1116,6
1122,8
1125,5
1128,120000
1129,4
1130,8
1131,12
1132,3
1133,6
1134,9
1135,5
1138,1
1141,9
1142,13
1145,3
1146,5
1147,15
1148,0
1152,3
1153,5
1154,7
1155,0
1156,8
1157,6
1158,9
1159,18
1160,5
1161,0
1162,10
1163,15
1164,0
1165,6
1166,12
1167,18
1168,4
1169,8
1170,12
1171,6
1174,7
1175,14
1176,20
1177,6
1180,4
1181,10
1182,20
1183,30
1184,12
1185,18
1186,25
1187,5000
1188,10000
1189,20000
1198,0
1199,30000
1200,60000
1201,10
1202,8
1203,5
1204,10
1205,5
1206,10
1207,10
1209,5
1211,8
1212,1
1213,5
1214,10
1215,4
1216,8
1217,6
1218,12
1219,0
1220,6
1221,12
1222,0
1223,0
1224,60000
1225,8
1226,10
1227,5
1228,0
1229,10000
1230,20000
1231,5
1233,6
1234,0
1235,45000
1236,3
1237,6
1239,8
1240,16
1241,3
1242,0
1243,6
1244,6
1245,9
1246,3
1247,5
1248,0
1249,6
1250,8
1251,8
1252,10
1253,5
1254,4
1256,8
1257,12
1258,0
1259,7
1260,9
1261,0
1262,6
1263,12
1264,10
1265,18
1266,12
1268,10
1272,6
1273,8
1275,4
1276,8
1277,0
1278,30000
1279,0
1281,5000
1282,8
1283,16
1285,21
1286,2
1287,4
1289,0
1290,0
1291,8
1292,0
1293,0
1294,12
1295,20
1296,8
1297,12
1298,20
1300,10
1301,20
1302,30
1303,10
1304,7
1305,25
1328,8
1333,0
1334,4
1335,7
1336,10
1337,0
1338,0
1339,0
1340,0
1341,30000
1342,60000
1343,10
1344,14
1345,6
1346,10
1348,10
1349,20
1351,5
1353,10
1354,15
1355,4
1357,8
1358,12
1359,6
1360,12
1361,18
1362,5
1363,10
1364,15
1365,8
1366,16
1367,24
1368,5
1369,10
1370,15
1374,7
1375,13
1376,18
1377,10
1378,20
1379,30
1381,0
1393,12
1394,8
1395,12
1396,6
1397,9
1398,15
1399,25
1400,35
1401,8
1402,12
1431,5
1432,10
1433,15
1434,0
1435,5
1436,10
1437,15
1438,5
1439,10
1440,15
1441,5
1442,10
1443,15
1444,1
1445,2
1446,3
1447,8
1448,16
1449,24
1450,0
1451,5000
1452,20000
1453,35000
1456,3
1457,6
1458,9
1468,4
1481,8
1482,12
1486,10
1487,17
1488,24
1512,7
1513,11
1514,6
1515,12
1516,18
1517,0
1518,0
1519,0
1520,5
1521,10
1522,20
1525,30
1526,60
1527,100
1530,0
1531,60000
1532,90000
1533,0
1537,7000
1538,15000
1539,3
1540,6
1541,12
1542,0
1566,4
1567,8
1568,25
1569,50
1571,6
1581,0
1582,30000
1583,40000
1596,9
1600,18
1603,20
1615,20
1629,1
1640,20000
1641,40000
1642,0
1647,12
1648,24
1650,36
1651,5
1655,27
1656,3
1657,3
1664,1
1665,50000
1666,80000
1667,1
1668,40000
1669,60000
1670,0
1671,5
1672,5
1673,10
1674,10
1675,15
1676,10
1677,15
1678,6
1679,10
1680,12
1681,18
1682,6
