"ID","classId","raceId","sex","factionId","costumeOnly","itemId0","itemId01","itemId02","itemId03","itemId04","itemId05","itemId06","itemId07","itemId08","itemId09","itemId010","itemId011","itemId012","itemId013","itemId014","itemId015","enabled","characterCreationStartEnum","xp","accountCurrencyTypeIdCost","accountCurrencyAmountCost","entitlementIdRequired"
21,1,1,1,167,0,81344,81359,81345,8534,81346,81380,81381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,1,0,167,0,81344,81359,81345,8534,81346,81380,81381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,1,1,166,0,81366,81365,81367,8535,81352,81389,81390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2,1,0,167,0,81344,81359,81345,8534,81347,81380,81381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,3,1,0,167,0,81363,81362,81364,8534,81351,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4,1,0,167,0,81360,81358,81361,8534,81348,81374,81378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,5,1,0,167,0,81360,81358,81361,8534,81349,81374,81378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7,1,0,167,0,81363,81362,81364,8534,81350,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3,1,1,167,0,81363,81362,81364,8534,81351,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,7,1,1,167,0,81363,81362,81364,8534,81350,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,1,1,167,0,81344,81359,81345,8534,81347,81380,81381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5,1,1,167,0,81360,81358,81361,8534,81349,81374,81378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,3,4,0,167,0,81363,81362,81364,8534,81351,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,7,4,0,167,0,81363,81362,81364,8534,81350,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,4,1,167,0,81363,81362,81364,8534,81351,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,7,4,1,167,0,81363,81362,81364,8534,81350,81375,81376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,3,0,167,0,81344,81359,81345,8534,81347,81380,81381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,1,0,166,0,81366,81365,81367,8535,81353,81389,81390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,5,1,0,166,0,81369,81368,81370,8535,81355,81383,81387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,7,1,1,166,0,81372,81371,81373,8535,81356,81384,81385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,1,1,166,0,81366,81365,81367,8535,81353,81389,81390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5,1,1,166,0,81369,81368,81370,8535,81355,81383,81387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
