"id","raceId","faction2Id","gender","stringPreset"
1,4,167,1,"eNrj/cDAwMTAwMACxIxAvByIORggAMRnY4DIg9jMUHUsUDF2qBgXELMCsQAQ8wCxJFQ9AJnUAho="
2,4,167,1,"eNrj/cDAwMTAwMACxIxAvByIORgggBEqzgTFzFA5kBgXELMDMSeUDVIrAMQ8QCwJ5QMAm7gCJw=="
3,4,167,0,"eNrj/cDAwMTAwMDCAAHLgZgdymaEskHybEDMDMScULWcUDmQGi4oWxKI3YAYAIwoAlM="
4,4,167,0,"eNrj/cDAwMTAwMDCAAHLgZgdymYEYg4GiDyIzQzls0DVgDAnEHNB5SSB2AaIAYtsAkY="
5,3,167,1,"eNrj/cDAwMTAwMAMxIxAvByI2RkgAMRnYUDIM0P57FAxXihfAIj5gFgSiEWAGACKpAIo"
6,3,167,1,"eNrj/cDAwMTAwMAMxIxAvByI2RkggBHKZoKymaF8EGYFYl6ouAAQ8wOxJJQPAIssAho="
7,3,167,0,"eNrj/cDAwMTAwMDMAAHLgZgDymYEYlYGiDwbVA0zVAxEswMxCxDzQsX4gJgTiCWBOAqIAZucAnU="
8,3,167,0,"eNrj/cDAwMTAwMDMAAHLgZgDymaEskHyLFA1rFDMBcTsUDleqDwfVEwSiAOAGACcsAJw"
9,1,167,1,"eNrj/cDAwMTAwMAIxcuBmJ0BAkDizEDMAsRsUHEQLQDEnEAsBhWTgKqVBGIRIAYAjsQCSQ=="
10,1,167,1,"eNrj/cDAwMTAwMAIxcuBmB2ImRkg4mxAzAKVA4mzArEAEHMCsRhUXAKIOYBYEsrnBeJ+R34g+b9eGEh++QgA0d0GmA=="
11,1,167,0,"eNrj/cDAwMTAwMDIAAHLgZgdyoaJs0DF2KFsEaicGBCzArEEEPMCsSQQ2wAxAI6wAnM="
12,1,167,0,"eNrj/cDAwMTAwMDIAAHLgZgdymaCYhYgZoaKswKxCJQtBpWTgKqThMoBAI2sAkI="
13,16,167,1,"eNrj/cDAwMTAwCAAxIxAvByI2RkgAMRnY4DIM0MxiM8CFWOHiglCxSWBOAqIAY70Am4="
14,16,167,1,"eNrj/cDAwMTAwCAAxIxAvByI2RkgAMRnZoDIcyKxWaBqQJgViAWhbEkgFgFiAI54Ai8="
15,16,167,0,"eNrj/cDAwMTAwCDAAAHLgZgdymYEYhYGiDwIM0NpkBgbVB1ITBCqVhJKAwCMWAIM"
16,16,167,0,"eNrj/cDAwMTAwCDAAAHLgZgdymZkgMiBMBcQMwMxKxCzQPkgdWxALAgVl4SKAwCOvAIp"
17,1,166,0,"eNrj/cDAwMTAwMDIAAHLgJgdymaCslmgGMTmAGJhIGYFYlEoXxwqLwnEIkAMAI7sAks="
18,1,166,0,"eNrj/cDAwMTAwMDIAAHLgJgdygaJswExC5QNEucGYmEoWxQqJw6VlwRiDSAGAI7sAls="
19,1,166,1,"eNrj/cDAwMTAwMAIxcuAmB2IWRkg4mxAzAKVA4lzATE/lBaFqhMHYjEglgRiDaj6WE+Q6gc2ILWX8wSA5K4gYSC5jgUAHuYHcQ=="
20,1,166,1,"eNrj/cDAwMTAwMAIxcuAmJ0BAkDiLFDMDsXMQMwPlROFiokDMRsQSwKxCBADAI2YAkE="
21,5,166,0,"eNrj/cDAwMTAwMDKAAHLgJgDymYEYnYGiDyIZoZiFgaEHk4kOR6omCQQuwExAJtMAlg="
22,5,166,0,"eNrj/cDAwMTAwMDKAAHLgJgDymYEYk4GiDwbEDND5VigbJAeLiBmh4rzQGlJqDgAnEQCLA=="
23,5,166,1,"eNrj/cDAwMTAwMAKxIxAvAyIORggAMRnYYDIswMxM5TPApVjh7J5oGx+IOYEYkkgtgFiAJukAlk="
24,5,166,1,"eNrj/cDAwMTAwMAKxIxAvAyIORggAMRnZ4DIg8SYoepYgJgNKgeieaBq+aF8SSgfAJwcAiE="
25,13,166,0,"eNrj/cDAwMTAwMDLAAHLgJgdymYEYlYgZobSrFAxkDw3EHNBsRAQswCxJJQPAI5cAi0="
26,13,166,0,"eNrj/cDAwMTAwMDLAAHLgJgdymaEYmYgZgFiViDmhMqDaC4oLQSlJYFYBIgBjpgCPA=="
27,12,166,0,"eNrj/cDAwMTAwMDDAAHLgJgNymaEYpA8CxAzAzEHEPNBxQWBmBOIJYHYDYgBfawCUw=="
28,12,166,0,"eNrj/cDAwMTAwMDDAAHLgJgNymYEYmYGiDwTEpsPiFmBWBCqRhKINYAYAHyMAis="
29,12,166,1,"eNrj/cDAwMTAwMADxIxAvAyI2RggAMRnYYDIgzAzEHMAMR8QswKxIFRcEogDgBgAfkwCXA=="
30,12,166,1,"eNrj/cDAwMTAwMADxIxAvAyI2RggAMRnZoDIw9ggOT4g5gRiQShfEohtgBgAffQCTA=="
