"ID","characterCustomizationLabelId","value","cost"
1,23,2,4294967296000
2,1,1,1073741824000000
3,1,2,1073741824000000
4,1,3,1073741824000000
5,1,4,1073741824000000
6,1,5,1073741824000000
7,1,6,1073741824000000
8,1,7,1073741824000000
9,1,8,1073741824000000
10,1,9,1073741824000000
11,2,1,644245094400000
12,2,2,644245094400000
13,2,3,644245094400000
14,2,4,644245094400000
15,2,5,644245094400000
16,2,6,644245094400000
17,2,7,644245094400000
18,2,8,644245094400000
19,2,9,644245094400000
20,2,10,644245094400000
21,2,11,644245094400000
22,2,100,644245094400000
23,3,1,1073741824000000
24,3,2,1073741824000000
25,3,3,1073741824000000
26,3,4,1073741824000000
27,3,5,1073741824000000
28,3,6,1073741824000000
29,3,7,1073741824000000
30,3,8,1073741824000000
31,3,9,1073741824000000
32,3,10,1073741824000000
33,3,11,1073741824000000
34,3,12,1073741824000000
35,3,13,1073741824000000
36,3,14,1073741824000000
37,3,15,1073741824000000
38,3,16,1073741824000000
39,3,18,1073741824000000
40,3,19,1073741824000000
41,3,20,1073741824000000
42,3,22,1073741824000000
43,3,24,1073741824000000
44,3,25,1073741824000000
45,3,29,1073741824000000
46,3,34,1073741824000000
47,4,1,644245094400000
48,4,2,644245094400000
49,4,3,644245094400000
50,4,4,644245094400000
51,4,5,644245094400000
52,4,6,644245094400000
53,4,7,644245094400000
54,4,8,644245094400000
55,4,9,644245094400000
56,4,10,644245094400000
57,4,11,644245094400000
58,5,1,644245094400000
59,5,2,644245094400000
60,5,3,644245094400000
61,5,4,644245094400000
62,5,5,644245094400000
63,5,6,644245094400000
64,5,7,644245094400000
65,5,8,644245094400000
66,5,9,644245094400000
67,5,10,644245094400000
68,5,11,644245094400000
69,7,1,429496729600000
70,7,2,429496729600000
71,7,3,429496729600000
72,7,4,429496729600000
73,7,5,429496729600000
74,7,6,429496729600000
75,7,7,429496729600000
76,7,8,429496729600000
77,7,9,429496729600000
78,7,10,429496729600000
79,7,11,429496729600000
80,7,12,429496729600000
81,10,1,644245094400000
82,10,2,644245094400000
83,10,3,644245094400000
84,10,4,644245094400000
85,10,5,644245094400000
86,10,6,644245094400000
87,10,7,644245094400000
88,10,8,644245094400000
89,10,9,644245094400000
90,10,10,644245094400000
91,12,1,644245094400000
92,12,2,644245094400000
93,12,3,644245094400000
94,12,4,644245094400000
95,12,5,644245094400000
96,12,6,644245094400000
97,12,7,644245094400000
98,12,8,644245094400000
99,12,9,644245094400000
100,12,10,644245094400000
101,13,1,644245094400000
102,13,2,644245094400000
103,13,3,644245094400000
104,13,4,644245094400000
105,13,5,644245094400000
106,13,6,644245094400000
107,14,1,644245094400000
108,14,2,644245094400000
109,14,3,644245094400000
110,14,4,644245094400000
111,14,5,644245094400000
112,14,6,644245094400000
113,14,7,644245094400000
114,14,8,644245094400000
115,14,9,644245094400000
116,14,10,644245094400000
117,14,11,644245094400000
118,15,1,429496729600000
119,15,2,429496729600000
120,15,3,429496729600000
121,15,4,429496729600000
122,15,5,429496729600000
123,15,6,429496729600000
124,15,7,429496729600000
125,15,8,429496729600000
126,15,9,429496729600000
127,15,10,429496729600000
128,15,11,429496729600000
129,15,12,429496729600000
130,16,1,429496729600000
131,16,2,429496729600000
132,16,3,429496729600000
133,16,4,429496729600000
134,16,5,429496729600000
135,16,6,429496729600000
136,16,7,429496729600000
137,16,8,429496729600000
138,16,9,429496729600000
139,16,10,429496729600000
140,16,11,429496729600000
141,16,12,429496729600000
142,16,13,429496729600000
143,16,14,429496729600000
144,16,15,429496729600000
145,17,1,429496729600000
146,17,2,429496729600000
147,17,3,429496729600000
148,17,4,429496729600000
149,17,5,429496729600000
150,17,6,429496729600000
151,17,7,429496729600000
152,17,8,429496729600000
153,17,9,429496729600000
154,17,100,429496729600000
155,18,1,644245094400000
156,18,2,644245094400000
157,18,3,644245094400000
158,18,4,644245094400000
159,18,5,644245094400000
160,18,6,644245094400000
161,18,7,644245094400000
162,18,8,644245094400000
163,18,9,644245094400000
164,19,1,644245094400000
165,19,2,644245094400000
166,19,3,644245094400000
167,19,4,644245094400000
168,19,5,644245094400000
169,19,6,644245094400000
170,19,7,644245094400000
171,20,1,644245094400000
172,20,2,644245094400000
173,20,3,644245094400000
174,20,4,644245094400000
175,20,5,644245094400000
176,20,6,644245094400000
177,20,7,644245094400000
178,21,1,1073741824000000
179,21,2,1073741824000000
180,21,3,1073741824000000
181,21,4,1073741824000000
182,21,5,1073741824000000
183,21,6,1073741824000000
184,21,7,1073741824000000
185,21,8,1073741824000000
186,22,1,1073741824000000
187,22,2,1073741824000000
188,22,3,1073741824000000
189,22,4,1073741824000000
190,22,5,1073741824000000
191,22,6,1073741824000000
192,22,7,1073741824000000
193,22,8,1073741824000000
194,23,1,1073741824000000
195,23,2,1073741824000000
196,23,3,1073741824000000
197,23,4,1073741824000000
198,23,5,1073741824000000
199,23,6,1073741824000000
200,23,7,1073741824000000
201,23,8,1073741824000000
202,23,9,1073741824000000
203,23,10,1073741824000000
204,23,11,1073741824000000
205,23,12,1073741824000000
206,23,13,1073741824000000
207,23,14,1073741824000000
208,23,15,1073741824000000
209,23,20,1073741824000000
210,23,21,1073741824000000
211,23,22,1073741824000000
212,24,1,1073741824000000
213,24,2,1073741824000000
214,24,3,1073741824000000
215,24,4,1073741824000000
216,24,5,1073741824000000
217,24,6,1073741824000000
218,24,7,1073741824000000
219,24,8,1073741824000000
220,24,9,1073741824000000
221,24,10,1073741824000000
222,24,11,1073741824000000
223,24,12,1073741824000000
224,24,13,1073741824000000
225,24,14,1073741824000000
226,24,15,1073741824000000
227,24,19,1073741824000000
228,24,20,1073741824000000
229,24,21,1073741824000000
230,25,1,1717986918400000
231,25,10,1717986918400000
232,25,20,1717986918400000
233,25,40,1717986918400000
234,25,50,1717986918400000
235,25,60,1717986918400000
236,25,70,1717986918400000
237,25,80,1717986918400000
238,25,90,1717986918400000
239,27,1,1288490188800
240,26,1,1288490188800
241,27,3,1288490188800
242,27,4,1288490188800
243,26,5,1288490188800
244,26,12,1288490188800
245,26,13,1288490188800
246,27,16,1288490188800
247,1,10,1073741824000000
248,1,11,1073741824000000
