"ID","cinematicId","raceId","maleAssetPath","femaleAssetPath"
1,10,5,"Art\Cinematics\Zones\Crimson_Isle\DrakenArrival\Cine_CrimsonIsle_DrakenArrival.m3","Art\Cinematics\Zones\Crimson_Isle\DrakenArrival\Cine_CrimsonIsle_DrakenFemaleArrival.m3"
2,34,16,"Art\Cinematics\Zones\Everstar_Grove\MordeshArrival\Cine_EverstarGrove_MordeshArrival_EXPORT_mm.m3","Art\Cinematics\Zones\Everstar_Grove\MordeshArrival\Cine_EverstarGrove_MordeshArrival_EXPORT_mf.m3"
3,69,1,"Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__hm.m3","Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__hf.m3"
4,69,3,"Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__gm.m3","Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__gf.m3"
5,69,4,"Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__am.m3","Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__af.m3"
6,69,16,"Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__mm.m3","Art\Cinematics\Zones\Exile_ArcShip\WakingFromCryo\Cine_ExileArcShip_WakingFromCryo_Player__mf.m3"
7,75,1,"Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__hm.m3","Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__hf.m3"
8,75,5,"Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__dm.m3","Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__df.m3"
9,75,12,"Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__mm.m3","Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__mf.m3"
10,75,13,"Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__chua.m3","Art\Cinematics\Zones\Dominion_ArcShip\WakingFromCryo\Cine_DominionArcShip_WakingFromCryo_Player__chua.m3"
11,2,1,"Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_human_male.m3","Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_human_female.m3"
12,2,4,"Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_Aurin_male.m3","Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_Aurin_Female.m3"
13,2,16,"Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_Mordesh_Male.m3","Art\Cinematics\Zones\Northern_Wilds\HumanIntro\Exports\Cine_NorthernWilds_HumanIntro_Mordesh_female.m3"
14,103,1,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__hm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__hf.m3"
15,103,5,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__dm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__df.m3"
16,103,12,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__mm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__mf.m3"
17,103,13,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__chua.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Dominion_player__chua.m3"
18,104,1,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__hm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__hf.m3"
19,104,3,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__gm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__gf.m3"
20,104,4,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__am.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__af.m3"
21,104,16,"Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__mm.m3","Art\Cinematics\Zones\NPE\Outro\Exports\Cine_NPE_Outro_Exile_player__mf.m3"
