"ID","unitProperty2IdSecondaryStat00","unitProperty2IdSecondaryStat01","unitProperty2IdSecondaryStat02","modifier00","modifier01","modifier02"
5,32,47,0,0.5,0.5,0
6,34,47,0,0.5,0.5,0
7,35,0,0,0.61,0,0
8,33,43,0,0.5,0.5,0
9,36,0,0,0.5,0,0
10,7,0,0,18,0,0
11,35,0,0,0.61,0,0
12,32,47,0,0.5,0.5,0
13,34,47,0,0.5,0.5,0
14,36,0,0,0.61,0,0
15,43,33,0,0.5,0.5,0
16,7,0,0,18,0,0
17,35,0,0,0.61,0,0
18,32,47,0,0.5,0.5,0
19,34,47,0,0.5,0.5,0
20,36,0,0,0.61,0,0
21,43,33,0,0.5,0.5,0
22,7,0,0,18,0,0
23,32,47,0,0.5,0.5,0
24,35,0,0,0.61,0,0
25,34,47,0,0.5,0.5,0
26,33,43,0,0.5,0.5,0
27,36,0,0,0.5,0,0
28,7,0,0,18,0,0
29,32,47,0,0.5,0.5,0
30,33,43,0,0.5,0.5,0
31,34,47,0,0.5,0.5,0
32,35,0,0,0.61,0,0
33,36,0,0,0.5,0,0
34,7,0,0,18,0,0
35,32,47,0,0.5,0.5,0
36,35,0,0,0.61,0,0
37,34,47,0,0.5,0.5,0
38,36,0,0,0.61,0,0
39,43,33,0,0.5,0.5,0
40,7,0,0,18,0,0
