"ID","description","worldId","eventTypeEnum","eventData","prerequisiteId","priority","delayMS","clientEventActionId"
10,"Q3486 - NW Zone Change - Eldan Tower - Sky",426,5,35,4164,9,0,3
11,"Q3486 - NW Quest Change - Eldan Tower - Sky",426,1,3486,4164,10,13500,3
16,"Dead State Change",0,2,1,1951,999,2000,5
18,"Deradune Bloodsky",0,3,37,3440,10,1000,6
22,"q3561 Subzone Alpha - Quest Test island - Quest",0,1,3561,2900,0,0,7
23,"Q3561 Subzone Alpha - Quest Test island - Zone",0,0,263,2900,10,0,7
24,"Q3561 Subzone Alpha - Quest Test island - Zone 2",0,0,262,2900,10,0,7
26,"Deradune - Bloodsky Active",0,0,484,3441,0,0,6
32,"Q3486 - Prop Load - Eldan Tower - Storm Prop",426,4,328289,2805,11,0,10
33,"Northern Wilds - Q3486 - Eldan Tower Storm State1",426,1,3486,2805,10,1500,10
35,"Northern Wilds - Q3486 - Eldan Tower Storm State0",426,1,3486,4033,9,0,11
42,"Test - Prop Load - Door ",0,4,785701,4216,10,0,17
43,"Test - Quest Change - Door Prop",0,1,12,4216,9,0,17
44,"Test - Quest Change - Door Prop",0,1,12,4217,9,0,16
45,"Q3486 - SoundKit Change",0,1,3486,7670,2,0,18
46,"Northern Wilds Crash Site Zone - SoundKit Change",426,5,35,4252,2,0,19
47,"Northern Wilds Crash Site Zone - SoundKit Change",426,5,35,7670,2,0,18
54,"Northern Wilds - Medical Station - Prop State 1",426,4,330468,0,1,0,23
62,"PvP Asteroid - Death Event",1204,2,0,6145,100,0,30
71,"Algoroc - WorldDestroyer - Quest Change",51,1,4829,7906,1,0,39
72,"Algoroc - WorldDestroyer - Quest Change",51,1,4829,7907,0,0,38
73,"Algoroc - WorldDestroyer - Prop Load - State 1",51,4,1052194,7906,2,0,39
74,"Algoroc - WorldDestroyer - Prop Load - State 0",51,4,1052194,7907,1,0,38
84,"Q5634 - Wildwood Grove Sky - Zone",22,0,586,8788,1,0,43
86,"Q5634 - Wildwood Grove Sky - Quest",22,1,5634,8796,1,0,44
91,"Q5634 - Terraformer Prop State 1",22,4,315391,8880,2,0,47
92,"Q5634 - Terraformer Prop off State 0",22,4,315391,8368,2,0,48
93,"Q5634 - Terraformer  Quest Change State 0",22,1,5634,8368,1,0,48
94,"Q5634 - Terraformer  Quest Change State 1",22,1,5634,8880,1,0,47
96,"Q5853 - Whitevale T4 - Ep3  - Calmwater Ritual",51,1,5853,9032,10,1000,50
97,"Deradune - Tract 1 - Q3160 Ship Quest Update",22,1,3160,8580,1,0,51
98,"Deradune - Tract 1 - Q3160 Ship Prop Load",22,4,217874,8580,1,0,51
99,"Q5840 - Zone Change - Whitevale Tract 4.1 - Sky",51,0,1316,9230,0,0,52
100,"Silverscale Station - Q5897 - Snow Off - KMS",51,1,5897,9495,9,0,53
101,"Silverscale Station - Q5898 - Snow Off - KMS",51,1,5898,9495,9,0,53
102,"NWADV - Prop Load - Eldan Tower - Storm Prop",1393,4,328289,1050,1,0,10
106,"Crimson Isle - Q5573 Act 1 Sky Change",870,1,5573,29195,9,1000,56
107,"Crimson Isle - Q5575 Act 1 Sky Change",870,1,5575,29194,9,1000,56
108,"QTI - Med Station Prop Load Test 1",625,4,1184449,1050,0,15000,57
109,"QTI - Med Station Prop Load Test 2",625,4,1184448,1050,0,15000,58
111,"Levian Bay - Q5867 Power Pod 0 State 0",1387,4,1162640,9378,0,0,60
112,"Levian Bay - Q5867 Power Pod 1 State 0",1387,4,1163057,9379,0,0,61
113,"Levian Bay - Q5867 Power Pod 2 State 0",1387,4,1162937,9380,0,0,62
114,"Deradune - Tract 1 - Cage 1 Prop Load",22,4,1087033,4992,1,0,63
115,"Deradune - Tract 1 - Cage 2 Prop Load",22,4,1087034,4992,1,0,64
116,"Deradune - Tract 1 - Cage 3 Prop Load",22,4,1087035,4992,1,0,65
117,"QTI - Test Zone Name Change",625,0,263,4992,1000,0,66
120,"Q6589 - Zone Change - Hurricane - Ellevar",22,5,78,11303,0,0,69
121,"Q6589 - Quest Change - Hurricane - Ellevar",22,1,6589,11303,0,0,69
122,"Q6578 - Zone Change - Clear - Ellevar",22,5,78,11307,10,0,70
123,"Q6578 - Quest Change - Clear - Ellevar",22,1,6578,11307,9,12000,70
125,"W1606 Shiphand - Nexus Orbit Skybox",1606,3,112,11649,10,1000,71
126,"W1606 Shiphand - Space Travel Skybox",1606,3,113,11650,11,1000,72
127,"W1606 Shiphand - Space Stars Skybox",1606,3,114,11651,12,1000,73
128,"W1627 Shiphand - Space Travel Skybox",1627,3,113,11796,11,1000,72
129,"Crimson Isle - Q5573 Act 1 - Shield Generator ",870,1,5573,9439,9,2000,76
130,"Crimson Isle - Q5575 Act 1 - Shield Generator",870,1,5575,9440,8,2000,76
131,"Crimson Isle - Act 1 - Shield Generator State 1",870,4,1373867,1050,1,0,75
133,"Q6641 - Hazard Gas - Quest Change",22,1,6641,13237,0,0,78
134,"Q6641 - Hazard Gas - Zone Change",22,0,400,13237,0,0,78
135,"Q5860 - Levian Bay - Star Comm Station Sky",1387,0,1309,14531,10,0,79
136,"Q5860 - Levian Bay - Star Comm Station Sky",1387,0,1309,14530,1,0,80
137,"SpellSlinger Void Plane Sky",0,9,0,28187,0,0,81
138,"Ellevar - Q6879 - Skybox Change - JBN",22,1,6879,15893,0,0,82
139,"Whitevale - Terraformer - Q5707 Change",51,1,5707,13480,1,0,83
140,"Whitevale - Terraformer - Prop Load - Destroyed",51,4,830649,13480,2,0,83
141,"Whitevale - Terraformer - Q5727 Change",51,1,5727,13480,1,0,83
142,"Wickwood Tree State1 - Prop Load",22,4,2392047,17549,0,0,85
143,"Wickwood Tree State1 - Quest Change 8637 ",22,1,8637,17549,0,0,85
144,"Wickwood Tree State2 - Prop Load",22,4,2392047,17548,0,0,86
145,"Wickwood Tree State0 - Quest Change 8638",22,1,8638,17516,0,0,84
146,"Q6165 - Falling Debris - MLB3",1421,1,6165,17968,0,0,87
147,"Q6497 - Falling Debris - MLB3",1421,1,6497,17968,0,0,87
149,"Q6302 - Elderoot Awake",990,1,6302,14123,10,1,89
150,"Q6302 - Elderoot Awake - Prop Load",990,4,1616496,14123,10,1,89
151,"Q6302 - Elderoot Asleep",990,1,6302,18394,10,1,90
152,"Elderoot Dead - Quest Change",990,1,8784,18402,11,1,91
153,"Elderoot Dead - Prop Load",990,4,1616496,18402,11,1,91
154,"Q6283 - Vortex sky - Dominion - Halon Ring t1",1463,1,6283,18723,0,0,92
155,"Q6506 - Vortex sky - Exile - Halon Ring t1",1463,1,6506,18725,0,0,92
159,"Q5868 - Exo-lab teleporter On - Prop Load - RBG",1387,4,1099272,0,10,0,94
160,"Celestion - T3 - PE221 Sky Change",51,6,240,19273,1,0,95
161,"Celestion - T3 - PE221 Sky Change",51,0,1805,19273,0,0,95
162,"Q6677- Western Embertree Not burning Celestion T1",51,1,6677,19438,2,0,96
163,"Q6677- Eastern Embertree Not burning Celestion T1",51,1,6677,19440,0,0,96
