"ID","interactionType","threshold","duration","incrementValue","windowSize","decay","flags","tapTime0","tapTime1","visualEffectId0","visualEffectId1","visualEffectId2","visualEffectId3","visualEffectIdTarget00","visualEffectIdTarget01","visualEffectIdTarget02","visualEffectIdTarget03","visualEffectIdTarget04","visualEffectIdCaster00","visualEffectIdCaster01","visualEffectIdCaster02","visualEffectIdCaster03","visualEffectIdCaster04","localizedTextIdContext"
55,0,10000,13000,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,10000,15000,500,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,0,10000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,2000,0,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168144
60,0,2000,10000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,0,5000,0,800,0,0,2000,4000,111,112,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3,0,16000,0,500,2000,0,1000,0,3,65,112,0,0,0,0,0,0,0,0,0,0,0,0
63,1,900,15000,125,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,3000,0,700,0,0,1500,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,0,5000,0,800,0,0,2000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,0,2000,0,600,0,0,1300,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2,0,2000,0,300,0,0,600,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,2000,15000,200,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,0,4000,0,500,0,0,1600,2900,255,112,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,0,5000,0,700,0,0,2000,4000,111,112,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,0,16000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,0,5000,0,500,0,0,1800,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
