"ID","texturePath","localizedTextId","previewSwatchIcon"
2,"Art\FX\LutMaps\HousingDecor\BlackandWhite_LUT.tex",766888,"BasicSprites:Grey"
3,"Art\FX\LutMaps\HousingDecor\HueShift_Rust_LUT.tex",766873,"BasicSprites:Rust"
4,"Art\FX\LutMaps\HousingDecor\HueShift_Orange_LUT.tex",766874,"BasicSprites:Orange"
5,"Art\FX\LutMaps\HousingDecor\HueShift_Yellow_LUT.tex",766875,"BasicSprites:Yellow"
6,"Art\FX\LutMaps\HousingDecor\HueShift_PaleGreen_LUT.tex",766876,"BasicSprites:LightGreen"
7,"Art\FX\LutMaps\HousingDecor\HueShift_Green_LUT.tex",766877,"BasicSprites:Green"
8,"Art\FX\LutMaps\HousingDecor\HueShift_SeaGreen_LUT.tex",766878,"BasicSprites:SeaGreen"
9,"Art\FX\LutMaps\HousingDecor\HueShift_Aqua_LUT.tex",766879,"BasicSprites:Aqua"
10,"Art\FX\LutMaps\HousingDecor\HueShift_Teal_LUT.tex",766880,"BasicSprites:Teal"
11,"Art\FX\LutMaps\HousingDecor\HueShift_Indigo_LUT.tex",766881,"BasicSprites:Indigo"
12,"Art\FX\LutMaps\HousingDecor\HueShift_Purple_LUT.tex",766882,"BasicSprites:Purple"
13,"Art\FX\LutMaps\HousingDecor\HueShift_Violet_LUT.tex",766883,"BasicSprites:Violet"
14,"Art\FX\LutMaps\HousingDecor\HueShift_Lavender_LUT.tex",766884,"BasicSprites:Lavender"
15,"Art\FX\LutMaps\HousingDecor\HueShift_Plum_LUT.tex",766885,"BasicSprites:Plum"
16,"Art\FX\LutMaps\HousingDecor\HueShift_Pink_LUT.tex",766886,"BasicSprites:Pink"
17,"Art\FX\LutMaps\HousingDecor\HueShift_Red_LUT.tex",766887,"BasicSprites:Red"
