"ID","combatRewardTypeEnum","localizedTextIdCombatFloater","localizedTextIdCombatLogMessage","visualEffectIdVisual00","visualEffectIdVisual01"
1,1,0,0,0,0
2,1,0,0,0,0
3,1,0,0,0,0
4,2,123535,298550,7297,0
5,2,123537,298551,7306,0
6,2,123538,298552,7303,0
7,2,123540,298553,7308,0
8,3,125686,298554,0,0
9,3,125687,298555,0,0
10,3,125688,298556,0,0
11,3,125689,298557,0,0
12,3,125690,298558,0,0
16,4,302008,302009,16714,0
17,6,302010,302011,16716,0
18,5,302012,302013,16715,0
19,7,302016,302017,0,0
20,2,309973,309974,7304,0
21,2,309976,309977,7298,0
22,2,309978,309979,7299,0
