"ID","localizedTextIdMessage","delay","flags","creatureId","worldId","worldZoneId","minLevel","maxLevel","quest00","quest01","quest02","state00","state01","state02","factionId","classId","raceId","factionIdReputation","reputationMin","reputationMax","questIdDelivered","prerequisiteId","displayDuration","communicatorMessagesIdNext","communicatorPortraitPlacementEnum","communicatorOverlayEnum","communicatorBackgroundEnum"
1,16339,2000,0,1,0,87,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16711,2000,0,1,0,0,70,0,638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16712,2000,0,1,0,0,70,0,651,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16713,2000,0,1,0,0,70,0,638,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16714,2000,0,1,0,0,70,0,638,0,0,3,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
7,16715,2000,0,1,0,0,70,0,638,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16716,2000,0,1,0,0,70,0,0,0,0,0,0,0,0,0,0,231,500,0,0,0,0,0,0,0,0
9,16717,2000,0,1,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,16718,2000,0,1,0,87,70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11,16719,2000,0,1,0,87,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16720,2000,0,1,0,0,70,0,638,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
13,16721,2000,0,1,0,0,70,0,651,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
14,16722,2000,0,1,0,0,70,0,638,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,16723,2000,0,1,0,0,70,0,638,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
16,16724,2000,0,1,0,0,70,0,638,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,16725,2000,0,1,0,0,70,0,0,0,0,0,0,0,0,0,13,231,1000,0,0,0,0,0,0,0,0
19,16727,2000,0,1,0,0,70,0,638,0,0,2,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0
20,16733,2000,0,1,0,0,70,0,651,0,0,5,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0
21,16734,2000,0,1,0,87,70,10,639,638,0,6,2,0,167,1,1,231,500,0,0,0,0,0,0,0,0
23,267994,1000,0,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
24,267995,2000,0,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
32,16279,2000,0,1638,51,117,0,0,827,0,0,0,0,0,167,0,0,0,0,0,827,0,0,0,0,0,0
56,18963,500,0,2221,51,0,0,0,906,906,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18966,500,0,2221,51,0,0,0,906,906,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,18967,500,0,2221,51,0,0,0,906,906,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,18968,500,0,2221,51,0,0,0,906,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19018,1000,0,2221,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,19025,2000,0,2221,51,0,0,0,903,906,943,3,11,13,167,0,0,0,0,0,0,0,0,0,0,0,0
200,23597,4000,0,2221,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,500,0,2221,51,0,0,0,1007,0,0,3,0,0,167,0,0,0,0,0,1096,0,0,0,0,0,0
875,73458,0,0,5861,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,0,3000,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,69227,0,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,2000,3999,0,6232,0,0,0,0,0
898,69228,14000,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,2000,3999,0,6232,0,0,0,0,0
899,69229,0,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,4000,7999,0,6232,0,0,0,0,0
900,69230,0,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,8000,15999,0,6232,0,0,0,0,0
901,69231,0,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,16000,31999,0,6232,0,0,0,0,0
902,69232,0,1,6462,51,0,0,0,0,0,0,0,0,0,0,0,0,533,32000,0,0,6232,0,0,0,0,0
909,0,1000,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,72482,1500,0,0,625,0,36,0,0,0,0,0,0,0,167,1,0,0,0,0,0,0,0,0,0,0,0
1036,188158,1,0,5034,625,0,0,0,2909,0,0,3,0,0,0,0,0,0,0,0,1872,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,90017,7000,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,91637,1,0,9586,817,0,0,0,3149,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,91638,1,0,9585,817,0,0,0,3150,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,0,0,0,9611,22,0,0,0,3165,0,0,3,0,0,0,0,0,0,0,0,3167,0,0,0,0,0,0
1199,99103,0,0,9611,22,0,0,0,3167,0,0,3,0,0,0,0,0,0,0,0,3170,0,0,0,0,0,0
1201,0,1000,0,9612,22,0,0,0,3162,0,0,3,0,0,0,0,0,0,0,0,3160,0,0,0,0,0,0
1206,99868,0,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,2000,3999,0,22436,0,0,0,0,0
1207,99869,14000,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,2000,3999,0,22436,0,0,0,0,0
1208,99870,0,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,4000,7999,0,0,0,0,0,0,0
1209,99871,0,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,8000,15999,0,0,0,0,0,0,0
1210,99872,0,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,16000,31999,0,0,0,0,0,0,0
1211,99873,0,0,10004,22,0,0,0,0,0,0,0,0,0,0,0,0,609,32000,0,0,0,0,0,0,0,0
1242,0,1000,0,11285,22,483,10,11,3506,0,0,0,0,0,166,0,0,0,0,0,3506,0,0,0,0,0,0
1256,0,1000,0,11926,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,115889,1500,0,11063,426,0,0,0,3668,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,0,2000,0,11063,426,0,0,0,3673,0,0,2,0,0,0,0,0,0,0,0,3673,0,0,0,0,0,0
1282,0,1500,0,11063,426,0,0,0,3673,0,0,3,0,0,0,0,0,0,0,0,3670,0,0,0,0,0,0
1290,0,1,0,12767,625,0,0,0,3726,0,0,3,0,0,0,0,0,0,0,0,3727,0,0,0,0,0,0
1291,116171,1,0,12767,625,0,0,0,3726,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,0,1,0,11062,426,646,3,6,3479,0,0,0,0,0,167,0,1,0,0,0,3479,0,0,0,0,0,0
1293,0,1,0,11061,426,647,3,6,3480,0,0,0,0,0,167,0,3,0,0,0,3480,0,0,0,0,0,0
1295,116575,0,0,12810,22,0,0,0,3733,0,0,3,0,0,0,0,0,0,0,0,3734,0,0,0,0,0,0
1330,310698,1,0,16664,51,0,0,0,3785,0,0,3,0,0,0,0,0,0,0,0,3765,0,0,0,0,0,0
1345,120620,1500,0,11063,426,0,0,0,3479,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,120622,1500,0,11063,426,0,0,0,3480,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,122144,0,0,13528,625,0,0,0,3847,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,123204,7000,0,11066,426,35,0,0,3668,0,0,2,0,0,0,0,0,0,0,0,3886,0,0,0,0,0,0
1393,125093,0,0,13992,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,0,6000,0,14041,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4109,4106,0,0,0,0,0
1433,0,16000,0,11063,426,0,0,0,3486,3671,0,3,0,0,0,0,0,0,0,0,3671,0,0,0,0,0,0
1446,0,1000,0,13967,22,0,0,0,3906,0,0,3,0,0,0,0,0,0,0,0,3907,0,0,0,0,0,0
1463,130098,500,0,14313,22,0,0,0,4061,0,0,5,0,0,0,0,0,0,0,0,0,4184,0,0,0,0,0
1504,132155,0,0,14751,625,0,0,0,4188,0,0,5,0,0,0,0,0,0,0,0,0,4284,0,0,0,0,0
1505,132166,0,0,14751,625,0,0,0,4189,0,0,3,0,0,0,0,0,0,0,0,4188,0,0,0,0,0,0
1551,0,20000,0,53919,22,0,0,0,5621,8147,0,3,0,0,166,0,0,0,0,0,8147,0,0,0,0,0,0
1553,0,2000,0,26721,22,697,0,0,3970,0,0,3,0,0,166,0,0,0,0,0,3900,0,0,0,0,0,0
1620,151739,1,0,16633,51,0,0,0,4527,0,0,3,0,0,0,0,0,0,0,0,4525,0,0,0,0,0,0
1627,152153,1,0,16633,51,0,0,0,4525,0,0,3,0,0,0,0,0,0,0,0,4528,0,0,0,0,0,0
1629,152172,1,0,16622,51,0,0,0,4536,0,0,3,0,0,0,0,0,0,0,0,4540,0,0,0,0,0,0
1672,0,1,0,16814,51,0,0,0,4509,0,0,3,0,0,0,0,0,0,0,0,4512,0,0,0,0,0,0
1676,154397,1,0,16597,51,0,0,0,4514,0,0,3,0,0,0,0,0,0,0,0,4516,0,0,0,0,0,0
1682,0,1,0,17034,625,0,0,0,4659,0,0,0,0,0,0,0,0,0,0,0,4659,0,0,0,0,0,0
1684,0,500,0,17052,51,0,0,0,4663,0,0,3,0,0,0,0,0,0,0,0,4664,0,0,0,0,0,0
1688,0,1,0,17063,51,0,0,0,4672,0,0,3,0,0,0,0,0,0,0,0,4674,0,0,0,0,0,0
1691,0,1,0,17063,51,0,0,0,4674,4675,0,3,0,0,0,0,0,0,0,0,4675,0,0,0,0,0,0
1693,0,1,0,11062,426,646,3,6,3479,0,0,0,0,0,167,0,4,0,0,0,3479,0,0,0,0,0,0
1697,0,500,0,17175,51,121,0,0,4667,0,0,3,0,0,167,0,0,0,0,0,4696,0,0,0,0,0,0
1717,184895,1,1,16597,51,29,0,0,4717,0,0,0,0,0,0,0,0,0,0,0,4717,0,0,0,0,0,0
1719,156523,1,0,16982,625,0,0,0,4632,0,0,5,0,0,0,0,0,0,0,0,4632,0,0,0,0,0,0
1720,156524,1,0,17034,625,0,0,0,4659,0,0,6,0,0,0,0,0,0,0,0,4659,0,0,0,0,0,0
1726,0,1,0,17063,51,121,0,0,4670,0,0,3,0,0,0,0,0,0,0,0,4674,0,0,0,0,0,0
1727,0,4000,0,17063,51,0,0,0,4674,4675,0,1,0,0,0,0,0,0,0,0,4675,0,0,0,0,0,0
1729,0,1,0,13823,51,0,0,0,4737,0,0,3,0,0,0,0,0,0,0,0,4741,0,0,0,0,0,0
1730,0,1,0,13823,51,0,0,0,4741,0,0,3,0,0,0,0,0,0,0,0,4743,0,0,0,0,0,0
