"ID","description","creatureActionSetId","state","event","orderIndex","delayMS","action","actionData00","actionData01","visualEffectId","prerequisiteId"
1,"Twain Test Birth Ndx 0 (Text)",1,0,0,0,2500,0,0,0,61,0
2,"Twain Test Enter Combat (Text)",1,1,2,0,10000,0,0,0,5694,0
4,"Twain Test Death (Text)",1,0,1,0,0,0,0,0,5706,0
5,"Twain Test Leave Combat (Particle)",1,0,3,0,3000,3,2,3,5706,0
6,"Twain Test (Text 1)",1,0,3,2,0,0,0,0,61,0
7,"Twain Test (Text 2)",1,0,3,3,0,0,0,0,5694,0
8,"Doug Test Birth",2,0,0,0,0,0,0,0,56,0
9,"Doug Test Exit Combat",2,0,3,0,0,0,0,0,56,0
10,"RMCLD - Zombie Gib Death - Blood  1",3,0,1,0,0,0,0,0,5869,0
11,"RMCLD - Zombie Gib Death - Blood  2",3,0,1,0,0,0,0,0,5870,0
12,"RMCLD - Zombie Gib Death - Blood  3",3,0,1,0,0,0,0,0,5871,0
13,"RMCLD - Zombie Gib Death - Blood  4",3,0,1,0,0,0,0,0,5872,0
14,"RMCLD - Zombie Gib Death - Blood  5",3,0,1,0,0,0,0,0,5873,0
15,"RMCLD - Zombie Gib Death - Blood  6",3,0,1,0,0,0,0,0,5874,0
16,"RMCLD - Zombie Gib Death - Blood  7",3,0,1,0,0,0,0,0,5875,0
17,"RMCLD - Zombie Gib Death - Blood  8",3,0,1,0,0,0,0,0,5875,0
18,"RMCLD - Psycho Super Zombie Visual 1",4,0,0,0,0,0,0,0,5834,0
19,"RMCLD - Zombie Gib Death - Blood  9",3,0,1,0,0,0,0,0,5876,0
20,"RMCLD - Zombie Gib Death - Blood  10",3,0,1,0,0,0,0,0,5877,0
21,"RMCLD - Zombie Gib Death - Blood  11",3,0,1,0,0,0,0,0,5879,0
22,"RMCLD - Psycho Super Zombie Visual 2",4,1,2,0,0,0,0,0,5834,0
23,"RMCLD - Psycho Super Zombie Visual 3",4,0,3,0,0,0,0,0,5834,0
24,"RMCLD - Torch Super Zombie Visual 1",5,0,0,0,0,0,0,0,5814,0
25,"RMCLD - Torch Super Zombie Visual 2",5,1,2,0,0,0,0,0,5814,0
