"ID","description","prerequisiteId"
1,"Twain Test",0
2,"Doug Test",0
3,"RMCLD - Zombie Gib Death",2171
4,"RMCLD - Psycho Super Zombie",0
5,"RMCLD - Torch Super Zombie",0
6,"RMCLD - Leech Super Zombie",0
7,"RMCLD - Leaper Super Zombie",0
8,"RMCLD - Bulldozer Super Zombie",0
9,"RMCLD - Bomber Super Zombie",0
11,"ATPC - Eldan Sentry Beam Base",0
12,"NWilds - 2HGun_Ready",0
13,"Default_Birth [0s]",0
14,"Bloody Gibs",0
16,"Default_Cast_Channel_01",0
18,"Emote_Cry_Kneeling_Loop - Human Female SND",0
19,"Auroria - Farmer - Hide Weapon -OOC",0
20,"[OLD] OOC - Default_Sleep and Sleep VFX",0
22,"Cast Scale 10 On Create",0
23,"Northern Wilds - Frostlord",0
24,"Northern Wilds - Crash Survivor",0
25,"Northern Wilds - Yeti",0
26,"Q4057 - Voting Screen - Gallow",0
27,"q3167 pumera scent marker",0
28,"Q4146 - Invis Unit Effect",0
30,"Q4092 - Debri Fire",0
32,"Q4136 - Trap before sprung",0
33,"Q4136 - Trap flare",0
34,"Q3766 - Ship Engine Trails",0
36,"Q4111 - Dynamite Bundle",0
37,"Flavor - Carry Defiance Medical Station",0
38,"Tutorial Zones - Injured Patient",0
39,"Q3770 - Puffs of Smoke",0
40,"Q3770 - Plumes of Smoke",0
41,"Q3770 - Sparks",0
42,"Q4209 - Clue Effect",0
43,"Electro Zapper Charge - Protostar Strip Mine ",0
44,"Auroria - Warhound - GlowEyes",0
45,"Q3770 - Crashing Skulls Eye Effects",0
47,"Q4018 - Water Effects",0
48,"Q4203 - Aura 0",0
49,"Q4203 - Aura 1",0
50,"Q4203 - Aura 2",0
51,"Q4203 - Aura 3",0
52,"Q4227 - Sniper Flare Placement Spot onCreate",0
53,"Settler Galeras Tract 1 Exp Buff Machine",0
54,"Q3780 - SNiper Lock On",0
55,"Q4224 - Cover Indicator",0
56,"Q3817 - Fire Visual 1",0
57,"Q3817 - Fire Visual 2",0
58,"Q4092 - Bike Debri Fire",0
59,"Q4137 Beacon signal",0
60,"Q4267 - Satellite Deflection Shield",0
61,"Q4267 Orb",0
62,"Q3757 - Malick Kobb",0
63,"Q4009 - Pollution Cloud",0
65,"Q4316 - Dowsing Effect",0
66,"Q4178 - Living Loftite",0
67,"Q3786 - SIphon Effects",0
68,"Q4294 - Gold Effects",0
69,"Settler Galeras Tract 2 Evasion Buff",0
70,"Q4323 - Trap",0
71,"Settler Galeras Tract 2 Anti-Aggro Buff",0
72,"Settler Galeras Tract 4 Improvd FirstAid",0
73,"Protostar Billboard Effects",0
74,"Settler Galeras Tract 4 Intel Buff",0
75,"Settler Galeras Tract 4 Strength Buff",0
76,"Settler Galeras Tract 3 Physical Resist",0
77,"Settler Galeras Tract 3 Magical Resist",0
78,"Buzzbing Royal Jelly Glow - KLW",0
79,"Heart Particle - Infinite",0
80,"Generic - Eyes Glow - EyeGlow_RED_Small",0
81,"Q4045 - Invisible Creature Sludge Effect",0
82,"Auroria - Q2581 - Ripe Bingberry glow",0
84,"Default_Stand_Wounded [Infinite]",0
85,"Powerfield_aqu Q4386",0
86,"Q4386 - Lopp Spawn",0
87,"Spacehand Indicator",0
88,"Gallow Voting Machines - Displays",0
89,"Bosun Redmark - High Priority Kneel Use",0
90,"Q3381 - Dowsing Visual",0
91,"Q4386 - Spider Spawn",0
92,"Murkmire - Autopsy Subject - Q4366",0
93,"Whitevale - Crop Frost - Q4419",0
94,"Murkmire - Rep Mechanic - Flashlight Visuals",0
95,"Murkmire - Rep Mechanic - Stash Visuals",0
96,"Q4381 - glowy orb",0
97,"W1005 - Fulminating Spore",0
98,"WhiskeyBarrelDagun",0
99,"Whitevale -  Hide Weapon - OOC",0
100,"Whitevale - Head Squirg - Infinite",0
101,"Q4382 - Big Teleport",0
102,"C15725 - Xenobite Queen",0
103,"Randomized  - Generic State_Wounded_Ground [Inf]",0
104,"W1079 - Witch Giant Birth",0
105,"Q4439 - Corrupted Bot Reprogrammer",0
106,"NWilds - Severely Injured Crash Survivor",0
107,"Q4465 - Invis Crash FX",0
110,"Transition Cinematic - Ravenous Muncher",0
111,"Q4382 - Skeech teleport in",0
112,"Transition Cinematic - Fire",0
113,"NWilds - Lusk Sitting",0
114,"Generic - Infinite - Stand Use (Gun Reload Sound)",0
115,"C15727 - Xenobite",0
116,"W1085 - Venuviouz Sprout",0
117,"Q4527 - Coldslime Snoglogs",0
118,"Q4512 Acolyte Drumming",0
119,"Q3786 - Dominion Scanners",0
120,"Q4512 Gibbed",0
121,"Q4536 - Protostar Mining Bot - Flavor",0
122,"W859 - Invis Spacehand indicator",0
123,"W1027 - Creature Spawn In Visual",0
124,"Q4512 - Air orb",0
125,"Q4523_VisualEffectforInvisCreature",0
