"ID","localizedTextIdOnEnterCombat00","localizedTextIdOnEnterCombat01","localizedTextIdOnEnterCombat02","localizedTextIdOnEnterCombat03","chanceToSayOnEnterCombat","localizedTextIdOnDeath00","localizedTextIdOnDeath01","localizedTextIdOnDeath02","localizedTextIdOnDeath03","chanceToSayOnDeath","localizedTextIdOnKill00","localizedTextIdOnKill01","localizedTextIdOnKill02","localizedTextIdOnKill03","chanceToSayOnKill"
1,230830,230831,230832,352929,100,230833,230834,230835,230836,100,230837,352930,352931,352932,100
2,232957,232958,232959,232960,65,232961,232962,232963,232964,60,232965,232966,232967,232968,70
3,232969,232970,232971,232972,65,232973,232974,232975,232976,65,232977,232978,232979,232980,70
4,233079,233080,233081,233082,60,233083,233084,233085,233086,60,233087,233088,233089,233090,60
5,233106,233107,233108,233109,60,233110,233111,233112,233114,60,233113,233116,233118,233123,60
6,233191,233192,233194,233195,50,233199,233205,233206,275016,50,233193,233196,233197,233198,50
7,233221,233222,233223,233224,50,233228,233230,275021,275022,50,233225,233226,233227,275023,50
8,234156,234157,234158,234159,80,234160,234832,234835,0,75,234161,234833,0,0,50
9,234162,234163,234164,234165,100,234166,234834,0,0,100,234167,234168,0,0,100
10,235360,235361,235371,235372,40,235547,235548,235549,0,30,235550,368719,0,0,30
11,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100
12,235862,235863,235864,235865,80,0,0,0,0,0,235866,235867,235868,235869,80
14,237021,0,0,0,100,236971,0,0,0,100,236972,0,0,0,100
15,237026,237027,237029,368722,70,368720,368723,368724,0,80,368725,368726,368727,0,50
16,237778,237779,237780,237781,50,237782,237783,237784,237792,50,237785,237793,237794,237795,50
18,238567,238568,238569,0,100,238570,238571,0,0,100,238572,238573,238574,0,100
19,239017,239018,275007,275008,100,239015,239016,275009,275010,100,0,0,0,0,100
20,240762,240767,240768,240769,30,240763,240764,240770,240773,40,240765,240766,240771,240772,50
21,0,0,0,0,30,0,0,0,0,40,0,0,0,0,50
22,240378,240379,240380,240381,30,240382,240383,240384,240388,40,240385,240386,240390,240391,50
23,240484,240487,240494,240499,30,240495,240496,240500,240501,40,240488,240489,240498,240510,50
24,240287,240288,240289,240300,30,240290,240291,240303,240304,40,240292,240293,240301,240305,50
25,240329,240330,240331,240334,30,240332,240335,240336,240337,40,240333,240339,240340,240346,50
26,240734,240735,240736,240737,30,240738,240743,240744,240745,40,240739,240740,240741,240742,50
27,240393,240394,240395,240396,30,240397,240398,240399,240400,40,240401,240402,240403,240404,50
