"ID","localizedTextIdTitle","miniMapMarkerId","overheadIconAssetPath"
1,37816,0,""
2,37879,74,""
3,37880,74,""
4,37881,84,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
5,37882,84,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
6,37883,83,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Tradeskill.m3"
7,37884,81,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Reputation.m3"
8,37885,0,""
9,37886,84,""
10,37890,0,""
11,38092,0,""
12,38562,0,""
13,39116,73,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_GeneralGoods.m3"
14,39141,73,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_GeneralGoods.m3"
15,39943,0,""
16,40377,0,""
17,40380,0,""
19,42482,0,""
20,42805,0,""
21,42827,0,""
22,45873,0,""
24,46345,0,""
25,46391,0,""
26,49252,0,""
27,49520,0,""
28,49557,0,""
29,51343,0,""
30,51344,0,""
31,51345,0,""
32,51346,0,""
33,51347,0,""
34,51348,0,""
35,51349,0,""
36,51350,0,""
37,51351,0,""
38,51353,0,""
39,51354,0,""
40,51355,0,""
41,51356,0,""
42,51357,0,""
43,51358,0,""
44,51359,0,""
45,51360,0,""
46,51378,0,""
47,51379,0,""
48,51380,0,""
49,51381,0,""
50,51382,0,""
51,51383,0,""
52,51483,0,""
53,51497,0,""
54,51498,0,""
55,52885,0,""
56,53184,0,""
57,53386,0,""
58,53635,0,""
59,53636,0,""
60,56814,0,""
61,61881,0,""
62,63751,73,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
63,64305,0,""
64,64306,0,""
65,64307,0,""
66,64308,0,""
67,64355,0,""
68,64356,0,""
69,64358,0,""
70,64359,0,""
71,64381,0,""
72,64394,0,""
73,64493,79,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Mount.m3"
74,64656,0,""
75,64795,0,""
76,66922,0,""
77,67059,81,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Reputation.m3"
78,67060,0,""
79,67302,0,""
80,67446,0,""
81,67647,0,""
82,68466,0,""
83,68687,0,""
84,68876,0,""
85,68884,0,""
86,70676,0,""
87,71591,0,""
88,73149,0,""
89,73154,0,""
90,80109,0,""
91,84469,0,""
92,84914,0,""
93,85375,0,""
94,85890,0,""
95,86026,74,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
96,86027,74,""
97,86028,84,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
98,86029,84,""
99,86030,0,""
100,87494,0,""
101,87620,0,""
102,89435,0,""
103,89436,81,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Reputation.m3"
104,90383,0,""
105,91540,0,""
106,95070,0,""
107,95071,0,""
108,95650,0,""
109,95651,0,""
110,98279,0,""
111,98280,0,""
112,98281,0,""
113,98282,0,""
114,98598,0,""
115,98874,0,""
116,98979,0,""
117,98980,73,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Path.m3"
118,99663,0,""
119,108310,0,""
120,110071,0,""
121,111517,0,""
122,111518,0,""
123,111957,0,""
124,111958,0,""
125,111959,0,""
126,111960,0,""
127,111961,0,""
128,111962,0,""
129,111963,0,""
130,111964,0,""
131,114167,0,""
132,115478,0,""
133,117816,0,""
134,118363,0,""
135,120034,0,""
136,120287,74,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
137,120288,75,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_GeneralGoods.m3"
138,120289,73,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_Quartermaster.m3"
139,124768,0,""
140,124935,0,""
141,124936,0,""
142,124942,0,""
143,124943,0,""
144,124998,0,""
145,126243,0,""
146,126453,0,""
147,126901,0,""
148,128498,0,""
149,129107,0,""
150,136414,73,""
151,136415,0,""
152,136417,0,""
153,144244,75,""
154,144459,0,""
155,144460,0,""
156,144461,0,""
157,145248,75,"UI\Interface\Overheads\Vendors\UI_CRB_Overhead_A_Vendor_GeneralGoods.m3"
158,145253,0,""
159,145917,0,""
160,146562,0,""
161,146578,0,""
162,146882,0,""
163,146883,0,""
164,147866,0,""
165,148612,0,""
166,148613,0,""
167,148611,0,""
168,148608,0,""
169,148619,0,""
170,148620,0,""
171,149588,81,""
172,149679,0,""
173,152982,0,""
174,152983,0,""
175,152987,0,""
176,152989,0,""
177,152992,0,""
178,152993,0,""
179,152994,0,""
180,152995,0,""
181,153516,0,""
182,153517,0,""
183,153518,0,""
184,153519,0,""
