"ID","localizedTextIdTitle","pathScientistScanMultiplier","clusterContributionValueDifficulty","rankValue","groupValue","unitPropertyMultiplier000","unitPropertyMultiplier001","unitPropertyMultiplier002","unitPropertyMultiplier003","unitPropertyMultiplier004","unitPropertyMultiplier005","unitPropertyMultiplier006","unitPropertyMultiplier007","unitPropertyMultiplier008","unitPropertyMultiplier009","unitPropertyMultiplier010","unitPropertyMultiplier011","unitPropertyMultiplier012","unitPropertyMultiplier013","unitPropertyMultiplier014","unitPropertyMultiplier015","unitPropertyMultiplier016","unitPropertyMultiplier017","unitPropertyMultiplier018","unitPropertyMultiplier019","unitPropertyMultiplier020","unitPropertyMultiplier021","unitPropertyMultiplier022","unitPropertyMultiplier023","unitPropertyMultiplier024","unitPropertyMultiplier025","unitPropertyMultiplier026","unitPropertyMultiplier027","unitPropertyMultiplier028","unitPropertyMultiplier029","unitPropertyMultiplier030","unitPropertyMultiplier031","unitPropertyMultiplier032","unitPropertyMultiplier033","unitPropertyMultiplier034","unitPropertyMultiplier035","unitPropertyMultiplier036","unitPropertyMultiplier037","unitPropertyMultiplier038","unitPropertyMultiplier039","unitPropertyMultiplier040","unitPropertyMultiplier041","unitPropertyMultiplier042","unitPropertyMultiplier043","unitPropertyMultiplier044","unitPropertyMultiplier045","unitPropertyMultiplier046","unitPropertyMultiplier047","unitPropertyMultiplier048","unitPropertyMultiplier049","unitPropertyMultiplier050","unitPropertyMultiplier051","unitPropertyMultiplier052","unitPropertyMultiplier053","unitPropertyMultiplier054","unitPropertyMultiplier055","unitPropertyMultiplier056","unitPropertyMultiplier057","unitPropertyMultiplier058","unitPropertyMultiplier059","unitPropertyMultiplier060","unitPropertyMultiplier061","unitPropertyMultiplier062","unitPropertyMultiplier063","unitPropertyMultiplier064","unitPropertyMultiplier065","unitPropertyMultiplier066","unitPropertyMultiplier067","unitPropertyMultiplier068","unitPropertyMultiplier069","unitPropertyMultiplier070","unitPropertyMultiplier071","unitPropertyMultiplier072","unitPropertyMultiplier073","unitPropertyMultiplier074","unitPropertyMultiplier075","unitPropertyMultiplier076","unitPropertyMultiplier077","unitPropertyMultiplier078","unitPropertyMultiplier079","unitPropertyMultiplier080","unitPropertyMultiplier081","unitPropertyMultiplier082","unitPropertyMultiplier083","unitPropertyMultiplier084","unitPropertyMultiplier085","unitPropertyMultiplier086","unitPropertyMultiplier087","unitPropertyMultiplier088","unitPropertyMultiplier089","unitPropertyMultiplier090","unitPropertyMultiplier091","unitPropertyMultiplier092","unitPropertyMultiplier093","unitPropertyMultiplier094","unitPropertyMultiplier095","unitPropertyMultiplier096","unitPropertyMultiplier097","unitPropertyMultiplier098","unitPropertyMultiplier099","unitPropertyMultiplier100","unitPropertyMultiplier101","unitPropertyMultiplier102","unitPropertyMultiplier103","unitPropertyMultiplier104","unitPropertyMultiplier105","unitPropertyMultiplier106","unitPropertyMultiplier107","unitPropertyMultiplier108","unitPropertyMultiplier109","unitPropertyMultiplier110","unitPropertyMultiplier111","unitPropertyMultiplier112","unitPropertyMultiplier113","unitPropertyMultiplier114","unitPropertyMultiplier115","unitPropertyMultiplier116","unitPropertyMultiplier117","unitPropertyMultiplier118","unitPropertyMultiplier119","unitPropertyMultiplier120","unitPropertyMultiplier121","unitPropertyMultiplier122","unitPropertyMultiplier123","unitPropertyMultiplier124","unitPropertyMultiplier125","unitPropertyMultiplier126","unitPropertyMultiplier127","unitPropertyMultiplier128","unitPropertyMultiplier129","unitPropertyMultiplier130","unitPropertyMultiplier131","unitPropertyMultiplier132","unitPropertyMultiplier133","unitPropertyMultiplier134","unitPropertyMultiplier135","unitPropertyMultiplier136","unitPropertyMultiplier137","unitPropertyMultiplier138","unitPropertyMultiplier139","unitPropertyMultiplier140","unitPropertyMultiplier141","unitPropertyMultiplier142","unitPropertyMultiplier143","unitPropertyMultiplier144","unitPropertyMultiplier145","unitPropertyMultiplier146","unitPropertyMultiplier147","unitPropertyMultiplier148","unitPropertyMultiplier149","unitPropertyMultiplier150","unitPropertyMultiplier151","unitPropertyMultiplier152","unitPropertyMultiplier153","unitPropertyMultiplier154","unitPropertyMultiplier155","unitPropertyMultiplier156","unitPropertyMultiplier157","unitPropertyMultiplier158","unitPropertyMultiplier159","unitPropertyMultiplier160","unitPropertyMultiplier161","unitPropertyMultiplier162","unitPropertyMultiplier163","unitPropertyMultiplier164","unitPropertyMultiplier165","unitPropertyMultiplier166","unitPropertyMultiplier167","unitPropertyMultiplier168","unitPropertyMultiplier169","unitPropertyMultiplier170","unitPropertyMultiplier171","unitPropertyMultiplier172","unitPropertyMultiplier173","unitPropertyMultiplier174","unitPropertyMultiplier175","unitPropertyMultiplier176","unitPropertyMultiplier177","unitPropertyMultiplier178","unitPropertyMultiplier179","unitPropertyMultiplier180","unitPropertyMultiplier181","unitPropertyMultiplier182","unitPropertyMultiplier183","unitPropertyMultiplier184","unitPropertyMultiplier185","unitPropertyMultiplier186","unitPropertyMultiplier187","unitPropertyMultiplier188","unitPropertyMultiplier189","unitPropertyMultiplier190","unitPropertyMultiplier191","unitPropertyMultiplier192","unitPropertyMultiplier193","unitPropertyMultiplier194","unitPropertyMultiplier195","unitPropertyMultiplier196","unitPropertyMultiplier197","unitPropertyMultiplier198","unitPropertyMultiplier199"
1,239895,0.8,0.2,4294967293,0,0.68,0.68,0.68,0.68,0.68,1,1,0.387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.68,0.68,1,1,1,0.387,0.387,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32,0.32,1,0.32,0.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,239896,0.8,0.3,4294967294,0,0.86,0.86,0.86,0.86,0.86,1,1,0.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.86,0.86,1,1,1,0.52,0.52,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,1,0.4,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,239897,1,0.5,4294967295,0,1.03,1.03,1.03,1.03,1.03,1,1,0.6483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.03,1.03,1,1,1,0.6483,0.6483,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.53,0.53,1,0.53,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,239899,1.1,0.8,0,0,1.66,1.66,1.66,1.66,1.66,1,1,0.7717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.66,1.66,1,1,1,0.7717,0.7717,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,239900,1.2,1.25,1,0,1.75,1.75,1.75,1.75,1.75,1,1,0.9627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.2,1.2,1.2,1,1,1,1,1,1,1.75,1.75,1,1,1,0.9627,0.9627,1.2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,239901,1.2,1.8,2,0,2.65,2.65,2.65,2.65,2.65,1,1,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.4,1.4,1.4,1,1,1,1,1,1,2.65,2.65,1,1,1,3.5,3.5,1.4,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,239902,0.8,1,4294967293,5,0.7,0.7,0.7,0.7,0.7,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7,0.7,1,1,1,2.5,2.5,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32,2,1,2,0.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,239903,0.8,1.75,4294967294,5,1.2,1.2,1.2,1.2,1.2,1,1,6.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1,1,1,6.12,6.12,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,2,1,2,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,239904,1,2.75,4294967295,5,1.75,1.75,1.75,1.75,1.75,1,1,6.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1.75,1,1,1,6.55,6.55,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.53,2,1,2,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,239905,1.1,4.5,0,5,3.5,3.5,3.5,3.5,3.5,1,1,7.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3.5,3.5,1,1,1,7.09,7.09,1,1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,2,1,2,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
