"id","creature2DisplayGroupId","creature2DisplayInfoId","weight"
21320,23894,21307,1
21321,23895,21308,1
21322,23896,21309,1
21323,23897,21310,1
21325,23899,21312,1
21326,23900,21313,1
21327,23901,21314,1
21329,23903,21316,1
21330,23904,21317,1
21331,23905,21318,1
21333,23907,21320,1
21334,23908,21321,1
21335,23909,21322,1
21336,23910,21323,1
21337,23911,21324,1
21338,23912,21325,1
21340,23914,21327,1
21341,23915,21328,1
21342,23916,21329,1
21343,23917,21330,1
21344,23918,21331,1
21345,23919,21332,1
21346,23920,21333,1
21347,23921,21334,1
21348,23922,21335,1
21350,23924,21337,1
21351,23925,21338,1
21352,23926,21339,1
21353,23927,21340,1
21354,23928,21341,1
21355,23929,21342,1
21356,23930,21343,1
21360,23934,21347,1
21361,23935,21348,1
21362,23936,21349,1
21363,23937,21350,1
21364,23938,21351,1
21365,23939,21352,1
21366,23940,21353,1
21367,23941,21354,1
21368,23942,21355,1
21369,23943,21356,1
21371,23945,21358,1
21372,23946,21359,1
21373,23947,21360,1
21374,23948,21361,1
21375,23949,21362,1
21376,23950,21363,1
21377,23951,21364,1
21378,23952,21365,1
21379,23953,21366,1
21382,23956,21369,1
21383,23957,21370,1
21384,23958,21371,1
21386,23960,21373,1
21387,23961,21374,1
21388,23962,21375,1
21390,23964,21377,1
21392,23966,21379,1
21393,23967,21380,1
21394,23968,21381,1
21397,23971,21384,1
21398,23972,21385,1
21399,23973,21386,1
21400,23974,21387,1
21401,23975,21388,1
21402,23976,21389,1
21403,23977,21390,1
21404,23978,21391,1
21405,23979,21392,1
21406,23980,21393,1
21407,23981,21394,1
21408,23982,21395,1
21409,23983,21396,1
21410,23984,21397,1
21411,23985,21398,1
21412,23986,21399,1
21413,23987,21400,1
21414,23988,21401,1
21415,23989,21402,1
21416,23990,21403,1
21417,23991,21404,1
21418,23992,21405,1
21419,23993,21406,1
21420,23994,21407,1
21421,23995,21408,1
21422,23996,21409,1
21423,23997,21410,1
21424,23998,21411,1
21425,23999,21412,1
21426,24000,21413,1
21427,24001,21414,1
21428,24002,21415,1
21429,24003,21416,1
21430,24004,21417,1
21431,24005,21418,1
21432,24006,21419,1
21433,24007,21420,1
21434,24008,21421,1
21435,24009,21422,1
21436,24010,21423,1
21437,24011,21424,1
21438,24012,21425,1
21439,24013,21426,1
21440,24014,21427,1
21441,24015,21428,1
21442,24016,21429,1
21443,24017,21430,1
21444,24018,21431,1
21445,24019,21432,1
21446,24020,21433,1
21447,24021,21434,1
21448,24022,21435,1
21449,24023,21436,1
21450,24024,21437,1
21451,24025,21438,1
21452,24026,21439,1
21453,24027,21440,1
21454,24028,21441,1
21455,24029,21442,1
21456,24030,21443,1
21457,24031,21444,1
21458,24032,21445,1
21459,24033,21446,1
21460,24034,21447,1
21461,24035,21448,1
21462,24036,21449,1
21463,24037,21450,1
21464,24038,21451,1
21465,24039,21452,1
21466,24040,21453,1
21467,24041,21454,1
21468,24042,21455,1
21469,24043,21456,1
21470,24044,21457,1
21472,24046,21459,1
21473,24047,21460,1
21474,24048,21461,1
21475,24049,21462,1
21476,24050,21463,1
21477,24051,21464,1
21478,24052,21465,1
21479,24053,21466,1
21480,24054,21467,1
21481,24055,21468,1
21482,24056,21469,1
21483,24057,21470,1
21484,24058,21471,1
21485,24059,21472,1
21486,24060,21473,1
21487,24061,21474,1
21488,24062,21475,1
21489,24063,21476,1
21490,24064,21477,1
21491,24065,21478,1
