"ID","assetPath","assetTexture0","assetTexture1","modelTextureId0","modelTextureId1","creatureMaterialEnum","scale","hitRadius","walkLand","walkAir","walkWater","walkHover","runLand","runAir","runWater","runHover","itemVisualTypeIdFeet","swimWaterDepth","race","sex","itemDisplayId00","itemDisplayId01","itemDisplayId02","itemDisplayId03","itemDisplayId04","itemDisplayId05","itemDisplayId06","itemDisplayId07","itemDisplayId08","itemDisplayId09","itemDisplayId10","itemDisplayId11","itemDisplayId12","itemDisplayId13","itemDisplayId14","itemDisplayId15","itemDisplayId16","itemDisplayId17","itemDisplayId18","itemDisplayId19","modelMeshId00","modelMeshId01","modelMeshId02","modelMeshId03","modelMeshId04","modelMeshId05","modelMeshId06","modelMeshId07","modelMeshId08","modelMeshId09","modelMeshId10","modelMeshId11","modelMeshId12","modelMeshId13","modelMeshId14","modelMeshId15","groundOffsetHover","groundOffsetFly"
2,"","","",0,0,3,1,1.2,3,9,2.25,3,10,30,7.5,10,1,0.5,5,0,2019,2026,1871,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,"Art\Creature\AgressorBot\AgressorBot.M3","Art\Creature\AgressorBot\AgressorBot_Color.tex","Art\Creature\AgressorBot\AgressorBot_Normal.tex",1,2,1,1,1.4,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,"Art\Creature\BattleBot\BattleBot.m3","","",0,0,1,1,1.4,3,9,2.25,3,10,30,7.5,10,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,"Art\Creature\Boulderback\Boulderback.m3","","",0,0,5,1,10,1.9,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,"Art\Creature\CragWolf\CragWolf.M3","","",0,0,0,1,1.7,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7,"Art\Creature\Dagun\Dagun.M3","","",0,0,3,1,2,2.8,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
8,"Art\Creature\Dagun\Dagun.M3","Art\Creature\Dagun\CRT_Dagun_RedFang_Color.tex","Art\Creature\Dagun\CRT_Dagun_Normal.tex",1,2,3,1,2,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
9,"","","",0,0,3,1,1.2,3,9,2.25,3,10,30,7.5,10,1,0.5,1,0,707,5,135,6,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
10,"Art\Creature\DefianceWarrior\Defiance_Warrior_01.M3","","",0,0,0,1,1.2,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
11,"Art\Creature\Eeklu\eeklu.m3","","",0,0,0,1,1,2,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4
12,"Art\Creature\Falkrin\Falkrin_M\Falkrin_M.m3","","",0,0,0,1,1.9,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
14,"Art\Creature\Gorgonoth\Gorgonoth.m3","","",0,0,5,1,8.2,5,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
19,"Art\Creature\Kludge\Kludge.m3","","",0,0,0,1,1,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
20,"Art\Creature\Murgh\Murgh_Base\Murgh_Base.M3","Art\Creature\Murgh\Murgh_Color.tex","Art\Creature\Murgh\Murgh_Normal.tex",1,2,0,1,2.3,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
21,"Art\Creature\Pell\Pell_Base\Pell_Base.m3","Art\Creature\Pell\CRT_Pell_Color.tex","Art\Creature\Pell\CRT_Pell_Normal.tex",1,2,3,1,2.3,4,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
22,"Art\Creature\Probebot\Probebot.M3","Art\Creature\Probebot\CRT_Probebot_Color.tex","Art\Creature\Probebot\CRT_Probebot_dxtnormal.tex",1,2,6,1,1,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
23,"Art\Creature\Protostar\MiningBot_Protostar_01\MiningBot_Protostar_01.m3","","",0,0,1,1,1.4,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
24,"Art\Creature\AgressorBot\AgressorBot.m3","Art\Creature\Protostar\MiningBot_Protostar_02\CRT_MiningBot_Protostar_02_Color.tex","Art\Creature\Protostar\MiningBot_Protostar_02\CRT_MiningBot_Protostar_02_Normal.tex",1,2,1,1,1.4,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
25,"Art\Creature\Pumera\Pumera.M3","Art\Creature\Pumera\CRT_Pumera_Color.DDS","Art\Creature\Pumera\CRT_Pumera_Normal.tex",1,2,3,1,2.6,2.5,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
26,"Art\Creature\RepairBot\RepairBot.m3","","",0,0,0,1,1,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
27,"Art\Creature\Roan\Roan.m3","Art\Creature\Roan\CRT_Roan_Orange_Color.DDS","Art\Creature\Roan\crt_roan_dxtnormal.tex",1,2,3,1,4,3,9,2.25,3,10,30,7.5,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
