"ID","creature2OutfitGroupId","creature2OutfitInfoId","weight"
8170,8170,7475,1
8171,8171,7476,1
8172,8172,7477,1
8173,8173,7478,1
8174,8174,7479,1
8175,8175,7480,1
8176,8176,7481,1
8177,8177,7482,1
8178,8178,7483,1
8179,8179,7484,1
8180,8180,7485,1
8181,8181,7486,1
8182,8182,7487,1
8183,8183,7488,1
8184,8184,7489,1
8185,8185,7490,1
8186,8186,7491,1
8187,8187,7492,1
8188,8188,7493,1
8189,8189,7494,1
8190,8190,7495,1
8191,8191,7496,1
8192,8192,7497,1
8193,8193,7498,1
8194,8194,7499,1
8195,8195,7500,1
8196,8196,7501,1
8197,8197,7502,1
8198,8198,7503,1
8199,8199,7504,1
8200,8200,7505,1
8201,8201,7506,1
8202,8202,7507,1
8203,8203,7508,1
8204,8204,7509,1
8205,8205,7510,1
8206,8206,7511,1
8207,8207,7512,1
8208,8208,7513,1
8209,8209,7514,1
8210,8210,7515,1
8211,8211,7516,1
8212,8212,7517,1
8213,8213,7518,1
8214,8214,7519,1
8215,8215,7520,1
8216,8216,7521,1
8217,8217,7522,1
8218,8218,7523,1
8219,8219,7524,1
8220,8220,7525,1
8221,8221,7526,1
8222,8222,7527,1
8223,8223,7528,1
8224,8224,7529,1
8225,8225,7530,1
8226,8226,7531,1
8227,8227,7532,1
8228,8228,7533,1
8229,8229,7534,1
8230,8230,7535,1
8231,8231,7536,1
8232,8232,7537,1
8233,8233,7538,1
8234,8234,7539,1
8235,8235,7540,1
8236,8236,7541,1
8237,8237,7542,1
8238,8238,7543,1
8239,8239,7544,1
8240,8240,7545,1
8241,8241,7546,1
8242,8242,7547,1
8243,8243,7548,1
8244,8244,7549,1
8245,8245,7550,1
8246,8246,7551,1
8247,8247,7552,1
8248,8248,7553,1
8249,8249,7554,1
8250,8250,7555,1
8251,8251,7556,1
8252,8252,7557,1
8253,8253,7558,1
8254,8254,7559,1
8255,8255,7560,1
8256,8256,7561,1
8257,8257,7562,1
8258,8258,7563,1
8259,8259,7564,1
8260,8260,7565,1
8261,8261,7566,1
8262,8262,7567,1
8263,8263,7568,1
8264,8264,7569,1
8265,8265,7570,1
8266,8266,7571,1
8267,8267,7572,1
8268,8268,7573,1
8269,8269,7574,1
8270,8270,7575,1
8271,8271,7576,1
8272,8272,7577,1
8273,8273,7578,1
8274,8274,7579,1
8275,8275,7580,1
8276,8276,7581,1
8277,8277,7582,1
8278,8278,7583,1
8279,8279,7584,1
8280,8280,7585,1
8281,8281,7586,1
8282,8282,7587,1
8283,8283,7588,1
8284,8284,7589,1
8285,8285,7590,1
8286,8286,7591,1
8287,8287,7592,1
8288,8288,7593,1
8289,8289,7594,1
8290,8290,7595,1
8291,8291,7596,1
8292,8292,7597,1
8293,8293,7598,1
8294,8294,7599,1
8295,8295,7600,1
8296,8296,7601,1
8297,8297,7602,1
8298,8298,7603,1
8299,8299,7604,1
8300,8300,7605,1
8301,8301,7606,1
8302,8302,7607,1
8303,8303,7608,1
8304,8304,7609,1
8305,8305,7610,1
8306,8306,7611,1
8307,8307,7612,1
8308,8308,7613,1
8309,8309,7614,1
8310,8310,7615,1
8311,8311,7616,1
8312,8312,7617,1
8313,8313,7618,1
8314,8314,7619,1
8315,8315,7620,1
8316,8316,7621,1
8317,8317,7622,1
8318,8318,7623,1
8319,8319,7624,1
8320,8320,7625,1
8321,8321,7626,1
8322,8322,7627,1
8323,8323,7628,1
8324,8324,7629,1
8325,8325,7630,1
8326,8326,7631,1
8327,8327,7632,1
8328,8328,7633,1
8329,8329,7634,1
8330,8330,7635,1
8331,8331,7636,1
8332,8332,7637,1
8333,8333,7638,1
8334,8334,7639,1
8335,8335,7640,1
8336,8336,7641,1
8337,8337,7642,1
8338,8338,7643,1
8339,8339,7644,1
8340,8340,7645,1
8341,8341,7646,1
8342,8342,7647,1
8343,8343,7648,1
8344,8344,7649,1
8345,8345,7650,1
8346,8346,7651,1
8347,8347,7652,1
8348,8348,7653,1
8349,8349,7654,1
8350,8350,7655,1
8351,8351,7656,1
8352,8352,7657,1
8353,8353,7658,1
8354,8354,7659,1
8355,8355,7660,1
8356,8356,7661,1
8357,8357,7662,1
8358,8358,7663,1
8359,8359,7664,1
8360,8360,7665,1
8361,8361,7666,1
8362,8362,7667,1
8363,8363,7668,1
8364,8364,7669,1
8365,8365,7670,1
8366,8366,7671,1
8367,8367,7672,1
8368,8368,7673,1
8369,8369,7674,1
8370,8370,7675,1
8371,8371,7676,1
8372,8372,7677,1
8373,8373,7678,1
8374,8374,7679,1
8375,8375,7680,1
8376,8376,7681,1
8377,8377,7682,1
8378,8378,7683,1
8379,8379,7684,1
8380,8380,7685,1
8381,8381,7686,1
8382,8382,7687,1
8383,8383,7688,1
8384,8384,7689,1
8385,8385,7690,1
8386,8386,7691,1
8387,8387,7692,1
8388,8388,7693,1
8389,8389,7694,1
8390,8390,7695,1
8391,8391,7696,1
8392,8392,7697,1
8393,8393,7698,1
8394,8394,7699,1
8395,8395,7700,1
8396,8396,7701,1
8397,8397,7702,1
8398,8398,7703,1
8399,8399,7704,1
8400,8400,7705,1
8401,8401,7706,1
8402,8402,7707,1
8403,8403,7708,1
8404,8404,7709,1
8405,8405,7710,1
8406,8406,7711,1
8407,8407,7712,1
8408,8408,7713,1
8409,8409,7714,1
8410,8410,7715,1
8411,8411,7716,1
8412,8412,7717,1
8413,8413,7718,1
8414,8414,7719,1
8415,8415,7720,1
8416,8416,7721,1
8417,8417,7722,1
8418,8418,7723,1
8419,8419,7724,1
8420,8420,7725,1
8421,8421,7726,1
8422,8422,7727,1
8423,8423,7728,1
8424,8424,7729,1
8425,8425,7730,1
8426,8426,7731,1
8427,8427,7732,1
8428,8428,7733,1
8429,8429,7734,1
8430,8430,7735,1
8431,8431,7736,1
8432,8432,7737,1
8433,8433,7738,1
8434,8434,7739,1
8435,8435,7740,1
8436,8436,7741,1
8437,8437,7742,1
8438,8438,7743,1
8439,8439,7744,1
8440,8440,7745,1
8441,8441,7746,1
8442,8442,7747,1
8443,8443,7748,1
8444,8444,7749,1
8445,8445,7750,1
8446,8446,7751,1
8447,8447,7752,1
8448,8448,7753,1
8449,8449,7754,1
8450,8450,7755,1
8451,8451,7756,1
8452,8452,7757,1
8453,8453,7758,1
8454,8454,7759,1
8455,8455,7760,1
8456,8456,7761,1
8457,8457,7762,1
8458,8458,7763,1
8459,8459,7764,1
8460,8460,7765,1
8461,8461,7766,1
8462,8462,7767,1
8463,8463,7768,1
8464,8464,7769,1
8465,8465,7770,1
8466,8466,7771,1
8467,8467,7772,1
8468,8468,7773,1
8469,8469,7774,1
8470,8470,7775,1
8471,8471,7776,1
8472,8472,7777,1
8473,8473,7778,1
8474,8474,7779,1
8475,8475,7780,1
8476,8476,7781,1
8477,8477,7782,1
8478,8478,7783,1
8479,8479,7784,1
8480,8480,7785,1
8481,8481,7786,1
8482,8482,7787,1
8483,8483,7788,1
8484,8484,7789,1
8485,8485,7790,1
8486,8486,7791,1
8487,8487,7792,1
8488,8488,7793,1
8489,8489,7794,1
8490,8490,7795,1
8491,8491,7796,1
8492,8492,7797,1
8493,8493,7798,1
8494,8494,7799,1
8495,8495,7800,1
8496,8496,7801,1
8497,8497,7802,1
8498,8498,7803,1
8499,8499,7804,1
8500,8500,7805,1
8501,8501,7806,1
8502,8502,7807,1
8503,8503,7808,1
8504,8504,7809,1
8505,8505,7810,1
8506,8506,7811,1
8507,8507,7812,1
8508,8508,7813,1
8509,8509,7814,1
8510,8510,7815,1
8511,8511,7816,1
8512,8512,7817,1
8513,8513,7818,1
8514,8514,7819,1
8516,8516,7821,1
8517,8517,7822,1
8518,8518,7823,1
8519,8519,7824,1
8520,8520,7825,1
8522,8522,7827,1
8523,8523,7828,1
8524,8524,7829,1
8525,8525,7830,1
8526,8526,7831,1
8527,8527,7832,1
8528,8528,7833,1
8529,8529,7834,1
8530,8530,7835,1
8531,8531,7836,1
8532,8532,7837,1
8533,8533,7838,1
8534,8534,7839,1
8535,8535,7840,1
8536,8536,7841,1
8537,8537,7842,1
8538,8538,7843,1
8539,8539,7844,1
8540,8540,7845,1
8541,8541,7846,1
8542,8542,7847,1
8543,8543,7848,1
8544,8544,7849,1
8545,8545,7850,1
8546,8546,7851,1
8547,8547,7852,1
8548,8548,7853,1
8549,8549,7854,1
8550,8550,7855,1
8551,8551,7856,1
8552,8552,7857,1
8553,8553,7858,1
8554,8554,7859,1
8555,8555,7860,1
8556,8556,7861,1
8557,8557,7862,1
8558,8558,7863,1
8559,8559,7864,1
8560,8560,7865,1
8561,8561,7866,1
8562,8562,7867,1
8563,8563,7868,1
8564,8564,7869,1
8565,8565,7870,1
8566,8566,7871,1
8567,8567,7872,1
8568,8568,7873,1
8569,8569,7874,1
8570,8570,7875,1
8571,8571,7876,1
8572,8572,7877,1
8573,8573,7878,1
8574,8574,7879,1
8575,8575,7880,1
8576,8576,7881,1
8577,8577,7882,1
8578,8578,7883,1
8579,8579,7884,1
8580,8580,7885,1
8581,8581,7886,1
8582,8582,7887,1
8583,8583,7888,1
8584,8584,7889,1
8585,8585,7890,1
8586,8586,7891,1
8587,8587,7892,1
8588,8588,7893,1
8589,8589,7894,1
8590,8590,7895,1
8591,8591,7896,1
8592,8592,7897,1
8593,8593,7898,1
8594,8594,7899,1
8595,8595,7900,1
8596,8596,7901,1
8597,8597,7902,1
8598,8598,7903,1
8599,8599,7904,1
