"ID","creature2Id","unitPropertyIndex","unitPropertyValue"
47,2932,100,1.6
299,4828,100,0.5
419,4307,100,0.87
660,6429,100,0
771,7440,100,4
775,7569,100,0.4
777,7600,100,0.4
778,7601,100,0.4
786,7643,100,1.5
790,7665,100,5
817,7894,100,0.4
840,7949,100,0.4
841,7959,100,1.5
842,7939,100,0.5
843,7943,100,0.5
890,7951,100,1.5
912,8157,100,2
919,8151,100,2.25
952,8291,100,0
978,8597,100,0.7
980,8088,100,0.8
1001,8823,100,2
1002,8824,100,2
1055,8164,100,1.75
1176,9416,100,0.8
1177,9413,100,0.8
1178,9410,100,0.8
1463,9870,100,1
1464,9896,100,1
1465,9919,100,1
1821,10387,100,1
1970,10654,100,0.3
1980,10543,100,0.6
1981,10544,100,0.7
1984,10556,100,1
1985,10557,100,1
1986,10558,100,1
2061,10548,100,0.3
2064,10605,100,0
2072,10861,100,1.333
2084,10893,100,0.3
2111,10915,100,0
2133,10870,100,4
2143,9414,100,1
2179,11104,100,1.5
2180,11105,100,1.5
2181,11106,100,1.5
2208,11247,100,1.25
2209,11244,100,0.25
2210,11245,100,0.25
2211,11246,100,1.5
2289,11383,100,4
2299,11405,100,1.5
2331,11458,100,0.6
2339,11474,100,1.2
2433,11690,100,0.4
2603,11464,100,0
2686,12037,100,0.8
2691,11931,100,0.75
2692,11930,100,0.75
2698,12245,100,0.5
2706,11711,100,0.5
2730,12392,100,1.5
2755,12553,25,0
2763,12560,100,0.8
2767,12563,100,0.8
2804,12570,100,12
2812,11925,36,400
2813,11924,36,400
2843,12728,25,0
2845,12729,25,0
2847,12730,25,0
2849,12731,25,0
2851,12732,25,0
2857,12488,7,1
2866,11467,7,5000
2890,12700,100,0
2893,12827,7,1
2900,12828,138,0.75
2901,12829,138,0.75
2902,12830,138,0.5
2903,12831,138,0.5
2904,12832,138,0.25
2905,12833,138,0.25
2906,12834,7,10
2907,12834,23,500
2909,1939,7,1
2910,6917,7,1
2911,6671,7,1
2913,11987,7,75
2916,5795,7,99999
2917,5795,0,1
2918,5795,1,1
2919,5795,2,1
2920,5795,23,1
2921,5795,24,1
2922,5795,25,1
2925,12972,100,100
2926,13001,7,75
2950,3188,7,1
2951,4784,7,1
2952,4858,7,1
2953,7828,7,1
2954,8170,7,1
2955,8501,7,1
2956,9518,7,1
2957,9522,7,1
2958,9747,7,1
2959,10251,7,1
2960,13066,7,800
2961,12515,7,45
2963,12517,7,45
2970,12517,24,150
2972,12515,25,175
2976,12511,7,0
2977,12513,7,0
2978,12513,23,150
2979,12513,24,150
2980,12513,25,150
2981,12511,23,320
2982,12511,24,320
2983,12511,25,320
2985,13275,100,2.23
2986,13280,100,2.23
2987,13281,100,2.23
2993,13285,100,2.23
2994,13286,100,2.23
2995,13303,100,0.9
3030,7440,7,1
3033,8151,7,1
3035,8156,7,1
3037,8163,7,1
3039,8164,7,1
3042,8183,7,1
3047,13369,100,0.9
3054,13520,7,1
3055,13505,100,20
3066,13578,7,600
3067,13579,7,600
3073,13612,7,5000
3080,13614,25,175
3084,13615,24,150
3088,13616,23,200
3090,13609,7,10000
3091,13615,7,250
3092,13614,7,300
3094,13617,7,10000
3095,13618,7,300
3096,13618,23,200
3097,13619,7,300
3098,13619,25,175
3099,13620,7,250
3100,13620,24,150
3101,13621,23,200
3103,13307,100,3
3104,13612,23,0
3105,11172,23,0
3106,11173,23,0
3107,13653,23,1869
3108,13653,24,1869
3109,13653,25,1869
3110,13703,100,0.9
3111,11436,7,15000
3112,13834,100,0.8
3114,13859,7,1
3117,13930,7,120000
3126,12965,171,5.1
3127,13073,171,3.7
3132,13980,0,1
3133,13980,1,1
3134,13980,2,1
3136,13980,7,99999
3137,13980,23,1
3138,13980,24,1
3139,13980,25,1
3140,13832,165,100
3141,13833,165,100
3143,14010,23,1106
3144,14010,24,1106
3145,14010,25,1106
3167,11932,171,8.4
3173,13592,171,8.4
3174,11934,171,1.25
3175,12834,171,8.4
3189,14096,100,0.9
3190,14098,100,0.9
3191,14104,100,0.9
3192,14110,100,0.9
3206,14124,7,1
3207,14178,100,0.9
3208,14194,100,0.9
3209,14127,0,12
3210,14127,7,300
3211,13766,7,200
3212,14272,7,1
3213,14160,7,900
3214,14364,7,180
3215,14365,7,100
3216,14422,7,120000
3217,14424,7,120000
3222,14521,7,4000
3224,14522,7,15000
3225,14535,100,1.25
3227,14522,100,0
3229,14515,7,4000
3230,14516,7,4000
3231,14517,7,4000
3235,14550,100,1.25
3238,14489,100,5
3239,14494,100,3
3240,3203,7,400
3258,2699,7,1
3261,14810,7,75
3263,14811,100,0.9
3277,14903,100,2
3285,14991,7,120000
3286,14994,7,120000
3288,15136,7,150
3290,12916,7,4000
3292,15152,7,4000
3296,15171,131,0
3297,15172,131,0
3298,15177,7,150
3306,15250,7,4000
3307,15251,7,4000
3309,15205,7,3000
3317,15171,7,100
3318,15170,7,75
3329,15153,100,0.7
3331,15343,7,45
3332,15343,24,150
3334,15344,7,55
3335,15344,25,175
3337,15348,7,45
3338,15348,24,150
3340,15349,7,55
3341,15349,25,175
3346,15321,7,1000
3347,15322,7,1000
3348,15423,7,3000
3352,15475,7,15000
3357,15520,7,1
3358,14615,7,2000
3360,15578,7,120000
3361,15579,7,120000
3362,15589,7,120000
3363,15594,100,0.9
3365,15618,100,0
3366,15617,100,1.5
3367,15640,7,200
3368,15653,100,0
3369,15503,100,2
3374,15672,7,15
3376,15863,7,4480
3378,15907,7,3000
3379,15917,100,0.9
3380,15918,100,0.9
3381,15929,7,3000
3382,15930,7,3000
3383,15931,7,3000
3384,15933,7,3000
3385,15935,7,3000
3386,15936,7,3000
3387,15955,100,0.9
3389,15932,7,1
3392,16059,7,15
3393,16063,100,0.9
3394,16065,7,3000
3395,16069,100,0.9
3396,16079,100,0.9
3398,16133,100,0.9
3399,16134,100,0.9
3400,16229,7,0
3401,16232,7,0
3412,16576,7,99999
3416,16583,7,640
3417,16587,100,0.9
3419,16588,7,1
3432,16698,100,0.9
3433,16723,100,0.9
3434,16724,100,0.9
3438,16740,171,2.9
3439,16742,7,3000
3440,16745,7,3000
3441,16746,7,3000
3442,16747,7,3000
3443,16748,7,3000
3444,16749,7,3000
3445,16750,7,3000
3446,16751,7,3000
3447,16752,7,3000
3448,16753,7,3000
3453,16760,7,3000
3455,16768,7,3000
3456,16769,7,3000
3457,16771,7,3000
3462,16779,7,3000
3463,16780,7,3000
3464,16781,7,3000
3465,16782,7,3000
3466,16783,7,3000
3467,16784,7,3000
3468,16785,7,3000
3469,16786,7,3000
3470,16787,7,3000
3472,16794,7,1
3474,16795,7,1
3476,16796,7,1
3478,16797,7,1
3480,16798,7,1
3488,13203,100,2.27
3493,16946,100,3
3496,16958,7,1
3498,16959,7,1
3500,16960,7,50
3501,16967,100,3
3502,16968,100,3
3503,16969,23,0
3508,16979,7,1
3509,16455,7,0
3510,16456,7,1400
3511,16908,7,4000
3512,17019,7,3000
3513,17020,7,3000
3514,17021,7,3000
3516,17023,7,3000
3523,17102,100,3
3532,16581,7,55
3568,17169,7,3500
3569,17170,7,3500
3581,17318,7,2000
3582,17128,100,50
3606,17366,7,75
3610,17433,100,0
3624,17487,7,1
3628,17493,171,5.8
3644,17562,100,3
3649,17608,23,1510
3650,17608,24,1510
3651,17608,25,1510
3659,17645,7,1
3661,17068,7,3940
3717,17713,100,2
3719,17732,7,1000
3720,17732,100,0.75
3722,17757,100,6
3724,17774,100,2
3725,17775,100,2
3726,17776,100,2
3730,17679,7,75
3732,17696,7,75
3734,17708,7,75
3740,17931,100,0
3741,17884,7,5000
3742,17885,7,5000
3743,17886,7,5000
3744,17887,7,5000
3747,17940,7,1350
3748,17783,100,5
3749,17756,100,5
3751,17978,26,1
3752,17978,27,1
3753,17978,28,1
3755,18093,100,0.9
3756,18094,100,0.9
3757,18095,100,0.9
3766,17978,7,50
3769,18216,7,1
3770,18231,100,3
3778,18339,7,8000
3886,18416,7,50
3887,18416,26,1
3888,18416,27,1
3889,18416,28,1
3891,18420,7,100000
3893,18420,174,0.5
3894,18420,175,0.5
3895,18420,176,100
3896,18420,177,100
3897,18420,178,250
3901,18420,179,-1
3917,18464,7,7000
3918,18464,138,0.25
3919,18464,141,0.25
3920,18464,142,0.25
3937,18491,7,88
3938,18213,7,15000
3939,18213,134,0
3960,18514,100,1.3
3997,18551,7,15000
3998,18551,134,0
4049,18845,7,100
4051,18896,7,1
4052,18908,7,1
4058,18935,7,1
4069,19025,7,2500
4072,19095,7,60
4073,19110,7,810
4074,19115,7,25380
4076,19123,100,1.5
4078,17198,100,0.84
4079,19130,7,27150
4085,19181,7,500
4086,19051,7,1
4089,19182,7,800
4090,18819,7,800
4098,19295,7,1
4099,19296,7,600
4100,19301,100,0
4101,19302,100,0
4105,19315,100,3
4112,17200,7,100
4113,17201,7,100
4114,17202,7,100
4115,17067,7,2000
4116,17062,7,2000
4118,19417,7,3000
4119,19425,7,50
4122,19455,7,30
4126,19514,100,0.9
4132,19571,7,50
4133,19572,7,50
4141,17284,132,0.2
4142,19634,7,1
4143,19673,7,99999
4144,19673,26,0
4145,19673,27,0
4146,19673,28,0
4147,19677,7,99999
4148,19677,26,0
4149,19677,27,0
4150,19677,28,0
4155,19933,7,50
4157,19945,7,50
4159,19956,7,10
4160,19963,7,1
4161,20020,7,50
4162,20021,7,50
4163,20022,7,50
4166,20095,7,50
4167,20124,7,50
4168,20125,7,50
4169,20126,7,50
4170,20127,7,50
4173,20136,2,10000
4174,20136,3,10000
4176,20136,4,1000
4177,20137,7,50
4178,20138,7,50
4179,20139,7,50
4180,20140,7,50
4181,20141,7,50
4186,20318,100,0.5
4187,19477,7,7680
4189,20384,7,75
4192,20446,7,50
4193,20447,7,50
4194,20465,7,50
4198,20487,7,50
4199,20508,7,50
4201,20524,7,50
4203,20542,7,50
4204,20558,7,50
4205,20573,7,50
4211,20601,7,50
4212,20611,7,50
4213,20614,7,50
4214,20630,7,50
4215,20631,7,50
4216,20632,7,50
4217,20635,7,50
4218,20681,7,50
4226,20691,7,50
4228,17045,7,20
