"ID","unitPropertyMultiplier000","unitPropertyMultiplier001","unitPropertyMultiplier002","unitPropertyMultiplier003","unitPropertyMultiplier004","unitPropertyMultiplier005","unitPropertyMultiplier006","unitPropertyMultiplier007","unitPropertyMultiplier008","unitPropertyMultiplier009","unitPropertyMultiplier010","unitPropertyMultiplier011","unitPropertyMultiplier012","unitPropertyMultiplier013","unitPropertyMultiplier014","unitPropertyMultiplier015","unitPropertyMultiplier016","unitPropertyMultiplier017","unitPropertyMultiplier018","unitPropertyMultiplier019","unitPropertyMultiplier020","unitPropertyMultiplier021","unitPropertyMultiplier022","unitPropertyMultiplier023","unitPropertyMultiplier024","unitPropertyMultiplier025","unitPropertyMultiplier026","unitPropertyMultiplier027","unitPropertyMultiplier028","unitPropertyMultiplier029","unitPropertyMultiplier030","unitPropertyMultiplier031","unitPropertyMultiplier032","unitPropertyMultiplier033","unitPropertyMultiplier034","unitPropertyMultiplier035","unitPropertyMultiplier036","unitPropertyMultiplier037","unitPropertyMultiplier038","unitPropertyMultiplier039","unitPropertyMultiplier040","unitPropertyMultiplier041","unitPropertyMultiplier042","unitPropertyMultiplier043","unitPropertyMultiplier044","unitPropertyMultiplier045","unitPropertyMultiplier046","unitPropertyMultiplier047","unitPropertyMultiplier048","unitPropertyMultiplier049","unitPropertyMultiplier050","unitPropertyMultiplier051","unitPropertyMultiplier052","unitPropertyMultiplier053","unitPropertyMultiplier054","unitPropertyMultiplier055","unitPropertyMultiplier056","unitPropertyMultiplier057","unitPropertyMultiplier058","unitPropertyMultiplier059","unitPropertyMultiplier060","unitPropertyMultiplier061","unitPropertyMultiplier062","unitPropertyMultiplier063","unitPropertyMultiplier064","unitPropertyMultiplier065","unitPropertyMultiplier066","unitPropertyMultiplier067","unitPropertyMultiplier068","unitPropertyMultiplier069","unitPropertyMultiplier070","unitPropertyMultiplier071","unitPropertyMultiplier072","unitPropertyMultiplier073","unitPropertyMultiplier074","unitPropertyMultiplier075","unitPropertyMultiplier076","unitPropertyMultiplier077","unitPropertyMultiplier078","unitPropertyMultiplier079","unitPropertyMultiplier080","unitPropertyMultiplier081","unitPropertyMultiplier082","unitPropertyMultiplier083","unitPropertyMultiplier084","unitPropertyMultiplier085","unitPropertyMultiplier086","unitPropertyMultiplier087","unitPropertyMultiplier088","unitPropertyMultiplier089","unitPropertyMultiplier090","unitPropertyMultiplier091","unitPropertyMultiplier092","unitPropertyMultiplier093","unitPropertyMultiplier094","unitPropertyMultiplier095","unitPropertyMultiplier096","unitPropertyMultiplier097","unitPropertyMultiplier098","unitPropertyMultiplier099","unitPropertyMultiplier100","unitPropertyMultiplier101","unitPropertyMultiplier102","unitPropertyMultiplier103","unitPropertyMultiplier104","unitPropertyMultiplier105","unitPropertyMultiplier106","unitPropertyMultiplier107","unitPropertyMultiplier108","unitPropertyMultiplier109","unitPropertyMultiplier110","unitPropertyMultiplier111","unitPropertyMultiplier112","unitPropertyMultiplier113","unitPropertyMultiplier114","unitPropertyMultiplier115","unitPropertyMultiplier116","unitPropertyMultiplier117","unitPropertyMultiplier118","unitPropertyMultiplier119","unitPropertyMultiplier120","unitPropertyMultiplier121","unitPropertyMultiplier122","unitPropertyMultiplier123","unitPropertyMultiplier124","unitPropertyMultiplier125","unitPropertyMultiplier126","unitPropertyMultiplier127","unitPropertyMultiplier128","unitPropertyMultiplier129","unitPropertyMultiplier130","unitPropertyMultiplier131","unitPropertyMultiplier132","unitPropertyMultiplier133","unitPropertyMultiplier134","unitPropertyMultiplier135","unitPropertyMultiplier136","unitPropertyMultiplier137","unitPropertyMultiplier138","unitPropertyMultiplier139","unitPropertyMultiplier140","unitPropertyMultiplier141","unitPropertyMultiplier142","unitPropertyMultiplier143","unitPropertyMultiplier144","unitPropertyMultiplier145","unitPropertyMultiplier146","unitPropertyMultiplier147","unitPropertyMultiplier148","unitPropertyMultiplier149","unitPropertyMultiplier150","unitPropertyMultiplier151","unitPropertyMultiplier152","unitPropertyMultiplier153","unitPropertyMultiplier154","unitPropertyMultiplier155","unitPropertyMultiplier156","unitPropertyMultiplier157","unitPropertyMultiplier158","unitPropertyMultiplier159","unitPropertyMultiplier160","unitPropertyMultiplier161","unitPropertyMultiplier162","unitPropertyMultiplier163","unitPropertyMultiplier164","unitPropertyMultiplier165","unitPropertyMultiplier166","unitPropertyMultiplier167","unitPropertyMultiplier168","unitPropertyMultiplier169","unitPropertyMultiplier170","unitPropertyMultiplier171","unitPropertyMultiplier172","unitPropertyMultiplier173","unitPropertyMultiplier174","unitPropertyMultiplier175","unitPropertyMultiplier176","unitPropertyMultiplier177","unitPropertyMultiplier178","unitPropertyMultiplier179","unitPropertyMultiplier180","unitPropertyMultiplier181","unitPropertyMultiplier182","unitPropertyMultiplier183","unitPropertyMultiplier184","unitPropertyMultiplier185","unitPropertyMultiplier186","unitPropertyMultiplier187","unitPropertyMultiplier188","unitPropertyMultiplier189","unitPropertyMultiplier190","unitPropertyMultiplier191","unitPropertyMultiplier192","unitPropertyMultiplier193","unitPropertyMultiplier194","unitPropertyMultiplier195","unitPropertyMultiplier196","unitPropertyMultiplier197","unitPropertyMultiplier198","unitPropertyMultiplier199"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.0966,1.0966,1.0966,1.0966,1.0966,1,1,1.31593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0966,1.0966,1,1,1,1.31593,1.31593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1.19447,1.19447,1.19447,1.19447,1.19447,1,1,1.43337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19447,1.19447,1,1,1,1.43337,1.43337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.29372,1.29372,1.29372,1.29372,1.29372,1,1,1.55247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.29372,1.29372,1,1,1,1.55247,1.55247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1.39448,1.39448,1.39448,1.39448,1.39448,1,1,1.67338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.39448,1.39448,1,1,1,1.67338,1.67338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.02113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1.49689,1.49689,1.49689,1.49689,1.49689,1,1,1.79627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.49689,1.49689,1,1,1,1.79627,1.79627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1.6011,1.6011,1.6011,1.6011,1.6011,1,1,1.92132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.6011,1.6011,1,1,1,1.92132,1.92132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.09067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1.70728,1.70728,1.70728,1.70728,1.70728,1,1,2.04874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.70728,1.70728,1,1,1,2.04874,2.04874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.81562,1.81562,1.81562,1.81562,1.81562,1,1,2.17874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.81562,1.81562,1,1,1,2.17874,2.17874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1.92632,1.92632,1.92632,1.92632,1.92632,1,1,2.31158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.92632,1.92632,1,1,1,2.31158,2.31158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
