"ID","unitPropertyValue00","unitPropertyValue01","unitPropertyValue02","unitPropertyValue03","unitPropertyValue04","unitPropertyValue05","unitPropertyValue06","unitPropertyValue07","unitPropertyValue08","unitPropertyValue09","unitPropertyValue10","unitPropertyValue11","unitPropertyValue12","unitPropertyValue13","unitPropertyValue14","unitPropertyValue15","unitPropertyValue16","unitPropertyValue17","unitPropertyValue18","unitPropertyValue19","unitPropertyValue20","unitPropertyValue21","unitPropertyValue22","unitPropertyValue23","unitPropertyValue24","unitPropertyValue25","unitPropertyValue26","unitPropertyValue27","unitPropertyValue28","unitPropertyValue29","unitPropertyValue30","unitPropertyValue31","unitPropertyValue32","unitPropertyValue33","unitPropertyValue34","unitPropertyValue35","unitPropertyValue36","unitPropertyValue37","unitPropertyValue38","unitPropertyValue39","unitPropertyValue40","unitPropertyValue41","unitPropertyValue42","unitPropertyValue43","unitPropertyValue44","unitPropertyValue45","unitPropertyValue46","unitPropertyValue47","unitPropertyValue48","unitPropertyValue49","unitPropertyValue50","unitPropertyValue51","unitPropertyValue52","unitPropertyValue53","unitPropertyValue54","unitPropertyValue55","unitPropertyValue56","unitPropertyValue57","unitPropertyValue58","unitPropertyValue59","unitPropertyValue60","unitPropertyValue61","unitPropertyValue62","unitPropertyValue63","unitPropertyValue64","unitPropertyValue65","unitPropertyValue66","unitPropertyValue67","unitPropertyValue68","unitPropertyValue69","unitPropertyValue70","unitPropertyValue71","unitPropertyValue72","unitPropertyValue73","unitPropertyValue74","unitPropertyValue75","unitPropertyValue76","unitPropertyValue77","unitPropertyValue78","unitPropertyValue79","unitPropertyValue80","unitPropertyValue81","unitPropertyValue82","unitPropertyValue83","unitPropertyValue84","unitPropertyValue85","unitPropertyValue86","unitPropertyValue87","unitPropertyValue88","unitPropertyValue89","unitPropertyValue90","unitPropertyValue91","unitPropertyValue92","unitPropertyValue93","unitPropertyValue94","unitPropertyValue95","unitPropertyValue96","unitPropertyValue97","unitPropertyValue98","unitPropertyValue99"
1,15.3923,15.3923,15.3923,15.3923,15.3923,0,0,135.97,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,61.5692,61.5692,0,0,0,5,135.97,80.08,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22.0629,22.0629,22.0629,22.0629,22.0629,0,0,216.533,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,88.2515,88.2515,0,0,0,10,216.533,107.03,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,37.0806,37.0806,37.0806,37.0806,37.0806,0,0,342.086,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,148.322,148.322,0,0,0,15.5,342.086,281.05,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,45.6036,45.6036,45.6036,45.6036,45.6036,0,0,569.698,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,182.414,182.414,0,0,0,21.5,569.698,348.81,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,54.1268,54.1268,54.1268,54.1268,54.1268,0,0,735.861,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,216.507,216.507,0,0,0,27.75,735.861,418.88,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65.6532,65.6532,65.6532,65.6532,65.6532,0,0,913.812,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,262.613,262.613,0,0,0,34.25,913.812,483.56,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,74.1036,74.1036,74.1036,74.1036,74.1036,0,0,1334.08,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,296.414,296.414,0,0,0,40,1334.08,539,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,82.6599,82.6599,82.6599,82.6599,82.6599,0,0,1715.16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,330.64,330.64,0,0,0,47.5,1715.16,592.9,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,91.4913,91.4913,91.4913,91.4913,91.4913,0,0,2295.49,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,365.965,365.965,0,0,0,53.75,2295.49,645.26,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100.51,100.51,100.51,100.51,100.51,0,0,2777.49,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,402.039,402.039,0,0,0,61,2777.49,700.7,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
