"ID","localizedTextId","sclX","sclY","sclZ","rotX","rotY","rotZ","posX","posY","posZ"
1,150724,0,0,0,1,0,0,0,0,0
2,150725,0,1,0,0,0,0,0,0,0
3,150726,0,0,1,0,0,0,0,0,0
4,150727,1,0,0,0,0,0,0,0,0
5,150728,0,0,0,0,0,1,0,0,0
6,150729,0,0,0,0,0,0,0,1,0
7,150730,1,1,1,0,0,0,0,0,0
8,150731,0,0,0,0,0,0,0,1,0
9,150732,1,1,1,0,0,0,0,0,0
10,150733,0,0,0,0,0,0,1,0,0
11,150734,0,0,0,0,0,0,1,0,0
12,150735,0,2,0,0,0,0,0,0,0
13,150736,0,0,0,0,0,0,0,1,0
14,150737,0,0,0,0,0,0,1,0,0
15,150738,0,1,1,0,0,0,0,0,0
16,150741,1,0,0,0,0,0,0,0,0
17,150742,0,0,0,0,0,0,0,0,1
18,150743,0,0,0,0,0,0,0,1,0
19,150744,1,1,1,0,0,0,0,0,0
20,150745,0,0,0,1,0,0,0,0,0
21,150746,0,0,0,0,0,0,0,1,0
22,150747,0,1,0,0,0,0,0,0,0
23,150748,0,0,1,0,0,0,0,0,0
24,150749,1,0,0,0,0,0,0,0,0
