"ID","raceId","genderEnum","modelBoneId","customizationParameterId","dataOrder","flags"
201,1,0,81,10,1,0
202,1,0,81,8,2,0
203,1,0,81,9,3,0
204,1,0,82,10,1,0
205,1,0,82,8,2,0
206,1,0,82,9,3,0
207,1,0,83,14,1,0
208,1,0,83,13,2,0
209,1,0,83,16,3,0
210,1,0,83,15,4,0
211,1,0,84,14,1,0
212,1,0,84,13,2,0
213,1,0,84,16,3,0
214,1,0,84,15,4,0
215,1,0,87,11,1,0
216,1,0,87,6,2,0
217,1,0,87,7,3,0
218,1,0,87,5,4,0
219,1,0,88,11,1,0
220,1,0,88,7,2,0
221,1,0,88,6,3,0
222,1,0,88,5,4,0
223,1,0,80,2,1,0
224,1,0,80,4,2,0
225,1,0,80,3,3,0
226,1,0,80,1,4,0
227,1,0,89,22,1,0
228,1,0,89,24,2,0
229,1,0,89,23,3,0
230,1,0,89,21,4,0
231,1,0,89,20,5,0
232,1,0,79,19,1,0
233,1,0,79,18,2,0
234,1,0,79,17,3,0
235,1,0,85,12,1,1
236,1,0,86,12,1,1
393,3,0,79,19,1,0
394,3,0,79,18,2,0
395,3,0,79,17,3,0
396,3,0,80,2,1,0
397,3,0,80,4,2,0
398,3,0,80,3,3,0
399,3,0,80,1,4,0
400,3,0,81,10,1,0
401,3,0,81,8,2,0
402,3,0,81,9,3,0
403,3,0,82,10,1,0
404,3,0,82,8,2,0
405,3,0,82,9,3,0
406,3,0,83,14,1,0
407,3,0,83,13,2,0
408,3,0,83,16,3,0
409,3,0,83,15,4,0
410,3,0,84,14,1,0
411,3,0,84,13,2,0
412,3,0,84,16,3,0
413,3,0,84,15,4,0
414,3,0,85,12,1,1
415,3,0,86,12,1,1
416,3,0,87,11,1,0
417,3,0,87,6,2,0
418,3,0,87,7,3,0
419,3,0,87,5,4,0
420,3,0,88,11,1,0
421,3,0,88,6,2,0
422,3,0,88,7,3,0
423,3,0,88,5,4,0
424,3,0,89,22,1,0
425,3,0,89,24,2,0
426,3,0,89,23,3,0
427,3,0,89,21,4,0
428,3,0,89,20,5,0
432,1,1,80,1,1,0
433,1,1,80,2,2,0
434,1,1,80,3,3,0
435,1,1,80,4,4,0
436,1,1,87,5,1,0
437,1,1,87,6,2,0
438,1,1,87,7,3,0
439,1,1,88,5,1,0
440,1,1,88,6,2,0
441,1,1,88,7,3,0
442,1,1,83,13,1,0
443,1,1,83,14,2,0
444,1,1,83,15,3,0
445,1,1,83,16,4,0
446,1,1,84,13,1,0
447,1,1,84,14,2,0
448,1,1,84,15,3,0
449,1,1,84,16,4,0
450,1,1,81,8,1,0
451,1,1,81,9,2,0
452,1,1,81,10,3,0
453,1,1,82,8,1,0
454,1,1,82,9,2,0
455,1,1,82,10,3,0
456,1,1,79,17,1,0
457,1,1,79,18,2,0
458,1,1,79,19,3,0
459,1,1,89,20,1,0
460,1,1,89,21,2,0
461,1,1,89,22,3,0
462,1,1,89,23,4,0
463,1,1,89,24,5,0
465,1,1,87,11,4,0
466,1,1,88,11,4,0
467,5,0,80,1,1,0
468,5,0,80,2,2,0
469,5,0,80,3,3,0
470,5,0,80,4,4,0
471,5,0,87,5,1,0
472,5,0,87,6,2,0
473,5,0,87,7,3,0
474,5,0,88,5,1,0
475,5,0,88,6,2,0
476,5,0,88,7,3,0
477,5,0,81,8,1,0
478,5,0,81,9,2,0
479,5,0,81,10,3,0
480,5,0,82,8,1,0
481,5,0,82,9,2,0
482,5,0,82,10,3,0
483,5,0,87,11,4,0
484,5,0,88,11,4,0
485,5,0,83,13,1,0
486,5,0,83,14,2,0
487,5,0,83,15,3,0
488,5,0,83,16,4,0
489,5,0,84,13,1,0
490,5,0,84,14,2,0
491,5,0,84,15,3,0
492,5,0,84,16,4,0
493,5,0,79,17,1,0
494,5,0,79,18,2,0
495,5,0,79,19,3,0
496,5,0,89,20,1,0
497,5,0,89,21,2,0
498,5,0,89,22,3,0
499,5,0,89,23,4,0
500,5,0,89,24,5,0
501,12,0,80,1,1,0
502,12,0,80,2,2,0
503,12,0,80,3,3,0
504,12,0,80,4,4,0
505,12,0,87,5,1,0
506,12,0,87,6,2,0
507,12,0,87,7,3,0
508,12,0,87,11,4,0
509,12,0,88,5,1,0
510,12,0,88,6,2,0
511,12,0,88,7,3,0
512,12,0,88,11,4,0
513,12,0,83,13,1,0
514,12,0,83,14,2,0
515,12,0,83,15,3,0
516,12,0,83,16,4,0
517,12,0,84,13,1,0
518,12,0,84,14,2,0
519,12,0,84,15,3,0
520,12,0,84,16,4,0
521,12,0,81,8,1,0
522,12,0,81,9,2,0
523,12,0,81,10,3,0
524,12,0,82,8,1,0
525,12,0,82,9,2,0
526,12,0,82,10,3,0
527,12,0,85,12,1,1
528,12,0,86,12,1,1
529,12,0,79,17,1,0
530,12,0,79,18,2,0
531,12,0,79,19,3,0
532,12,0,89,20,1,1
533,12,0,89,21,2,1
534,12,0,89,22,3,1
535,12,0,89,23,4,1
536,12,0,89,24,5,1
549,5,1,80,1,1,0
550,5,1,80,2,2,0
551,5,1,80,3,3,0
552,5,1,80,4,4,0
553,5,1,79,17,1,0
554,5,1,79,18,2,0
555,5,1,79,19,3,0
556,5,1,81,8,1,0
557,5,1,81,9,2,0
558,5,1,81,10,3,0
559,5,1,82,10,1,0
560,5,1,82,9,2,0
561,5,1,82,8,3,0
562,5,1,83,13,1,0
563,5,1,83,14,2,0
564,5,1,83,15,3,0
565,5,1,83,16,4,0
566,5,1,84,16,1,0
567,5,1,84,15,2,0
568,5,1,84,14,3,0
569,5,1,84,13,4,0
570,5,1,87,5,1,0
571,5,1,87,6,2,0
572,5,1,87,7,3,0
573,5,1,87,11,4,0
574,5,1,88,11,1,0
575,5,1,88,7,2,0
576,5,1,88,6,3,0
577,5,1,88,5,4,0
578,5,1,89,20,1,0
579,5,1,89,21,2,0
580,5,1,89,22,3,0
581,5,1,89,23,4,0
582,5,1,89,24,5,0
613,4,0,80,1,1,0
614,4,0,79,17,1,0
616,4,1,80,1,1,0
617,4,1,80,2,2,0
618,4,1,80,3,3,0
619,4,0,80,3,2,0
620,4,0,80,2,3,0
621,4,0,80,4,4,0
622,4,1,80,4,4,0
623,4,1,79,17,1,0
624,4,1,79,18,2,0
625,4,1,79,19,3,0
626,4,0,79,19,2,0
627,4,0,79,18,3,0
628,4,0,81,8,1,0
629,4,0,81,9,2,0
630,4,0,81,10,3,0
631,4,0,82,10,1,0
632,4,0,82,9,2,0
633,4,0,82,8,3,0
634,4,1,82,8,1,0
635,4,1,82,9,2,0
636,4,1,82,10,3,0
637,4,1,81,10,1,0
638,4,1,81,9,2,0
639,4,1,81,8,3,0
640,4,1,83,13,1,0
641,4,1,83,14,2,0
642,4,1,83,15,3,0
643,4,1,83,16,4,0
644,4,1,84,16,1,0
645,4,1,84,15,2,0
646,4,1,84,14,3,0
647,4,1,84,13,4,0
648,4,0,84,13,1,0
649,4,0,84,14,2,0
650,4,0,84,15,3,0
