"id","loginDay","dailyLoginRewardTypeEnum","rewardObjectValue","dailyLoginRewardTierEnum"
1,1,0,180,0
8,2,0,612,0
186,3,0,607,0
6,4,0,184,0
2,5,0,181,0
190,6,0,606,0
200,7,0,608,0
201,8,0,609,0
5,9,0,182,0
10,10,0,187,1
206,11,0,212,0
90,12,0,216,0
187,13,0,607,0
4,14,0,245,0
69,15,0,189,0
192,16,0,610,0
9,17,0,603,0
11,18,0,188,0
3,19,0,217,0
125,20,0,219,1
205,21,0,212,0
91,22,0,216,0
191,23,0,606,0
170,24,0,245,0
70,25,0,189,0
193,26,0,610,0
266,27,0,604,0
12,28,0,188,0
97,29,0,217,0
87,30,0,213,1
204,31,0,212,0
92,32,0,216,0
232,33,0,608,0
171,34,0,245,0
71,35,0,189,0
194,36,0,610,0
272,37,0,605,0
13,38,0,188,0
98,39,0,217,0
181,40,0,229,1
203,41,0,212,0
93,42,0,216,0
235,43,0,609,0
172,44,0,245,0
72,45,0,189,0
195,46,0,610,0
261,47,0,603,0
14,48,0,188,0
99,49,0,217,0
146,50,0,573,1
202,51,0,212,0
94,52,0,216,0
147,53,0,182,0
173,54,0,245,0
73,55,0,189,0
196,56,0,610,0
267,57,0,604,0
15,58,0,188,0
100,59,0,217,0
7,60,0,183,1
75,61,0,212,0
180,62,0,216,0
188,63,0,607,0
174,64,0,245,0
218,65,0,189,0
197,66,0,610,0
273,67,0,605,0
16,68,0,188,0
101,69,0,217,0
88,70,0,215,1
76,71,0,212,0
207,72,0,216,0
199,73,0,606,0
175,74,0,245,0
219,75,0,189,0
250,76,0,610,0
262,77,0,603,0
17,78,0,188,0
102,79,0,217,0
182,80,0,235,1
77,81,0,212,0
208,82,0,216,0
233,83,0,608,0
240,84,0,245,0
220,85,0,189,0
251,86,0,610,0
268,87,0,604,0
18,88,0,188,0
103,89,0,217,0
143,90,0,570,1
78,91,0,212,0
209,92,0,216,0
236,93,0,609,0
241,94,0,245,0
221,95,0,189,0
252,96,0,610,0
274,97,0,605,0
19,98,0,188,0
104,99,0,217,0
89,100,0,214,1
286,101,0,212,0
210,102,0,216,0
238,103,0,182,0
242,104,0,245,0
222,105,0,189,0
253,106,0,610,0
263,107,0,603,0
20,108,0,188,0
105,109,0,217,0
126,110,0,220,1
79,111,0,212,0
211,112,0,216,0
189,113,0,607,0
243,114,0,245,0
223,115,0,189,0
254,116,0,610,0
269,117,0,604,0
21,118,0,188,0
106,119,0,217,0
145,120,0,572,1
80,121,0,212,0
212,122,0,216,0
230,123,0,606,0
244,124,0,245,0
224,125,0,189,0
255,126,0,610,0
275,127,0,605,0
23,128,0,188,0
107,129,0,217,0
179,130,0,557,1
81,131,0,212,0
213,132,0,216,0
234,133,0,608,0
245,134,0,245,0
225,135,0,189,0
256,136,0,610,0
264,137,0,603,0
277,138,0,188,0
108,139,0,217,0
127,140,0,221,1
82,141,0,212,0
214,142,0,216,0
237,143,0,609,0
246,144,0,245,0
226,145,0,189,0
257,146,0,610,0
270,147,0,604,0
278,148,0,188,0
282,149,0,217,0
185,150,0,576,1
83,151,0,212,0
215,152,0,216,0
239,153,0,182,0
247,154,0,245,0
227,155,0,189,0
258,156,0,610,0
276,157,0,605,0
279,158,0,188,0
283,159,0,217,0
144,160,0,571,1
84,161,0,212,0
216,162,0,216,0
