"ID","flags","localizedTextIdName","rampIndex","costMultiplier","componentMapEnum","prerequisiteId"
1,3,259186,0,1,1,0
2,3,259187,1,0.35,1,0
3,3,259188,2,0.55,1,0
4,3,259189,3,1,1,0
5,3,259190,4,0.75,1,0
6,3,259191,5,0.75,1,0
7,3,259192,6,0.35,1,0
8,3,259193,7,0.35,1,0
9,3,262037,8,0.55,1,0
10,3,264782,9,0.55,1,0
11,2,440643,10,0.35,1,0
12,2,440644,11,0.55,1,0
13,2,440645,12,0.35,1,0
14,2,440646,13,0.75,1,0
15,2,440647,14,0.55,1,0
16,2,440648,15,0.35,1,0
17,2,440649,16,0.35,1,0
18,2,440650,17,0.35,1,0
19,2,440651,18,0.55,1,0
20,2,440652,19,0.35,1,0
21,2,440653,20,0.35,1,0
22,2,440654,21,0.35,1,0
23,2,440655,22,0.55,1,0
24,2,440656,23,1,1,0
25,2,440657,24,0.75,1,0
26,2,440658,25,0.55,1,0
27,2,440659,26,0.35,1,0
28,2,440660,27,0.35,1,0
29,2,440661,28,0.55,1,0
30,2,440662,29,0.35,1,0
31,2,440663,30,0.35,1,0
32,2,440664,31,0.35,1,0
33,2,440665,32,0.55,1,0
34,2,440666,33,0.75,1,0
35,2,440667,34,0.55,1,0
36,2,440668,35,0.55,1,0
37,2,440669,36,0.35,1,0
38,2,440670,37,0.35,1,0
39,2,440671,38,0.55,1,0
40,2,440672,39,0.35,1,0
41,2,440674,40,0.35,1,0
42,2,440675,41,0.35,1,0
43,2,440676,42,0.55,1,0
44,2,440677,43,1,1,0
45,2,440679,44,0.75,1,0
46,2,440680,45,0.55,1,0
47,2,440681,46,0.35,1,0
48,2,440682,47,0.35,1,0
49,2,440683,48,0.55,1,0
50,2,440684,49,0.35,1,0
51,2,440685,50,0.75,1,0
52,2,440687,51,0.55,1,0
53,2,440688,52,0.75,1,0
54,2,440689,53,1,1,0
55,2,440690,54,0.55,1,0
56,2,440691,55,0.55,1,0
57,2,440692,56,0.35,1,0
58,2,440693,57,0.35,1,0
59,2,440694,58,0.55,1,0
60,2,440695,59,0.35,1,0
61,2,440696,60,0.35,1,0
62,2,440697,61,0.75,1,0
63,2,440698,62,0.55,1,0
64,2,440699,63,1,1,0
65,2,440700,64,0.55,1,0
66,2,440709,65,0.55,1,0
67,2,440714,66,0.35,1,0
68,2,440715,67,0.35,1,0
69,2,440716,68,0.55,1,0
70,2,440717,69,0.35,1,0
71,2,440718,70,0.35,1,0
72,2,440719,71,0.55,1,0
73,2,440720,72,0.55,1,0
74,2,440721,73,0.75,1,0
75,2,440722,74,0.55,1,0
76,2,440723,75,0.35,1,0
77,2,440724,76,0.35,1,0
78,2,440725,77,0.35,1,0
79,2,440726,78,0.55,1,0
80,2,440727,79,0.35,1,0
81,2,440728,80,0.35,1,0
82,2,440729,81,0.35,1,0
