"ID","displayRow","displayColumn","classId","powerCost","eldanAugmentationIdRequired","spell4IdAugment","item2IdUnlock","eldanAugmentationCategoryId","categoryTier","localizedTextIdTitle","localizedTextIdTooltip"
1,0,0,16,1,0,4,0,1,0,453729,453730
2,0,0,16,2,0,22,0,1,0,453731,453732
3,0,0,16,3,0,33,0,1,0,453733,453734
4,0,0,16,3,0,33,0,1,0,453735,453736
5,0,0,16,3,0,33,0,3,0,453737,453738
6,0,0,16,3,3,33,0,5,1,453739,453740
7,0,0,16,3,0,33,279,1,0,453741,453742
8,0,0,16,3,0,33,287,1,0,453743,453744
9,0,0,16,3,3,5,0,5,1,453745,453746
10,0,0,16,3,0,33,0,3,0,453747,453748
11,0,0,16,1,0,49397,0,3,0,458647,458648
13,10,6,1,6,0,59045,0,3,2,466553,466554
14,3,7,0,1,13,0,0,0,0,466556,466557
15,4,7,0,1,0,0,0,0,0,466560,466561
16,1,2,1,1,0,56851,0,4,0,466570,466571
17,2,2,1,1,16,56853,0,4,0,466582,466583
18,3,2,1,1,17,56857,0,4,0,466587,466588
19,5,6,1,4,0,59051,0,4,1,466592,466593
20,5,2,0,3,0,59052,30462,3,1,466600,466601
21,5,6,1,4,0,59053,0,3,1,466713,466714
22,5,2,1,4,0,59054,0,5,1,466716,466717
23,1,6,1,1,0,56845,0,3,0,466719,466720
24,2,6,1,1,23,56846,0,3,0,466721,466722
25,3,6,1,1,24,56847,0,3,0,466723,466724
26,5,2,1,4,0,59058,0,3,1,466725,466726
27,1,2,1,1,0,56866,0,3,0,466734,466735
28,2,2,1,1,27,56868,0,3,0,466740,466741
29,3,2,1,1,28,56869,0,3,0,466742,466743
30,6,3,1,4,0,59062,0,3,1,466744,466745
31,7,4,0,1,0,0,0,3,1,466748,466749
32,9,4,0,1,31,0,0,3,2,466750,466751
33,10,4,0,1,32,0,0,3,2,466752,466753
34,11,4,0,2,33,0,0,3,2,466754,466755
35,1,4,1,1,0,56848,0,3,0,466756,466757
36,2,4,1,1,35,56849,0,3,0,466758,466759
37,3,4,1,1,36,56850,0,3,0,466760,466761
38,6,5,1,4,0,59070,0,3,1,466762,466763
39,10,6,1,6,0,59071,0,4,2,466765,466766
40,10,4,1,2,0,59072,0,3,2,466768,466769
41,8,7,0,1,0,0,0,3,1,466773,466774
42,10,7,0,1,41,0,0,3,2,466776,466777
43,11,7,0,1,42,0,0,3,2,466778,466779
44,12,7,0,2,43,0,0,3,2,466780,466781
45,5,4,1,4,0,59077,0,3,1,466782,466783
46,7,1,0,1,0,0,0,2,1,466848,466849
47,8,1,0,1,46,0,0,2,1,466850,466851
48,9,1,0,1,47,0,0,2,1,466852,466853
49,11,1,0,1,48,0,0,2,2,466854,466855
50,6,3,1,4,0,59154,0,2,1,466858,466859
