"ID","localizedTextIdNoArgToAll","localizedTextIdNoArgToSelf","NoArgAnim","localizedTextIdArgToAll","localizedTextIdArgToArg","localizedTextIdArgToSelf","ArgAnim","localizedTextIdSelfToAll","localizedTextIdSelfToSelf","SelfAnim","SheathWeapons","TurnToFace","TextReplaceable","ChangesStandState","StandState","localizedTextIdCommand","localizedTextIdNotFoundToAll","localizedTextIdNotFoundToSelf","NotFoundAnim","TextReplaceAnim","modelSequenceIdStandState","visualEffectId","flags","universalCommand00","universalCommand01"
1,160,161,42,173,174,175,42,176,177,42,0,0,1,0,0,158,178,179,42,42,0,0,0,"sigh",""
3,55313,55314,1615,55315,55316,55317,1615,55318,55319,1615,1,1,1,1,0,55312,55320,55321,1615,1615,0,0,0,"no",""
4,55323,55324,1616,55325,55326,55327,1616,55328,55329,1616,1,1,1,1,0,55322,55330,55331,1616,1616,0,0,0,"yes",""
5,55333,55334,1840,55335,55336,55337,1840,55338,55339,1840,1,0,1,1,7,55332,55340,55341,1840,1840,1840,38973,0,"drink",""
6,55343,55344,1839,55345,55346,55347,1839,55348,55349,1839,1,0,1,1,7,55342,55350,55351,1839,1839,1839,0,0,"eat",""
15,58270,58271,0,58272,58273,58274,0,58275,58276,0,1,0,0,1,0,58269,58277,58278,0,0,0,0,0,"stand",""
16,58280,58281,1469,58282,58283,58284,1469,58285,58286,1469,1,0,1,1,1,58279,58287,58288,1469,1469,1467,0,1,"sit",""
17,58290,58291,1626,58292,58293,58294,1626,58295,58296,1626,1,1,0,1,7,58289,58297,58298,1626,1626,1698,0,0,"flex",""
20,60453,60454,1628,60455,60456,60457,1628,60458,60459,1628,1,1,1,1,7,60452,60460,60461,1628,1628,1628,0,0,"kneel",""
21,60495,60496,1630,60497,60498,60499,1630,60500,60501,1630,1,1,1,1,0,60494,60502,60503,1630,1630,0,0,0,"point",""
22,60506,60507,1632,60508,60509,60510,1632,60511,60512,1632,1,1,1,1,0,60505,60513,60514,1632,1632,0,0,0,"shrug",""
23,60524,60525,1637,60526,60527,60528,1637,60529,60530,1637,1,1,1,1,0,60523,60531,60532,1637,1637,0,0,0,"wave",""
24,60559,60560,1618,60561,60562,60563,1618,60564,60565,1618,1,1,1,1,0,60558,60566,60567,1618,1618,0,0,0,"applaud",""
26,60581,60582,1619,60583,60584,60585,1619,60586,60587,1619,1,1,1,1,0,60580,60588,60589,1619,1619,0,0,0,"beckon",""
27,60591,60592,1620,60593,60594,60595,1620,60596,60597,1620,1,1,1,1,0,60590,60598,60599,1620,1620,0,0,0,"bow",""
28,60602,60603,1621,60604,60605,60606,1621,60607,60608,1621,1,1,1,1,0,60601,60609,60610,1621,1621,0,0,0,"cheer",""
29,60612,60613,1629,60614,60615,60616,1629,60617,60618,1629,1,1,1,1,0,60611,60619,60620,1629,1629,0,0,0,"laugh",""
30,60622,60623,1631,60624,60625,60626,1631,60627,60628,1631,1,1,1,1,0,60621,60629,60630,1631,1631,150,0,0,"salute",""
31,60632,60633,1622,60634,60635,60636,1622,60637,60638,1622,1,1,1,1,0,60631,60639,60640,1622,1622,0,0,0,"cry",""
32,60642,60643,626,60644,60645,60646,626,60647,60648,626,1,0,1,1,2,60641,60649,60650,626,626,625,0,1,"sleep",""
34,525778,525868,7749,525870,525871,525872,7749,525873,525874,7749,1,1,1,1,7,121298,525875,525876,7749,7749,7749,0,0,"dance",""
35,0,0,475,0,0,0,475,0,0,475,1,1,0,1,7,121495,0,0,475,475,475,0,0,"",""
36,0,0,625,0,0,0,625,0,0,625,1,1,0,1,7,121775,0,0,625,625,625,0,0,"",""
37,0,0,1467,0,0,0,1467,0,0,1467,1,1,0,1,7,121782,0,0,1467,1467,1467,0,0,"",""
38,0,0,1665,0,0,0,1665,0,0,1665,1,1,0,1,7,121783,0,0,1665,1665,1665,0,0,"",""
39,0,0,708,0,0,0,708,0,0,708,0,1,0,1,7,123468,0,0,708,708,708,0,0,"",""
40,0,0,1481,0,0,0,1481,0,0,1481,1,1,0,1,7,126815,0,0,1481,1481,1481,0,0,"",""
41,0,0,1526,0,0,0,1526,0,0,1526,0,1,0,1,7,129438,0,0,1526,1526,1526,0,0,"",""
42,0,0,1215,0,0,0,1215,0,0,1215,1,1,0,1,7,132517,0,0,1215,1215,1215,0,0,"",""
43,0,0,151,0,0,0,151,0,0,151,0,0,0,1,7,133665,0,0,151,151,151,0,0,"",""
