"ID","localizedTextIdName","localizedTextIdBriefing","localizedTextIdEndSummary","flags","worldZoneId","percentToDisplay","questHubIdExile","questHubIdDominion"
1,15687,15688,15689,19,0,100,0,0
48,27367,27368,27369,35,19,100,0,0
299,88561,88562,88563,1,13,0,0,0
300,88596,88598,88599,1,13,0,0,0
301,88605,88606,88607,0,13,0,0,0
303,89654,89655,89656,66,1215,0,0,34
304,89693,330410,330411,130,1215,0,0,35
305,90339,90340,90341,1,487,0,0,0
306,89888,0,0,1,487,0,0,0
307,91484,91485,91486,0,488,0,0,0
309,95046,100776,100777,66,1215,0,0,36
310,97152,97153,97154,2,580,0,0,0
311,97589,97591,97592,3,474,0,0,0
312,97922,97923,97924,3,474,0,0,0
313,98092,98093,98094,3,474,0,0,0
314,103723,103724,103725,33,35,0,22,0
318,106956,293501,293502,130,583,0,0,37
321,111523,111524,111525,66,619,0,0,46
324,113756,113757,113758,65,35,0,23,0
325,114008,114009,114010,65,35,0,24,0
331,118375,118376,190095,129,459,0,3,0
332,118401,118437,118438,65,459,0,1,0
335,122287,190076,190077,65,459,0,1,0
336,124083,228038,306673,66,697,0,0,63
337,124798,124799,190235,65,455,1,4,0
338,124896,124902,124903,129,455,0,5,0
340,125352,125354,125355,66,697,0,0,64
342,128347,128348,128349,129,455,0,6,0
343,128691,128693,128694,65,455,0,4,0
358,135585,166934,166935,1,799,0,0,0
359,135587,166936,166937,1,799,0,0,0
360,135588,166938,166939,1,799,0,0,0
361,135589,167446,167447,1,799,0,0,0
362,135590,0,0,1,799,0,0,0
366,146281,146282,146283,1,859,0,0,0
367,146440,146441,146442,1,859,0,0,0
369,146697,251677,251678,135,871,0,0,0
370,146717,146718,146719,1,207,0,0,0
384,151900,163961,163962,65,126,0,89,0
385,152607,152608,152609,1,207,0,0,0
386,152610,152611,152612,2,207,0,0,0
387,152613,152614,152615,0,207,0,0,0
388,152778,152779,152780,1,207,0,0,0
389,152781,152782,152783,2,207,0,0,0
390,152984,152985,152986,1,207,0,0,0
391,152988,152990,152991,2,207,0,0,0
392,153022,190090,190091,129,459,0,1,0
393,153023,190092,190093,129,459,0,2,0
394,153096,163963,163964,65,126,0,87,0
396,153114,163965,163966,33,126,0,90,0
398,153461,0,0,3,947,0,0,0
399,154713,154714,154715,0,580,0,0,0
400,155149,156729,156730,65,121,0,91,0
401,155589,156731,156732,33,121,0,92,0
402,156206,156734,156735,65,121,0,94,0
407,158536,158537,158538,129,993,0,80,0
408,158548,158549,158550,65,993,0,77,0
409,158551,158552,158554,65,993,0,78,0
410,158553,163968,163969,129,993,0,79,0
411,159665,159666,159667,65,1011,0,81,0
412,159682,159683,159684,65,1011,0,82,0
413,159685,159686,163970,65,1011,0,83,0
414,159687,159688,159689,65,1011,0,84,0
415,159691,159692,159693,65,1011,0,85,0
416,159694,159695,163971,129,1011,0,86,0
417,160241,160242,160243,1,965,0,0,0
422,162307,162308,162309,65,463,0,7,0
424,162325,162323,162324,33,463,0,10,0
426,162403,162404,0,0,965,0,0,0
