"ID","episodeId","questId","orderIdx","flags"
1,1,812,1,0
2,1,813,2,0
3,1,814,3,0
174,48,625,1,0
175,48,1180,1,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,0,0
1549,299,3130,0,0
1550,300,3131,0,0
1551,300,3132,1,0
1552,300,3133,2,0
1553,300,3134,3,0
1554,300,3135,4,0
1555,301,3136,0,0
1556,301,3137,1,0
1557,301,3138,2,0
1558,301,3139,3,0
1559,301,3140,4,0
1570,304,3165,1,0
1571,304,3167,2,0
1576,306,3176,0,0
1577,306,3184,1,0
1578,306,3185,1,0
1579,305,3186,1,0
1580,305,3188,0,0
1581,307,3180,0,0
1582,307,3181,1,0
1583,307,3183,2,0
1584,305,3269,2,0
1589,309,3302,1,0
1591,309,3304,2,0
1593,304,3170,3,0
1595,311,3350,1,0
1596,311,3258,2,0
1597,311,3264,3,0
1601,312,3145,2,0
1602,312,3189,0,0
1603,312,3194,1,0
1605,313,3354,0,0
1607,311,3422,4,0
1615,314,3486,2,0
1625,318,3509,2,0
1633,321,3622,0,1
1647,314,3667,1,0
1648,324,3671,1,0
1649,324,3668,2,0
1650,325,3487,0,0
1653,324,3741,3,0
1669,332,3766,2,0
1672,332,3770,3,0
1674,331,3765,2,0
1682,324,3673,5,0
1683,331,3785,1,0
1693,335,3780,1,0
1697,324,3886,4,0
1699,336,3901,3,0
1700,336,3902,5,0
1714,340,3905,2,0
1715,340,3904,3,0
1720,325,3963,1,0
1726,340,3970,5,0
1727,342,3925,3,0
1728,342,3927,2,0
1732,343,3930,1,0
1827,366,4359,1,0
1828,367,4360,0,0
1829,367,4361,1,0
1830,367,4362,2,0
1831,367,4366,3,0
1832,367,4367,4,0
1833,367,4369,5,0
1834,366,4371,2,0
1835,366,4372,3,0
1836,366,4373,4,0
1837,366,4374,5,0
1846,370,4353,0,0
1847,370,4354,0,0
1848,370,4355,0,0
1849,370,4356,0,0
1850,370,4357,0,0
1904,384,4506,1,0
1905,384,4507,2,0
1906,384,4508,3,0
1907,366,4545,0,0
1908,387,4553,0,0
1909,387,4554,0,0
1910,387,4555,0,0
1911,387,4556,1,0
1912,387,4557,2,0
1913,385,4549,0,0
1914,385,4551,1,0
1915,386,4550,0,0
1916,386,4552,1,0
1917,388,4558,1,0
1918,388,4559,2,0
1919,388,4560,3,0
1920,389,4567,1,0
1921,389,4568,2,0
1922,389,4569,3,0
1923,390,4561,1,0
1924,390,4562,2,0
1925,390,4563,3,0
1926,390,4564,4,0
1927,390,4565,5,0
1928,390,4566,6,0
1929,391,4570,1,0
1930,391,4571,2,0
1931,391,4572,3,0
1932,391,4573,4,0
1933,391,4574,5,0
1934,391,4575,6,0
1935,335,4520,2,0
1936,335,4544,3,0
1937,332,3782,1,0
1938,331,3769,3,0
1939,331,3771,4,0
1941,392,4523,3,0
1942,392,3777,4,0
1943,392,4541,5,0
1944,393,4519,1,3
1945,393,4525,2,0
1946,393,4528,3,0
1947,393,4527,4,0
1948,393,4530,5,0
1949,393,4536,6,0
1950,394,4515,2,0
1951,394,4516,3,0
1956,396,4509,2,0
1957,396,4510,1,0
1959,396,4512,4,0
1960,398,4580,0,0
1961,398,4583,0,0
1962,398,4597,1,0
1963,398,4598,2,0
1964,398,4599,2,0
1965,398,4601,3,0
1966,398,4602,3,0
1967,398,4603,4,0
1968,398,4604,4,0
1970,394,4514,1,0
1971,310,4626,1,0
1972,310,4628,2,0
1973,310,4629,3,0
1974,310,4638,4,0
1975,310,4639,5,0
1976,399,4647,1,0
1977,399,4649,2,0
1978,399,4648,3,0
1979,399,4651,4,0
1980,399,4652,5,0
1981,400,4663,2,0
1982,400,4664,3,0
1983,400,4665,1,0
1984,400,4666,4,0
1985,400,4667,5,0
1987,401,4696,1,0
1990,402,4675,3,0
1994,401,4694,2,0
2000,401,4733,3,0
2017,407,4745,1,0
2018,407,4747,2,0
2019,407,4748,2,0
2020,407,4749,3,0
2021,408,4759,1,0
2023,408,4761,4,0
2025,409,4765,1,0
2026,409,4925,4,0
2027,409,4766,5,0
2028,410,4753,3,0
2030,410,4755,5,0
2031,410,4756,6,0
2033,409,4767,6,0
2035,411,4791,1,0
2037,412,4956,3,0
2038,412,4808,5,0
2039,412,4812,4,0
2041,413,4798,1,0
2042,413,4799,2,0
2043,413,4800,3,0
2044,413,4801,4,0
2050,414,4795,3,0
2051,414,4796,4,0
2052,415,4803,1,0
2054,415,4805,2,0
2055,415,4806,3,0
2057,337,4764,1,0
2058,342,4718,4,0
2060,338,4737,1,0
2061,338,4741,2,0
2062,337,4780,2,0
2063,337,4784,4,0
2071,416,4846,2,0
2077,416,4851,5,0
2078,413,4802,5,0
2113,424,4828,3,0
2127,424,4899,2,0
2128,416,4850,4,0
2134,428,4907,1,0
2135,428,4908,2,0
2136,428,4909,3,0
2137,402,4679,2,0
2140,410,4926,4,0
2144,430,4930,3,0
2148,408,4954,2,0
2149,408,4955,3,0
2164,431,4944,1,0
2165,431,4947,2,0
2167,431,4967,3,0
2171,414,4794,2,0
2176,433,5026,2,0
2180,434,5054,1,0
2181,434,5056,2,0
2182,434,5057,3,0
2183,435,5165,1,0
2184,435,5063,2,0
2185,435,5064,3,0
2186,435,5061,4,0
2187,435,5166,5,0
2188,435,5067,6,0
2190,435,5068,7,0
2191,435,5117,8,0
2193,436,5108,1,0
2194,436,5107,2,0
2195,436,5109,4,0
2196,436,5110,5,0
2197,436,5111,6,0
2198,436,5112,7,0
2201,427,4987,2,0
2202,427,4825,4,0
2203,433,5122,1,1
2204,410,5124,2,0
2205,437,5039,1,0
2206,437,5044,4,0
2207,437,5045,6,0
2208,438,5070,1,0
2209,438,5074,2,0
2210,438,5075,3,0
2212,438,5078,4,0
2213,438,5079,5,0
2214,438,5080,6,0
2220,437,5040,3,0
2222,407,5159,3,0
2223,410,4961,7,0
2224,435,5118,9,0
2225,435,5119,10,0
2229,437,5162,2,0
2230,437,5041,5,0
2238,410,5207,1,0
2239,409,4945,2,0
2240,409,4950,3,0
2242,433,5260,3,0
2243,412,5172,2,0
2249,415,5293,4,0
2251,436,5314,3,0
2252,392,5317,1,0
2253,392,4609,2,0
2254,442,5324,1,0
2255,442,5325,2,0
2258,442,5328,3,0
2260,443,4789,1,0
2261,443,4786,2,0
2262,443,4707,3,0
2263,443,4713,4,0
2264,443,4719,5,0
2265,443,4785,6,0
2266,443,3939,7,0
2267,402,5332,4,0
2268,402,5333,5,0
2269,402,5331,1,0
2270,443,4294,8,0
2271,424,4829,4,0
2272,444,5343,1,0
2273,444,5344,2,0
2274,444,5347,2,0
2275,444,5348,2,0
2276,444,5349,3,0
2278,444,5350,4,0
2279,444,5353,3,0
2280,444,5352,5,0
2282,445,5355,1,0
2283,445,5356,2,0
2284,445,5357,3,0
2286,445,5362,4,0
2287,445,5359,5,0
2288,445,5360,6,0
2289,445,5363,7,0
2292,447,5393,3,0
2294,448,5372,1,0
2295,448,5373,2,0
2296,448,5374,4,0
2297,448,5375,3,0
2298,338,5408,2,0
2300,447,5396,4,0
2301,447,5397,5,0
2302,447,5398,7,0
2303,337,5234,3,0
2304,342,4711,1,0
2305,338,4029,3,0
2306,343,5425,2,0
2307,449,5430,0,0
2308,450,5432,0,0
2309,451,5433,0,0
2310,452,5436,0,0
2311,453,5438,0,0
2316,416,4847,1,0
2317,412,5168,1,0
2318,414,5167,1,0
2319,413,5169,6,0
2320,416,5003,3,0
2325,422,5465,4,0
2327,422,4856,1,0
2328,422,4978,2,0
2330,424,4853,1,0
2332,427,5469,3,0
2333,447,5478,2,0
2334,447,5395,6,0
2335,447,5479,1,0
2336,454,5386,1,0
2337,454,5387,3,0
2340,454,5426,2,0
2341,454,5442,2,0
2346,430,4678,2,0
2347,430,4676,1,0
2348,401,4670,5,0
2349,401,4726,4,0
2351,455,5510,2,0
2352,455,5511,3,0
2353,455,5512,4,0
2354,455,5513,5,0
2355,455,5514,6,0
2356,455,5515,7,0
2358,457,5539,1,0
2359,457,5540,2,0
2360,457,5541,3,0
2361,457,5542,4,0
2362,458,5543,2,0
2363,458,5544,1,0
2364,458,5545,3,0
2365,458,5546,4,0
2366,458,5547,5,0
2386,463,5573,2,0
2389,465,5580,2,0
2391,466,5572,2,0
2392,466,5574,3,0
2393,466,5576,4,0
2394,466,5577,5,0
2395,466,5578,6,0
2396,465,5594,4,0
2397,464,5596,1,0
2398,464,5597,2,0
2399,464,5604,3,0
2401,463,5593,1,0
2402,467,5595,1,0
2403,467,5575,2,0
2404,303,5606,2,0
2405,303,5607,6,0
2406,303,5608,3,0
2407,303,3162,4,0
2408,303,3160,5,0
2409,468,5622,0,1
2410,468,3751,2,0
2412,468,5630,3,0
2413,469,5625,1,0
