"ID","factionId0","factionId1","factionLevel"
684,166,167,0
685,166,171,0
686,167,170,0
687,170,171,0
690,190,165,5
691,189,165,0
693,191,165,10
695,192,165,0
697,193,165,5
699,194,165,10
701,195,165,0
703,196,165,5
705,197,165,10
707,198,165,0
709,199,165,5
711,200,165,10
713,201,165,0
715,202,165,5
717,203,165,10
719,205,165,0
721,206,165,5
723,207,165,10
724,218,165,0
726,219,165,10
728,221,165,0
730,222,165,5
732,223,165,10
734,225,165,0
736,226,165,5
738,227,165,10
740,229,165,0
742,230,165,5
744,231,165,10
746,233,165,0
748,234,165,5
752,236,165,0
754,237,165,5
756,238,165,10
758,239,165,0
760,240,165,5
762,241,165,10
764,242,165,0
766,243,165,5
768,244,165,10
770,166,170,10
771,167,171,10
772,212,165,9
773,213,165,9
774,214,165,9
775,215,165,9
776,216,165,9
777,217,165,9
779,198,224,10
780,228,224,10
781,170,181,5
782,171,181,5
784,245,165,0
786,246,165,5
788,247,165,10
790,248,165,0
792,249,165,5
794,250,165,10
795,251,165,0
796,251,164,5
797,232,184,0
798,232,183,0
799,184,183,10
800,252,165,9
801,253,165,9
802,254,165,9
803,255,165,10
804,255,164,5
805,256,165,10
807,177,181,0
808,257,165,0
809,258,165,5
810,259,165,10
811,260,167,5
812,261,167,5
813,263,165,0
814,264,165,5
815,265,165,10
816,266,167,0
817,266,166,5
818,267,165,0
819,269,165,0
820,270,165,5
821,271,165,10
822,272,165,0
823,273,165,8
824,274,165,0
825,274,170,10
826,274,171,0
837,277,165,5
842,278,167,0
844,192,203,0
845,278,171,0
846,279,167,8
847,280,165,0
848,281,165,5
849,282,165,10
850,283,165,8
851,283,278,0
852,284,165,0
853,285,284,0
854,285,165,0
855,276,167,10
856,286,165,0
857,288,165,5
858,289,165,10
859,180,181,0
860,290,192,5
861,291,165,0
862,292,165,5
863,293,165,10
866,294,165,0
867,294,285,0
868,294,284,10
869,295,165,10
870,295,263,0
871,267,262,0
872,263,296,0
873,296,166,0
874,296,170,0
875,296,167,10
876,296,171,10
877,279,170,5
878,267,171,0
879,298,165,0
880,299,165,5
881,300,165,10
882,302,165,0
883,303,165,5
884,304,165,10
885,305,301,10
886,306,165,0
887,307,165,5
888,308,165,10
889,310,165,0
890,311,165,5
891,312,165,10
892,313,167,10
893,313,171,10
894,313,225,0
895,313,166,0
896,313,170,0
897,315,165,0
898,316,165,5
899,317,165,10
900,319,165,0
901,320,165,5
902,321,165,10
903,323,165,0
904,324,165,5
905,325,165,10
906,322,326,10
907,327,165,0
908,328,165,5
909,329,165,10
916,338,167,8
917,338,166,0
918,340,165,0
919,341,165,5
920,342,165,10
921,344,165,0
922,345,165,5
923,346,165,10
924,348,165,0
925,349,165,5
926,350,165,10
927,352,165,0
928,353,165,5
929,354,165,10
930,356,165,0
931,357,165,5
932,358,165,10
933,359,165,0
934,361,165,0
935,362,165,5
936,363,165,10
938,366,165,0
939,367,165,5
940,368,165,10
941,369,165,0
942,369,369,0
944,219,164,10
946,257,239,10
947,371,165,0
948,372,165,5
949,373,165,10
950,375,165,0
951,376,165,5
952,377,165,10
953,379,165,0
954,380,165,5
955,381,165,10
956,383,165,0
957,384,165,5
958,385,165,10
959,387,165,0
960,388,165,5
961,389,165,10
962,390,165,0
964,392,391,0
965,390,363,0
966,376,393,0
967,395,165,0
968,396,165,5
969,397,165,10
971,192,202,0
972,398,168,0
976,398,167,10
980,402,401,10
981,403,167,1
982,405,165,0
983,406,165,5
984,407,165,10
985,408,404,10
986,409,165,0
987,410,165,5
988,411,165,10
989,412,165,0
990,413,165,5
991,414,165,10
992,416,165,0
993,417,165,5
994,418,165,10
995,360,415,10
996,419,165,10
997,420,165,0
998,422,165,0
999,423,165,5
1000,424,165,10
1001,425,165,0
1002,426,165,0
1003,427,165,0
1004,428,165,5
1005,429,165,10
1006,430,165,0
1007,431,165,5
1008,432,165,10
1009,433,165,0
1010,434,165,5
1011,435,165,0
1012,436,165,0
1013,437,165,0
1014,438,166,0
1015,439,165,0
1017,440,165,0
1018,441,165,0
1019,442,165,0
1020,275,165,0
1021,327,363,0
1022,444,165,0
1023,445,165,5
1024,446,165,10
1025,448,165,0
1026,449,165,5
1027,450,165,10
1029,452,165,10
1030,452,319,0
1031,453,165,0
1032,454,165,0
1033,455,165,5
1034,455,454,10
1035,457,165,8
1036,458,166,10
1037,458,167,0
1038,456,167,10
1039,456,166,0
1040,164,379,0
1041,458,456,0
1042,459,167,10
1043,459,166,0
1044,459,458,0
1045,460,166,10
1046,460,167,0
1047,460,456,0
1048,460,459,0
1049,461,165,0
1050,462,165,0
1051,462,456,0
1052,462,459,0
1053,462,458,0
