"ID","priority","damageTypeFlags","creature2MinSize","creature2MaxSize","creatureMaterialEnum","movementStateFlags","deathModelAsset","modelSequenceIdDeath","visualEffectIdDeath00","visualEffectIdDeath01","visualEffectIdDeath02"
1,3,1,1,10,0,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Meat_000.m3",150,15015,8958,15016
2,3,2,1,10,0,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Meat_000.m3",150,8999,8958,9000
3,3,4,1,10,0,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Meat_000.m3",150,9005,8958,9006
4,3,1,1,10,8,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Rock_000.m3",150,15013,8963,15014
5,3,2,1,10,8,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Rock_000.m3",150,9001,8963,9002
6,3,4,1,10,8,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Rock_000.m3",150,9007,8963,9008
7,3,1,1,10,1,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Mech_000.m3",150,15015,8961,15016
8,3,2,1,10,1,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Mech_000.m3",150,8999,8961,9000
9,3,4,1,10,1,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Mech_000.m3",150,9005,8962,9006
10,3,1,1,10,3,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Meat_000.m3",150,15017,8959,15018
11,3,2,1,10,3,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Meat_000.m3",150,8997,8959,8998
12,3,4,1,10,3,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Meat_000.m3",150,9003,8959,9004
13,3,1,1,10,4,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Mech_000.m3",150,15013,8960,15014
14,3,2,1,10,4,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Mech_000.m3",150,9001,8960,9002
15,3,4,1,10,4,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Mech_000.m3",150,9007,8960,9008
16,3,1,1,10,5,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Meat_000.m3",150,15013,8957,15014
17,3,2,1,10,5,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Meat_000.m3",150,9001,8957,9002
18,3,4,1,10,5,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Meat_000.m3",150,9007,8957,9008
19,3,1,1,10,2,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Rock_000.m3",150,15015,8964,15016
20,3,2,1,10,2,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Rock_000.m3",150,8999,8964,9000
21,3,4,1,10,2,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Rock_000.m3",150,9005,8964,9006
22,3,1,1,10,6,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Mech_000.m3",150,15017,8962,15018
23,3,2,1,10,6,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Mech_000.m3",150,8997,8962,8998
24,3,4,1,10,6,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Mech_000.m3",150,9003,8962,9004
25,3,1,1,10,7,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Rock_000.m3",150,15017,8965,15018
26,3,2,1,10,7,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Rock_000.m3",150,8997,8965,8998
27,3,4,1,10,7,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Rock_000.m3",150,9003,8965,9004
28,3,1,1,10,7,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Rock_000.m3",150,11703,8965,11704
29,3,1,1,10,2,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Rock_000.m3",150,11703,8964,11704
30,3,1,1,10,8,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Rock_000.m3",150,11703,8963,11704
31,3,1,1,10,3,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Meat_000.m3",150,11703,8959,11704
32,3,1,1,10,0,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Meat_000.m3",150,11703,8958,11704
33,3,1,1,10,5,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Meat_000.m3",150,11703,8957,11704
34,3,1,1,10,6,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Mech_000.m3",150,11703,8962,11704
35,3,1,1,10,1,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Mech_000.m3",150,11703,8961,11704
36,3,1,1,10,4,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Mech_000.m3",150,11703,8960,11704
37,3,1,1,10,10,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_WoodSplinters_000.m3",150,15017,8959,15018
38,3,2,1,10,10,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_WoodSplinters_000.m3",150,8997,8959,8998
39,3,4,1,10,10,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_WoodSplinters_000.m3",150,9003,8959,9004
40,3,1,1,10,9,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_WoodSplinters_000.m3",150,15015,8958,15016
41,3,2,1,10,9,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_WoodSplinters_000.m3",150,8999,8958,9000
42,3,4,1,10,9,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_WoodSplinters_000.m3",150,9005,8958,9006
43,3,1,1,10,11,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_WoodSplinters_000.m3",150,15013,8957,15014
44,3,2,1,10,11,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_WoodSplinters_000.m3",150,8997,8957,8998
45,3,4,1,10,11,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_WoodSplinters_000.m3",150,9007,8957,9008
46,3,1,1,10,12,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Bone_000.m3",150,15017,8962,15018
47,3,2,1,10,12,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Bone_000.m3",150,8997,8962,8998
48,3,4,1,10,12,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Small_Bone_000.m3",150,9003,8965,9004
49,3,1,1,10,13,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Bone_000.m3",150,15015,8961,15016
50,3,2,1,10,13,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Bone_000.m3",150,8999,8961,9000
51,3,4,1,10,13,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Medium_Bone_000.m3",150,9005,8962,9006
52,3,1,1,10,14,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Bone_000.m3",150,15013,8960,15014
53,3,2,1,10,14,15,"Art\FX\Model\Action\Giblet_Death\Giblets_Large_Bone_000.m3",150,8997,8962,8998
