"ID","dataint0","dataint01","dataint02","dataint03","dataint04","datafloat0","datafloat01","datafloat02","datafloat03","datafloat04"
1,250,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.75,0,0,0,0
3,0,0,0,0,0,3,0,0,0,0
4,300,0,0,0,0,-60,2,1.15,0,0
5,0,0,0,0,0,3,0,0,0,0
6,0,0,0,0,0,-1.386,0,0,0,0
7,1000,0,0,0,0,10,0,0,0,0
8,250,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,4,0,0,0,0
19,5000,0,0,0,0,0,0,0,0,0
20,300000,0,0,0,0,0,0,0,0,0
22,50,0,0,0,0,2,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,100,50,1.5,0,0
25,0,0,0,0,0,-10,0,0,0,0
26,45000,1000,1000,0,0,0,0,0,0,0
27,12600,0,0,0,0,0.25,0.125,0.5,0.125,0
28,0,0,0,0,0,2.75,0,0,0,0
29,0,0,0,0,0,0.25,0,0,0,0
30,0,0,0,0,0,5,0,0,0,0
31,0,0,0,0,0,2,0,0,0,0
32,0,0,0,0,0,100,0,0,0,0
33,0,0,0,0,0,10000,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,250,0,0,0,0,0,0,0,0,0
37,250,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,2,0,0,0,0
41,0,0,0,0,0,-2,0,0,0,0
42,30000,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,45,0,0,0,0
50,750,500,3000,0,0,0,0,0,0,0
52,3193,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,10,0,0,0,0
54,2000,0,0,0,0,10,25,0,0,0
55,100,0,0,0,0,0,0,0,0,0
58,100,0,0,0,0,0,0,0,0,0
59,900000,0,0,0,0,0,0,0,0,0
60,5000,0,0,0,0,0,0,0,0,0
61,5000,0,0,0,0,0,0,0,0,0
62,540000,45000,0,0,0,0,0,0,0,0
63,5,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,3,0,0,0,0
65,50,0,0,0,0,20,0.01,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,60,1,0
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,1,0,0,0,0
87,0,0,0,0,0,2,0,0,0,0
88,500,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,1,0,0,0,0
90,0,0,0,0,0,1,0,0,0,0
91,50,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,100,0,0,0,0
