"ID","localizedTextId"
1,164996
2,164997
3,164998
4,166604
5,166605
6,166606
7,166806
8,166807
9,166833
10,166834
11,166836
12,166837
13,166838
14,166839
15,166840
16,166841
17,166842
18,166843
19,166844
20,166845
21,166848
22,166849
23,166850
24,166851
25,166852
26,166854
27,166855
28,166856
29,166857
30,166858
31,166859
32,166860
33,166861
34,166862
35,166863
36,166864
37,166865
38,167277
39,167278
40,167584
41,169441
42,170890
43,171450
44,171459
45,173891
46,173894
47,175438
48,175439
49,175441
50,175442
51,175443
52,175444
53,175508
54,178223
55,178224
56,178829
57,178830
58,178832
59,178835
60,178836
61,178974
62,178982
63,182008
64,182009
65,182216
66,182256
67,185821
68,185822
69,187183
70,187184
71,187420
72,187421
73,187423
74,187873
75,188772
76,189219
77,189220
78,189454
79,189491
80,198125
81,199182
82,201590
83,201591
84,204558
85,212233
86,216578
87,217517
88,217518
89,221021
90,233289
91,234754
92,235150
93,236747
94,236749
95,244024
96,245972
97,246469
98,249563
99,250887
100,257013
101,262083
102,264115
103,264776
104,265050
105,278053
106,278054
107,279567
108,280197
109,281391
110,285439
111,285588
112,287782
113,287783
114,291863
115,292352
116,292968
117,297988
118,302029
119,304292
120,307540
121,308314
122,309207
123,329092
124,335290
125,335291
126,346417
127,349719
128,349720
129,351984
130,352333
131,352356
132,360486
133,366909
134,374579
135,375196
136,375197
137,389359
138,394438
139,401525
140,401526
141,401527
142,401531
143,407854
144,412439
145,427121
146,427529
149,427544
150,427784
151,429412
152,437341
154,442531
155,446257
157,446944
158,453164
159,460180
160,460181
161,460805
162,460806
163,463189
164,463190
165,463191
166,463193
167,470335
168,470859
169,479722
170,489208
171,490486
172,497503
173,497504
174,522405
175,522406
176,536593
177,536594
178,543358
179,546448
180,550315
181,550317
182,551073
183,553735
184,557534
185,557535
186,557736
187,557738
188,560675
189,563355
192,569270
193,569271
194,569272
195,569275
196,569276
197,569277
198,569278
199,569282
200,569285
201,569286
202,569289
203,569290
204,569291
205,569293
206,569296
207,569297
208,569298
209,569299
210,569300
211,569338
212,569344
213,569345
214,569346
215,569347
216,569348
217,569349
218,569350
219,569351
220,569352
221,569353
222,569354
223,569357
224,569358
225,569362
226,569363
227,569364
228,569365
229,569374
230,569377
231,569378
232,569379
233,569380
234,569384
235,569385
236,569386
237,569387
238,569388
239,569391
240,569392
241,569417
242,569836
243,569838
244,569839
245,570336
246,589889
247,619573
249,636538
250,641360
251,651160
252,651161
253,676744
254,676899
255,730017
256,733023
257,733894
258,749491
