"ID","gossipSetId","indexOrder","localizedTextId","prerequisiteId"
1,1,0,19245,0
2,1,1,19246,0
3,1,2,19247,0
7,1,0,19248,0
8,1,1,19249,0
9,1,2,19250,0
10,1,0,19251,0
11,1,1,19252,0
12,1,2,19253,0
13,2,0,19909,0
14,2,1,19918,0
15,2,2,19923,0
16,2,3,19924,0
17,2,4,19925,0
18,2,5,19963,0
19,3,1,20155,0
20,3,2,20157,0
21,3,3,20171,0
22,3,4,20172,0
23,3,5,20173,0
24,3,1,20176,0
26,3,2,20178,0
27,3,3,20180,0
28,3,4,20181,0
29,3,5,20183,0
30,3,1,20184,0
31,3,2,20185,0
32,3,3,20186,0
33,3,4,20187,0
34,3,5,20188,0
35,3,1,20189,0
36,3,2,20192,0
37,3,3,20193,0
38,3,4,20195,0
39,3,5,20196,0
51,6,0,20646,0
54,62,0,20649,0
56,62,1,20651,0
57,7,0,20652,0
58,7,1,20653,0
59,7,2,20654,0
60,7,3,20655,0
61,8,0,20656,0
62,8,1,20658,0
63,8,2,20657,0
64,8,3,20659,0
65,8,4,20660,0
66,8,5,20661,0
68,9,0,20886,0
76,9,1,20894,0
77,9,2,20895,0
78,9,3,20896,0
79,9,4,20897,0
80,9,5,20898,0
81,9,6,20899,0
82,9,7,20902,0
83,10,0,20903,0
84,10,1,20904,0
85,10,2,20905,0
86,10,3,20906,0
87,10,4,20907,0
88,10,5,20914,0
89,11,0,21180,0
90,11,1,21181,0
91,11,2,21182,0
92,11,3,21184,0
93,11,4,21187,0
94,11,5,21189,0
95,11,6,21194,0
96,11,7,21195,0
97,11,8,21200,0
98,12,0,21201,0
99,12,1,21202,0
100,12,2,21203,0
101,12,3,21204,0
102,12,4,21205,0
103,12,5,21210,0
106,13,0,21231,0
107,13,1,21233,0
108,13,2,21234,0
109,13,3,21235,0
110,13,4,21237,0
111,13,5,21238,0
112,13,6,21239,0
113,13,7,21240,0
114,13,8,21241,0
115,13,9,21242,0
116,13,10,21243,0
117,13,11,21244,0
118,13,12,21245,0
121,62,2,21328,0
125,14,0,22261,0
126,14,1,22262,0
127,14,2,22263,0
128,14,3,22264,0
129,14,4,22265,0
130,14,5,22266,0
131,14,6,22267,0
133,12,6,22277,0
135,12,7,22279,0
136,12,8,22280,0
137,12,9,22281,0
138,12,10,22282,0
139,12,11,22283,0
140,12,12,22284,0
143,12,13,22288,0
144,12,14,22289,0
145,12,15,22290,0
146,12,16,22291,0
147,12,17,22292,0
148,12,18,22293,0
149,12,19,22294,0
151,12,20,22296,0
152,15,0,22771,0
153,15,1,22772,0
154,15,2,22773,0
155,15,3,22774,0
156,15,4,22775,0
157,15,5,22776,0
158,15,6,22777,0
159,16,0,22779,0
160,16,1,22780,0
161,16,2,22781,0
162,16,3,22782,0
163,16,4,22783,0
164,9,8,22804,0
165,9,9,22805,0
166,9,10,22806,0
167,9,11,22807,0
168,9,12,22808,0
169,16,5,22813,0
170,10,6,22954,0
177,18,1,23233,0
178,18,2,23234,0
179,18,3,23235,0
180,18,4,23236,0
181,18,5,23237,0
182,18,6,23238,0
183,18,7,23239,0
184,19,0,23512,0
185,19,1,23513,0
