"ID","flags","gossipProximityEnum","cooldown"
1,0,0,0
2,1,0,0
3,0,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,0,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
18,1,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,0,0,0
35,1,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,0,0,0
67,0,0,0
68,1,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,1,0,0
81,1,0,0
82,0,0,0
83,1,0,0
84,0,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,0,0
89,0,0,0
90,1,0,0
91,0,0,0
92,0,0,0
93,1,0,0
94,0,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,1,0,0
104,0,0,0
106,1,0,0
107,1,0,0
108,1,0,0
109,1,0,0
110,1,0,0
111,1,0,0
112,1,0,0
113,1,0,0
115,1,0,0
116,1,0,0
117,1,0,0
118,1,0,0
119,1,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
128,0,0,0
129,1,0,0
131,1,0,0
132,1,0,0
137,1,0,0
138,1,0,0
139,1,0,0
140,1,0,0
141,1,0,0
144,0,0,0
145,0,0,0
149,1,0,25000
150,1,0,0
151,1,0,25000
152,1,0,0
153,1,0,0
154,1,0,0
155,1,0,0
156,1,0,0
157,1,0,0
158,1,0,0
159,0,0,0
160,0,0,45000
161,1,0,0
162,1,0,0
163,0,0,0
164,1,0,0
165,0,0,0
166,0,0,0
167,1,0,30000
168,1,0,30000
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,30000
173,0,0,0
174,0,0,0
177,1,0,0
178,1,0,0
179,1,0,0
180,1,0,0
181,1,0,35000
182,3,0,15000
183,3,1,0
184,1,0,30000
185,0,0,10000
186,1,0,30000
187,1,0,30000
188,1,0,30000
189,1,0,30000
190,1,0,30000
191,1,0,30000
192,1,0,30000
193,1,0,0
194,1,0,0
195,1,0,20000
196,1,0,0
197,1,0,30000
198,1,0,50000
199,1,0,50000
200,1,0,25000
201,1,0,55000
202,0,0,0
203,0,0,0
206,1,0,10000
208,1,0,30000
209,1,0,0
211,1,0,0
212,1,1,20000
213,3,0,60000
214,1,2,10000
215,1,0,35000
216,1,0,20000
218,1,0,45000
219,1,1,40000
220,0,0,0
223,1,0,45000
224,1,0,25000
226,3,2,15000
227,1,0,30000
229,1,1,15000
230,1,0,15000
231,1,0,0
232,1,0,15000
233,1,0,30000
234,1,0,30000
235,1,0,30000
236,1,0,30000
237,0,0,30000
238,1,0,10000
239,1,0,30000
240,1,0,10000
241,1,2,10000
242,1,1,10000
243,0,0,0
244,0,0,0
245,0,0,20000
246,0,0,6000
247,1,1,20000
248,1,2,0
249,1,2,0
250,1,0,10000
251,1,0,0
258,1,1,0
259,1,0,30000
260,1,0,20000
261,1,0,15000
262,1,0,30000
263,1,0,30000
264,1,0,30000
265,1,0,30000
266,1,0,30000
267,1,2,40000
268,1,0,30000
269,1,0,30000
270,1,0,30000
271,1,0,30000
272,1,0,30000
273,1,0,30000
274,0,1,7500
275,0,1,30000
276,0,1,30000
277,0,0,12000
278,1,0,7500
279,1,0,12000
281,1,0,15000
282,1,0,0
283,1,1,10000
284,1,0,10000
285,0,0,30000
286,1,0,45000
287,0,0,45000
288,1,0,12000
289,1,0,45000
290,1,0,12000
291,3,0,30000
292,3,0,30000
293,1,0,10000
294,0,0,0
295,0,0,0
296,1,0,45000
297,0,0,30000
298,1,0,45000
299,1,0,10000
300,0,0,0
301,1,0,0
302,3,1,15000
304,1,1,45000
305,1,1,50000
306,1,0,30000
307,1,0,0
308,1,0,0
309,1,0,60000
315,1,0,30000
318,1,0,25000
319,1,1,0
320,1,1,30000
321,1,1,30000
322,1,0,25000
323,1,0,30000
324,1,0,45000
325,1,0,45000
326,1,0,45000
327,1,0,30000
328,1,0,40000
329,1,1,30000
330,1,0,30000
331,1,0,25000
332,1,0,0
334,1,1,0
335,1,0,20000
336,0,0,12000
337,1,0,30000
338,0,0,0
339,1,0,15000
340,0,2,0
341,1,0,30000
342,1,0,30000
343,1,0,30000
344,1,0,30000
345,1,0,30000
346,1,0,40000
347,1,1,45000
348,1,0,20000
349,1,0,20000
350,1,1,40000
351,1,0,10000
352,1,0,10000
353,1,0,10000
354,0,0,0
355,1,0,8000
356,1,1,15000
358,2,1,0
359,0,0,0
360,0,0,0
361,2,0,0
362,1,1,45000
363,1,0,30000
364,1,0,45000
365,1,0,45000
366,1,0,30000
367,1,0,45000
368,1,2,45000
369,1,2,45000
370,1,0,30000
371,1,0,45000
372,1,0,45000
373,1,0,45000
374,1,0,45000
375,1,0,45000
376,1,0,0
377,0,0,2500
378,1,1,20000
379,1,0,45000
380,1,0,50000
381,1,0,45000
382,1,0,40000
383,1,0,40000
384,1,0,30000
385,1,0,30000
386,0,0,2500
387,1,1,15000
388,1,0,45000
389,1,0,50000
390,1,0,55000
391,1,0,45000
392,1,0,45000
393,1,0,45000
394,1,0,45000
395,1,0,50000
396,1,0,15000
397,2,0,20000
398,1,0,20000
399,1,0,20000
400,0,0,0
401,0,0,60000
402,1,0,25000
403,1,0,40000
404,1,1,40000
405,1,0,45000
406,1,0,45000
407,1,0,45000
408,1,0,50000
409,1,0,50000
410,1,1,25000
411,1,0,30000
412,0,0,60000
413,1,1,12000
414,1,0,0
415,1,0,45000
416,0,0,15000
417,0,0,25000
418,1,0,60000
419,1,0,20000
420,1,0,30000
421,1,0,35000
422,0,0,10000
423,1,1,0
424,0,0,0
425,0,0,0
426,1,1,3000
427,1,0,50000
428,1,0,45000
429,1,1,120000
430,1,0,55000
431,1,0,50000
432,1,0,60000
433,1,0,50000
434,1,0,45000
435,1,0,60000
436,1,0,40000
437,1,0,40000
438,1,0,50000
439,1,0,50000
441,1,0,25000
442,1,0,55000
443,1,0,55000
444,1,0,55000
445,1,1,60000
446,0,1,10000
447,0,0,30000
448,3,1,20000
449,1,0,30000
450,1,0,25000
451,1,0,25000
452,1,0,55000
453,1,0,16000
455,1,1,20000
456,1,0,0
457,1,2,12000
458,1,0,50000
459,1,1,60000
460,0,1,10000
461,1,0,0
462,0,0,0
463,1,0,0
464,1,0,25000
465,0,0,0
466,0,0,0
467,1,0,40000
468,1,0,7000
469,0,1,0
470,1,1,0
471,0,0,0
473,1,0,7500
474,3,0,8000
475,3,0,8000
476,3,2,8000
477,3,0,8000
478,3,1,8000
480,3,1,8000
481,0,0,0
482,3,0,8000
483,1,0,60000
484,1,0,30000
485,1,0,30000
486,1,0,30000
487,1,0,30000
488,1,0,45000
489,0,1,0
490,0,1,0
491,0,1,0
492,0,1,0
493,0,1,30000
494,0,1,0
495,0,1,30000
496,1,0,50000
497,1,0,50000
498,1,0,60000
499,1,0,40000
500,1,0,25000
501,1,0,15000
502,1,0,15000
503,1,0,45000
504,0,2,10000
505,1,0,45000
506,1,0,25000
507,1,0,25000
508,0,0,30000
509,1,0,40000
510,1,0,40000
511,1,1,30000
512,1,1,30000
513,1,1,35000
514,1,1,35000
515,0,0,20000
516,1,1,45000
517,0,0,20000
518,1,1,0
519,1,0,0
520,0,0,0
521,0,0,0
522,0,0,0
523,0,0,0
524,0,0,0
525,0,0,0
526,1,0,20000
527,0,0,30000
528,1,0,7500
529,1,0,7500
530,3,1,20000
531,3,1,45000
532,3,1,45000
533,3,0,45000
534,1,0,90000
535,1,1,90000
536,1,1,50000
537,1,0,7500
538,1,0,100000
539,1,0,7500
540,1,0,120000
541,1,1,120000
542,1,0,30000
543,1,0,7500
