"ID","localizedTextIdName","localizedTextIdDescription","luaVariable","localizedTextIdCommand","guildTypeEnumFlags","displayIndex"
1,311165,635701,"bCanReserveCommunityPlot",323117,128,29
2,311166,635702,"bRankCreate",323118,142,0
3,311167,635704,"bChangeRankPermissions",323119,142,1
4,311168,635691,"bSpendInfluence",323120,2,2
5,311169,635692,"bRankRename",323130,14,3
6,311170,635694,"bVote",323121,6,4
7,311171,635696,"bChangeMemberRank",323122,142,5
8,311172,635697,"bInvite",323123,142,6
9,311173,635698,"bKick",323124,142,7
10,311186,635699,"bEmblemAndStandard",323125,2,8
11,311187,635700,"bMemberChat",323126,142,9
12,311188,635709,"bCouncilChat",323127,10,10
13,311292,635705,"bBankTabRename",323128,2,11
14,311315,0,"bCanRemoveCommunityPlotReservation",323129,128,30
15,375444,0,"bCanActivatePlugs",375445,8,15
16,375448,0,"bCanAddDeployablesHousing",375449,8,16
17,375454,0,"bCanAddPlugHousing",375455,8,17
18,375456,0,"bCanUpgradePlugWarplot",375457,8,18
19,375458,0,"bCanRemovePlugHousing",375459,8,19
20,375460,0,"bCanPayUpkeepPlugsHousing",375461,8,20
21,375464,0,"bCanRepairPlugsInMatch",375465,8,21
22,375466,0,"bCanIssueASurrenderVoteForAWarplot",375467,8,22
23,375468,0,"bCanQueueTheWarparty",375469,8,23
24,375470,0,"bCanUseWarplotVehicles",375471,8,24
25,375472,0,"bCanKickPlayersFromWarplot",375473,8,25
27,428631,635708,"bMessageOfTheDay",428632,2,12
28,451645,0,"bCanDeleteCommunityDecor",451646,128,27
29,461813,635707,"bBankTabLog",461814,2,14
30,718833,0,"bCanDecorateCommunity",718832,128,26
31,718834,0,"bCanChangeCommunityRemodelOptions",718835,128,28
