"ID","guildStandardPartTypeEnum","localizedTextIdName","itemDisplayIdStandard"
1,0,259178,2633
2,1,259179,2961
3,2,259180,2636
4,3,259181,2634
5,4,259182,2635
6,5,456349,2961
7,3,460950,5412
8,3,460956,5413
9,3,460957,5414
10,3,460958,5415
11,3,460959,5416
12,3,460960,5417
13,3,460961,5418
14,3,460962,5419
15,3,460963,5420
16,3,460964,5421
17,3,460965,5422
18,3,460966,5423
19,3,460967,5424
20,3,460968,5425
21,3,460969,5426
22,3,460970,5427
23,3,460971,5428
24,3,460972,5429
25,4,460973,5430
26,4,460974,5431
27,4,460977,5432
28,4,460978,5433
29,4,460979,5434
30,4,460980,5435
31,4,460981,5436
32,4,460982,5437
33,4,460984,5438
34,4,460985,5439
35,4,460986,5440
36,4,460988,5441
37,4,460990,5442
38,4,460991,5443
39,4,460992,5444
40,4,460994,5445
41,4,460995,5446
42,4,460996,5447
43,2,460997,5448
44,2,460998,5449
45,2,460999,5450
46,2,461000,5451
47,2,461001,5452
48,2,461002,5453
49,2,461003,5454
50,2,461004,5455
51,2,461005,5456
52,2,461006,5457
53,2,461007,5458
54,2,461008,5459
55,2,461009,5460
56,2,461010,5461
57,2,461011,5462
58,2,461012,5463
59,2,461013,5464
60,2,461014,5465
61,3,463708,5474
62,3,463710,5475
63,3,463711,5476
64,3,463712,5477
65,3,463714,5478
66,3,463716,5479
67,3,463718,5480
68,3,463720,5481
69,3,463722,5482
70,3,463723,5483
71,3,463724,5484
72,3,463725,5485
73,3,463726,5486
74,3,463727,5487
75,3,463728,5488
76,3,463730,5489
77,3,463731,5490
78,3,463733,5491
79,3,463734,5492
80,3,463735,5493
81,3,463736,5494
82,3,463738,5495
83,3,463739,5496
84,3,463740,5497
85,3,463741,5498
86,3,463742,5499
87,3,463743,5500
88,3,463744,5501
89,3,463745,5502
90,3,463751,5503
91,3,463753,5504
92,3,463755,5505
93,3,463757,5506
94,3,463758,5507
95,3,463759,5508
96,3,463760,5509
97,4,463761,5510
98,4,463763,5511
99,4,463764,5512
100,4,463765,5513
101,4,463767,5514
102,4,463768,5515
103,4,463769,5516
104,4,463770,5517
105,4,463772,5518
106,4,463775,5519
107,4,463777,5520
108,4,463778,5521
109,4,463779,5522
110,4,463780,5523
111,4,463781,5524
112,4,463782,5525
113,4,463783,5526
114,4,463785,5527
115,4,463788,5528
116,4,463789,5529
117,4,463790,5530
118,4,463791,5531
119,4,463793,5532
120,4,463796,5533
121,4,463798,5534
122,4,463799,5535
123,4,463800,5536
124,4,463803,5537
125,4,463804,5538
126,4,463805,5539
127,4,463806,5540
128,4,463807,5541
130,4,463809,5543
131,4,463810,5544
132,4,463812,5545
133,4,463813,5546
134,4,463814,5547
135,4,463815,5548
136,4,463816,5549
137,2,463819,5550
138,2,463820,5551
139,2,463821,5552
140,2,463823,5553
141,2,463824,5554
142,2,463825,5555
143,2,463826,5556
144,2,463827,5557
145,2,463829,5558
146,2,463830,5559
147,2,463831,5560
148,2,463832,5561
149,2,463833,5562
150,2,463834,5563
151,2,463835,5564
152,2,463836,5565
153,2,463837,5566
154,2,463838,5567
155,2,463841,5568
156,2,463843,5569
157,2,463844,5570
158,2,463847,5571
159,2,463848,5572
160,2,463849,5573
161,2,463850,5574
162,2,463851,5575
163,2,463852,5576
164,2,463853,5577
165,2,463854,5578
166,2,463855,5579
167,5,541362,0
170,4,612199,5542
