"ID","localizedTextIdName","localizedTextIdTooltip","meterChangeRate","meterMaxValue","flags","hazardTypeEnum","spell4IdDamage","minDistanceToUnit","meterThreshold00","meterThreshold01","meterThreshold02","spell4IdThresholdProc00","spell4IdThresholdProc01","spell4IdThresholdProc02"
1,0,0,0.1,100,2,0,27647,0,0.25,0.5,0.75,0,0,0
2,167096,0,2.5,100,128,0,27647,0,25,50,100,27571,27572,27574
3,167097,0,-2.5,100,1,2,27647,0,25,75,0,27571,27573,0
4,167095,0,0,64,14,1,27647,3,50,80,0,27572,27574,0
5,167195,0,0,100,0,0,27647,0,25,50,75,27571,27572,27573
7,168675,0,0,96,4,1,0,0,0,0,0,0,0,0
8,169074,0,1.5,250,2,1,0,0,1,0,0,27861,0,0
10,169308,0,0,100,4,1,0,0,0,0,0,0,0,0
12,169760,0,1.5,125,0,2,0,0,1,50,75,27935,27936,27946
13,169870,0,0,200,4,1,0,0,1,50,75,27935,27936,27946
15,171466,0,0,105,4,1,0,0,0,0,0,0,0,0
16,172511,0,0,75,4,1,0,0,0,0,0,0,0,0
17,172512,0,0,105,4,1,0,0,0,0,0,0,0,0
18,172513,0,0,150,4,1,0,0,0,0,0,0,0,0
19,172990,0,0,100,4,1,0,0,0,0,0,0,0,0
20,173133,0,0,100,4,1,0,0,0,0,0,0,0,0
22,173402,0,1,200,0,2,0,0,1,50,75,27935,27936,27946
23,173437,0,0,200,4,1,0,0,0,0,0,0,0,0
24,173624,0,1,50,6,1,0,0,1,33,66,28402,28403,28406
26,173934,0,1,16,4,1,25886,7,0,0,0,0,0,0
29,175360,0,0,100,4,1,28708,10,25,60,90,28488,28489,28708
30,175983,0,0,75,4,1,0,0,0,0,0,0,0,0
31,175984,0,0,150,4,1,0,0,0,0,0,0,0,0
32,176090,0,0,75,4,1,0,0,0,0,0,0,0,0
33,176137,0,0,140,4,1,0,0,0,0,0,0,0,0
34,176176,0,0,75,4,1,0,0,0,0,0,0,0,0
35,176283,0,0,96,4,1,0,0,0,0,0,0,0,0
36,176319,0,0,125,4,1,0,0,0,0,0,0,0,0
37,176415,0,0,100,4,1,0,0,0,0,0,0,0,0
38,176489,0,0,125,4,1,0,0,0,0,0,0,0,0
39,176688,0,0,75,4,1,0,0,0,0,0,0,0,0
40,176774,0,0,160,4,1,0,0,0,0,0,0,0,0
41,176792,0,0,115,4,1,0,0,0,0,0,0,0,0
42,176885,0,0,96,4,1,0,0,0,0,0,0,0,0
43,176886,0,0,96,4,1,0,0,0,0,0,0,0,0
44,176898,0,0,110,4,1,0,0,0,0,0,0,0,0
45,176904,0,0,96,4,1,0,0,0,0,0,0,0,0
46,177007,0,0,100,4,1,0,0,0,0,0,0,0,0
47,177079,0,0,115,4,1,0,0,0,0,0,0,0,0
