"ID","asset","scale","offsetX","offsetY","offsetZ","rotationX","rotationY","rotationZ"
3,"Art\Structure\Model\Housing\Foundation_Square\Roof\PH_Peaked_Large_001.m3",1,0,0,0,0,0,0
4,"Art\Structure\Model\Housing\Foundation_Square\Roof\PH_Peaked_Medium_001.m3",1,0,0,0,0,0,0
5,"Art\Prop\Housing\Roofs\Square\PRP_Roof_Peaked_SmSquare_001.m3",1,0,0,0,0,0,0
6,"Art\Structure\Model\Housing\Foundation_Square\Roof\PH_Western_Large_001.m3",1,0,0,0,0,0,0
7,"Art\Structure\Model\Housing\Foundation_Square\Roof\PH_Western_Medium_001.m3",1,0,0,0,0,0,0
8,"Art\Prop\Housing\Roofs\Square\PRP_Roof_Western_SmSquare_001.m3",1,0,0,0,0,0,0
9,"Art\Structure\Model\Housing\Foundation_Turn\Roof\PH_Peaked_Large_001.m3",1,0,0,0,0,0,0
10,"Art\Prop\Housing\Roofs\Turn\PRP_Roof_Peaked_MedTurn_001.m3",1,0,0,0,0,0,0
11,"Art\Structure\Model\Housing\Foundation_Turn\Roof\PH_Peaked_Small_001.m3",1,0,0,0,0,0,0
12,"Art\Structure\Model\Housing\Foundation_Turn\Roof\PH_Western_Large_001.m3",1,0,0,0,0,0,0
13,"Art\Prop\Housing\Roofs\Turn\PRP_Roof_Western_MedTurn_001.m3",1,0,0,0,0,0,0
14,"Art\Structure\Model\Housing\Foundation_Turn\Roof\PH_Western_Small_001.m3",1,0,0,0,0,0,0
15,"Art\Prop\Housing\Decor\Entry\PRP_EntrySmall_SancCommon_001.m3",1,0,0,0,0,0,0
16,"Art\Prop\Housing\Decor\Entry\PRP_EntryMed_SancCommon_001.m3",1,0,0,0,0,0,0
17,"Art\Prop\Housing\Decor\Entry\PRP_EntryLrg_SancCommon_002.m3",1,0,0,0,0,0,0
18,"Art\Prop\Housing\Decor\Door\PRP_Door_SancCommon_002.m3",1,0,4.49651,0,90,0,0
19,"Art\Prop\Housing\Decor\Window\PRP_Window_MedGroup_001.m3",0.666667,0,0,0,90,0,0
20,"Art\Prop\Housing\Decor\Window\PRP_Window_MedGroup_002.m3",0.666667,0,0,0,90,0,0
23,"Art\Prop\Constructed\Table\SanctuaryCommon\PRP_Table_SanctuaryCommonCircularSM_Brown_000.m3",1,0,0,0,0,0,0
24,"Art\Prop\Constructed\Stoves\PRP_Stove_CurvedLegWallHooded_Grey_000.m3",1,0,0,0,0,0,0
25,"Art\Prop\Constructed\Barrel\PRP_Barrel_SegmentedPlate_SilverCharcoal_000.m3",1,0,0,0,0,0,0
26,"Art\Prop\Constructed\FlowerPot\SanctuaryCommon\PRP_SquirdPlanter_SanctuaryCommonMedium_Grey_000.m3",1,0,0,0,0,0,0
27,"Art\Prop\Constructed\Rug\SanctuaryCommon\PRP_Rug_SanctuaryCommonBar_Red_001.m3",1,0,0,0,0,0,0
28,"Art\Prop\Constructed\Chair\SanctuaryCommon\PRP_Chair_SanctuaryCommonHighBack_Blue_000.m3",1,0,0,0,0,0,0
29,"Art\Prop\Constructed\Chair\SanctuaryCommon\PRP_Chair_SanctuaryCommonBarStool_Red_000.m3",1,0,0,0,0,0,0
30,"Art\Prop\Constructed\RezStone\PRP_RezStone_EldanRuin_000.m3",1,0,0,0,0,0,0
31,"Art\Prop\Constructed\Altar\Lopp\PRP_Altar_TallWoodCarrot_Brown_000.m3",1,0,0,0,0,0,0
32,"Art\Prop\Constructed\Barrel\Marauder\PRP_Marauder_SurgeBarrel_000.m3",1,0,0,0,0,0,0
33,"Art\Prop\Constructed\Barrel\Pell\PRP_Barrel_PellBarrel_000.m3",1,0,0,0,0,0,0
34,"Art\Prop\Constructed\Barrel\PRP_Barrel_HoldingTank_SilverBrown_000.m3",1,0,0,0,0,0,0
35,"Art\Prop\Constructed\Barrel\PRP_Barrel_ValvedTank_SilverGrey_000.m3",1,0,0,0,0,0,0
36,"Art\Prop\Constructed\Barrel\PRP_Tank_VindGas_Grey_000.m3",1,0,0,0,0,0,0
37,"Art\Prop\Constructed\Bed\Sanctuary\PRP_Bed_BedSanctuaryHuman_BrownBlue_001.m3",1,0,0,0,0,0,0
38,"Art\Prop\Constructed\Bench\PRP_Bench_SancCommonWooden_Brown_000.m3",1,0,0,0,0,0,0
39,"Art\Prop\Constructed\Bench\PRP_Bench_SancCommonWoodenGranok_Brown_000.m3",1,0,0,0,0,0,0
40,"Art\Prop\Constructed\Blackbox\PRP_Blackbox_SCDevice.m3",1,0,0,0,0,0,0
41,"Art\Prop\Constructed\BookCase\PRP_Bookcase_SanctuaryCommon_Brown_000.m3",1,0,0,0,0,0,0
42,"Art\Prop\Constructed\Bottles\SanctuaryCommon\PRP_Bottle_SCBarBottle_001.m3",1,0,0,0,0,0,0
43,"Art\Prop\Constructed\Bottles\SanctuaryCommon\PRP_Bottle_SCBarBottle_002.m3",1,0,0,0,0,0,0
44,"Art\Prop\Constructed\Bottles\SanctuaryCommon\PRP_Bottle_SCBarBottle_003.m3",1,0,0,0,0,0,0
45,"Art\Prop\Constructed\Bottles\SanctuaryCommon\PRP_Bottle_SCBarBottle_004.m3",1,0,0,0,0,0,0
46,"Art\Prop\Constructed\Bottles\SanctuaryCommon\PRP_Bottle_SCBarBottle_005.m3",1,0,0,0,0,0,0
47,"Art\Prop\Constructed\Cabnit\PRP_Cabnit_SanctuaryCommon_Brown_000.m3",1,0,0,0,0,0,0
48,"Art\Prop\Constructed\Chair\Marauders\PRP_Chair_Marauders_000.m3",1,0,0,0,0,0,0
49,"Art\Prop\Constructed\Chair\SanctuaryCommon\PRP_Chair_SanctuaryCommonHighBack_Blue_000.m3",1,0,0,0,0,0,0
50,"Art\Prop\Constructed\Chair\SanctuaryCommon\PRP_Chair_SanctuaryCommonPlush_Orange_000.m3",1,0,0,0,0,0,0
51,"Art\Prop\Constructed\Chest\PRP_Chest_SmugglerHandles_BrownGold_000.m3",1,0,0,0,0,0,0
52,"Art\Prop\Constructed\Container\Marauder\PRP_Maruader_SafeTallGold_Red_000.m3",1,0,0,0,0,0,0
53,"Art\Prop\Constructed\Container\Protostar\PRP_Container_ProtostarHoverTank_000.m3",1,0,0,0,0,0,0
54,"Art\Prop\Constructed\Container\Protostar\PRP_Container_ProtostarMobileTank_000.m3",1,0,0,0,0,0,0
55,"Art\Prop\Constructed\Crate\PRP_Crate_SmugglerWeapon_Brown_000.m3",1,0,0,0,0,0,0
56,"Art\Prop\Constructed\Crate\PRP_Crate_ImperiumWeaponSmall_Black_000.m3",1,0,0,0,0,0,0
57,"Art\Prop\Constructed\Crate\PRP_Crate_FramedWood_SilverBrown_000.m3",1,0,0,0,0,0,0
58,"Art\Prop\Constructed\DisplayCase\Sanctuary\PRP_DisplayCase_SanctuaryCommon_Brown_000.m3",1,0,0,0,0,0,0
