"ID","description","assetPath","constructionEffectsId","buildPreDelayTimeMS","buildPostDelayTimeMS","buildTime00","buildTime01","buildTime02","buildTime03","buildTime04","buildTime05","buildTime06","buildTime07","modelSequenceId00","modelSequenceId01","modelSequenceId02","modelSequenceId03","modelSequenceId04","modelSequenceId05","modelSequenceId06","modelSequenceId07"
1,"Private 1x1 Generic","",1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Private 1x2 Generic","Art\Prop\Housing\BuildAnimations\Generic\PRP_BuildAnim_Generic_1x2.m3",3,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Private 2x2 Generic","",2,10000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Private 2x2 Granok Medium","Art\Prop\Housing\BuildAnimations\Granok\PRP_BuildAnim_Granok_1Story.m3",2,2000,1500,0.0006944,0.0006944,0.0006944,0.0006944,0,0,0,0,1109,1110,6667,1119,0,0,0,0
5,"Private 3x2 Generic","",4,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Private 2x2 WarPlot","",2,10000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Private 1x3 WarPlot","",3,10000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Private 4x3 WarPlot","",5,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Private 3x2 WarPlot","",4,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Private 2x3 WarPlot","",6,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
