"ID","housingContributionTypeId","contributionPointRequirement","item2IdTier00","item2IdTier01","item2IdTier02","item2IdTier03","item2IdTier04","contributionPointValueTier00","contributionPointValueTier01","contributionPointValueTier02","contributionPointValueTier03","contributionPointValueTier04"
1,1,1000000,0,0,0,0,0,10000,0,0,0,0
2,2,100,14700,14701,14702,14703,14704,1,2,3,4,5
3,1,10000,0,0,0,0,0,0,0,0,0,0
4,2,5,14700,0,0,0,0,1,0,0,0,0
5,3,100,0,0,0,0,0,100,0,0,0,0
6,2,1,19392,0,0,0,0,1,0,0,0,0
9,1,2500,0,0,0,0,0,0,0,0,0,0
10,1,2000000,0,0,0,0,0,0,0,0,0,0
11,1,10000000,0,0,0,0,0,0,0,0,0,0
12,1,4370,0,0,0,0,0,0,0,0,0,0
13,1,8650,0,0,0,0,0,0,0,0,0,0
14,1,14470,0,0,0,0,0,0,0,0,0,0
15,1,21880,0,0,0,0,0,0,0,0,0,0
16,1,23550,0,0,0,0,0,0,0,0,0,0
17,1,30890,0,0,0,0,0,0,0,0,0,0
18,1,53860,0,0,0,0,0,0,0,0,0,0
19,1,67860,0,0,0,0,0,0,0,0,0,0
20,1,83560,0,0,0,0,0,0,0,0,0,0
21,1,100980,0,0,0,0,0,0,0,0,0,0
22,1,5020,0,0,0,0,0,0,0,0,0,0
23,1,9950,0,0,0,0,0,0,0,0,0,0
24,1,16650,0,0,0,0,0,0,0,0,0,0
25,1,25160,0,0,0,0,0,0,0,0,0,0
26,1,35530,0,0,0,0,0,0,0,0,0,0
27,1,47780,0,0,0,0,0,0,0,0,0,0
28,1,61940,0,0,0,0,0,0,0,0,0,0
29,1,78040,0,0,0,0,0,0,0,0,0,0
30,1,96090,0,0,0,0,0,0,0,0,0,0
31,1,116120,0,0,0,0,0,0,0,0,0,0
36,2,1,20595,0,0,0,0,1,0,0,0,0
38,2,1,20589,0,0,0,0,1,0,0,0,0
40,2,1,20616,0,0,0,0,1,0,0,0,0
44,2,1,20601,0,0,0,0,1,0,0,0,0
46,2,1,20602,0,0,0,0,1,0,0,0,0
47,2,1,20571,0,0,0,0,1,0,0,0,0
49,2,1,20610,0,0,0,0,1,0,0,0,0
50,2,1,20573,0,0,0,0,1,0,0,0,0
51,2,1,20576,0,0,0,0,1,0,0,0,0
52,2,1,20579,0,0,0,0,1,0,0,0,0
60,2,1,20612,0,0,0,0,1,0,0,0,0
61,2,1,20546,0,0,0,0,1,0,0,0,0
62,2,1,20549,0,0,0,0,1,0,0,0,0
64,2,1,20547,0,0,0,0,1,0,0,0,0
