"ID","housingDecorTypeId","hookTypeId","localizedTextIdName","flags","hookAssetId","cost","costCurrencyTypeId","creature2IdActiveProp","prerequisiteIdUnlock","spell4IdInteriorBuff","housingDecorLimitCategoryId","altPreviewAsset","altEditAsset","minScale","maxScale"
3,2,4,66194,0,3,32500,1,0,0,0,0,"","",0.2,8
4,2,5,66196,0,4,22500,1,0,0,0,0,"","",0.2,8
5,2,6,66197,0,5,12500,1,0,0,0,0,"","",0.2,8
6,2,4,66198,0,6,35000,1,0,0,0,0,"","",0.2,8
7,2,5,66199,0,7,25000,1,0,0,0,0,"","",0.2,8
8,2,6,66200,0,8,15000,1,0,0,0,0,"","",0.2,8
9,2,7,66201,0,9,32507,1,0,0,0,0,"","",0.2,8
10,2,8,66204,0,10,22507,1,0,0,0,0,"","",0.2,8
11,2,9,66206,0,11,10007,1,0,0,0,0,"","",0.2,8
12,2,7,66207,0,12,35007,1,0,0,0,0,"","",0.2,8
13,2,8,66209,0,13,25007,1,0,0,0,0,"","",0.2,8
14,2,9,66210,0,14,15007,1,0,0,0,0,"","",0.2,8
15,3,2,69551,0,15,1000,1,0,0,0,0,"","",0.2,8
17,3,2,69554,0,16,1000,1,0,0,0,0,"","",0.2,8
18,3,2,69555,0,17,1000,1,0,0,0,0,"","",0.2,8
26,1,10,78768,0,18,50,1,72338,0,0,0,"","",0.2,8
27,6,12,79807,0,23,5000,1,0,0,0,0,"","",0.2,8
29,7,12,79819,1,25,100,1,0,0,0,0,"","",0.2,8
34,7,12,84200,0,34,5000,1,0,0,0,0,"","",0.2,8
35,7,12,93540,0,35,5000,1,0,0,0,0,"","",0.2,8
36,7,12,93542,0,36,5000,1,0,0,0,0,"","",0.2,8
37,5,12,93543,0,37,20000,1,0,0,38097,0,"","",0.2,8
40,8,12,93546,0,40,5000,1,65856,0,0,0,"","",0.2,8
41,9,12,93547,0,41,20000,1,0,0,38108,0,"","",0.2,8
42,11,12,93548,0,42,1000,1,0,0,0,0,"","",0.2,8
43,11,12,93549,0,43,1000,1,0,0,0,0,"","",0.2,8
44,11,12,93550,0,44,1000,1,0,0,0,0,"","",0.2,8
45,11,12,93551,0,45,1000,1,0,0,0,0,"","",0.2,8
46,11,12,93552,0,46,1000,1,0,0,0,0,"","",0.2,8
48,4,12,93554,1,48,5000,2,65811,0,0,0,"","",0.2,8
49,4,12,93555,0,49,1000,1,65812,0,0,0,"","",0.2,8
50,4,12,93556,0,50,1500,2,65813,0,38096,0,"","",0.2,8
53,7,12,93559,0,53,1500,2,0,0,0,0,"","",0.2,8
54,7,12,93560,1,54,100,1,0,0,38109,0,"","",0.2,8
57,7,12,93563,1,57,100,1,0,0,0,0,"","",0.2,8
58,9,12,93564,1,58,100,1,0,0,38108,0,"","",0.2,8
59,9,12,93565,1,59,100,1,0,0,38108,0,"","",0.2,8
60,9,12,93566,0,97,7500,1,0,0,38108,0,"","",0.2,8
61,11,12,93567,0,60,1250,2,4294967295,0,38096,0,"","",0.2,8
62,12,12,93576,0,61,2500,1,4294967295,0,38102,0,"","",0.2,8
64,5,12,93578,1,63,6400,1,4294967295,0,38097,0,"","",0.2,8
67,13,12,93581,1,66,40000,1,59493,0,38100,2,"","",0.2,8
68,14,12,93582,1,67,100,1,0,0,38108,0,"","",0.2,8
69,17,12,93583,1,68,1600,1,4294967295,0,38108,0,"","",0.2,8
70,7,12,93584,0,69,5000,2,0,0,38106,0,"","",0.2,8
72,17,12,93588,0,71,5000,1,0,0,0,0,"","",0.2,8
73,15,12,93589,0,27,5000,1,0,0,38097,0,"","",0.2,8
76,11,12,93592,0,75,2000,2,0,0,38096,0,"","",0.2,8
77,11,12,93593,1,76,100,1,0,0,38097,0,"","",0.2,8
78,11,12,93595,1,77,100,1,0,0,38098,0,"","",0.2,8
79,8,12,93596,0,79,2500,2,4294967295,0,38105,0,"","",0.2,8
80,16,12,93597,1,80,100,1,0,0,0,0,"","",0.2,8
82,11,12,93599,0,82,40000,1,0,0,38097,0,"","",0.2,8
84,18,12,93601,0,84,20000,1,0,0,38106,0,"","",0.2,8
85,13,12,93602,1,85,400,1,4294967295,0,38099,2,"","",0.2,8
86,13,12,93603,0,86,5000,1,59488,0,38099,2,"","",0.2,8
93,11,12,93611,1,93,100,1,0,0,0,0,"","",0.2,8
95,13,12,93614,0,95,7500,2,59487,0,38100,2,"","",0.2,8
96,13,12,93615,1,96,1600,1,4294967295,0,38099,2,"","",0.2,8
97,1,10,95408,0,101,50,1,72338,0,0,0,"","",0.2,8
98,1,10,95605,0,18,50,1,0,0,0,0,"","",0.2,8
104,19,22,96072,1,19,100,1,0,0,0,0,"","",0.2,8
105,19,22,96073,1,20,100,1,0,0,0,0,"","",0.2,8
106,46,22,96151,1,106,100,1,0,0,0,0,"","",0.2,8
107,47,22,96152,1,107,100,1,0,0,0,0,"","",0.2,8
109,12,22,96154,0,109,1000,1,0,0,0,0,"","",0.2,8
119,16,22,96296,1,142,100,1,0,0,0,0,"","",0.2,8
