"ID","baseCost","maxPopulation","populationThreshold","housingFactionEnum","housingFeatureTypeEnum","housingPlaystyleTypeEnum","housingMapInfoIdPrimary","housingMapInfoIdSecondary"
2,0,100000,100000,1,0,4,0,1
4,1000,500,200,1,0,2,2,1
5,1000,500,200,1,0,1,2,1
6,1000,500,200,1,0,3,5,1
7,0,100000,100000,2,0,4,0,1
9,1000,500,200,2,0,2,2,1
10,1000,500,200,2,0,1,2,1
11,1000,500,200,2,0,3,5,1
12,10000,500,1000,1,1,0,3,1
13,10000,500,1000,2,1,0,3,1
15,0,1000000,1000000,0,2,1,4,6
18,1000000,20,20,1,0,3,8,1
19,1000000,20,20,2,0,3,8,1
