"ID","worldSocketId","plotType","housingPropertyInfoId","housingPropertyPlotIndex","housingPlugItemIdDefault"
165,1159,42,35,0,0
166,1160,2,35,1,0
167,1161,1,35,2,0
168,1162,1,35,3,0
169,1163,1,35,4,0
170,1164,1,35,5,0
171,1224,42,36,0,0
172,1225,2,36,1,0
173,1226,1,36,2,0
174,1227,1,36,3,0
175,1228,1,36,4,0
176,1229,1,36,5,0
177,1230,42,37,0,0
178,1231,2,37,1,0
179,1232,1,37,2,0
180,1233,1,37,3,0
181,1234,1,37,4,0
182,1235,1,37,5,0
183,1236,42,38,0,0
184,1237,2,38,1,0
185,1238,1,38,2,0
186,1239,1,38,3,0
187,1240,1,38,4,0
188,1241,1,38,5,0
189,1174,42,39,0,0
190,1175,2,39,1,0
191,1178,1,39,2,0
192,1179,1,39,3,0
193,1176,1,39,4,0
194,1177,1,39,5,0
195,1180,42,40,0,0
196,1181,2,40,1,0
197,1184,1,40,2,0
198,1185,1,40,3,0
199,1183,1,40,4,0
200,1182,1,40,5,0
201,1186,42,41,0,0
202,1187,2,41,1,0
203,1190,1,41,2,0
204,1191,1,41,3,0
205,1188,1,41,4,0
206,1189,1,41,5,0
207,1192,42,42,0,0
208,1193,2,42,1,0
209,1196,1,42,2,0
210,1197,1,42,3,0
211,1194,1,42,4,0
212,1195,1,42,5,0
213,1198,42,43,0,0
214,1199,2,43,1,0
215,1202,1,43,2,0
216,1203,1,43,3,0
217,1200,1,43,4,0
218,1201,1,43,5,0
219,1242,42,44,0,0
220,1243,2,44,1,0
221,1244,1,44,2,0
222,1245,1,44,3,0
223,1246,1,44,4,0
224,1247,1,44,5,0
225,1248,42,45,0,0
226,1249,2,45,1,0
227,1250,1,45,2,0
228,1251,1,45,3,0
229,1252,1,45,4,0
230,1253,1,45,5,0
231,1254,42,46,0,0
232,1255,2,46,1,0
233,1256,1,46,2,0
234,1257,1,46,3,0
235,1258,1,46,4,0
236,1259,1,46,5,0
237,1260,42,47,0,0
238,1261,2,47,1,0
239,1262,1,47,2,0
240,1263,1,47,3,0
241,1264,1,47,4,0
242,1265,1,47,5,0
243,1266,42,48,0,0
244,1267,2,48,1,0
245,1268,1,48,2,0
246,1269,1,48,3,0
247,1270,1,48,4,0
248,1271,1,48,5,0
249,1272,42,49,0,0
250,1273,2,49,1,0
251,1274,1,49,2,0
252,1275,1,49,3,0
253,1276,1,49,4,0
254,1277,1,49,5,0
255,1278,42,50,0,0
256,1279,2,50,1,0
257,1280,1,50,2,0
258,1281,1,50,3,0
259,1282,1,50,4,0
260,1283,1,50,5,0
261,1284,42,51,0,0
262,1285,2,51,1,0
263,1286,1,51,2,0
264,1287,1,51,3,0
265,1288,1,51,4,0
266,1289,1,51,5,0
267,1290,42,52,0,0
268,1291,2,52,1,0
269,1292,1,52,2,0
270,1293,1,52,3,0
271,1294,1,52,4,0
272,1295,1,52,5,0
273,1296,42,53,0,0
274,1297,2,53,1,0
275,1298,1,53,2,0
276,1299,1,53,3,0
277,1300,1,53,4,0
278,1301,1,53,5,0
279,1302,42,54,0,0
280,1303,2,54,1,0
281,1304,1,54,2,0
282,1305,1,54,3,0
283,1306,1,54,4,0
284,1307,1,54,5,0
285,1308,42,55,0,0
286,1309,2,55,1,0
287,1310,1,55,2,0
288,1311,1,55,3,0
289,1312,1,55,4,0
290,1313,1,55,5,0
291,1314,42,56,0,0
292,1315,2,56,1,0
