"ID","localizedTextIdName","housingPlotTypeId","localizedTextIdTooltip","worldIdPlug00","worldIdPlug01","worldIdPlug02","worldIdPlug03","flags","housingResourceIdProvided00","housingResourceIdProvided01","housingResourceIdProvided02","housingResourceIdProvided03","housingResourceIdProvided04","housingResourceIdPrerequisite00","housingResourceIdPrerequisite01","housingResourceIdPrerequisite02","housingFeatureTypeFlags","housingContributionInfoId00","housingContributionInfoId01","housingContributionInfoId02","housingContributionInfoId03","housingContributionInfoId04","housingPlugItemIdNextUpgrade","localizedTextIdPrereqTooltip00","localizedTextIdPrereqTooltip01","localizedTextIdPrereqTooltip02","prerequisiteId00","prerequisiteId01","prerequisiteId02","prerequisiteIdUnlock","housingBuildId","housingUpkeepTypeEnum","upkeepCharges","upkeepTime","housingContributionInfoIdUpkeepCost00","housingContributionInfoIdUpkeepCost01","housingContributionInfoIdUpkeepCost02","housingContributionInfoIdUpkeepCost03","housingContributionInfoIdUpkeepCost04","gameFormulaIdHousingBuildBonus","screenshotSprite00","screenshotSprite01","screenshotSprite02","screenshotSprite03","screenshotSprite04","housingPlugTypeEnum","accountItemIdUpsell"
2,47270,1,0,702,702,702,702,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","","","","",0,0
3,47271,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","","","","",0,0
4,47272,1,349292,588,588,588,588,0,0,0,0,0,0,0,0,0,3,195,0,0,0,0,0,463160,544166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Icon_Housing1x1_588_Waterwell_01","Icon_Housing1x1_588_Waterwell_02","Icon_Housing1x1_588_Waterwell_03","","",0,0
5,47273,1,0,589,589,589,589,2,0,0,0,0,0,0,0,0,3,224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","","","","",0,0
6,47275,1,0,591,591,591,591,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","","","","",0,0
7,47277,1,379987,596,596,596,596,0,0,0,0,0,0,0,0,0,3,196,0,0,0,0,0,463161,544176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Icon_Housing1x1_596_Silo_01","Icon_Housing1x1_596_Silo_02","Icon_Housing1x1_596_Silo_03","","",0,0
8,47278,1,360643,597,597,597,597,32,0,0,0,0,0,0,0,0,3,224,0,0,0,0,17,536753,544186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Icon_Housing1x1_597_Garden_Tier1_01","Icon_Housing1x1_597_Garden_Tier1_02","Icon_Housing1x1_597_Garden_Tier1_03","","",1,0
12,47283,2,0,1316,1315,1314,594,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"","","","","",0,0
14,47286,2,0,1309,1310,599,1308,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"","","","","",0,0
15,47289,2,0,1306,1305,1297,600,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,30,0,0,0,0,0,0,"","","","","",0,0
16,47291,2,0,1285,1286,603,1288,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"","","","","",0,0
17,47294,1,360644,692,692,692,692,34,0,0,0,0,0,0,0,0,3,36,0,0,0,0,41,536752,544187,0,27873,0,0,0,1,0,0,0,0,0,0,0,0,0,"Icon_Housing1x1_692_Garden_Tier2_01","Icon_Housing1x1_692_Garden_Tier2_02","Icon_Housing1x1_692_Garden_Tier2_03","","",1,0
18,56749,43,0,1942,1942,1942,1942,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"","","","","",0,0
19,61081,43,0,666,666,666,666,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",0,0
22,61098,1,0,658,658,658,658,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","","","","",0,0
23,61099,1,360673,659,659,659,659,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,341609,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Icon_Housing1x1_659_Windmill_01","Icon_Housing1x1_659_Windmill_02","Icon_Housing1x1_659_Windmill_03","","",0,0
25,61102,1,360658,590,590,590,590,8,0,0,0,0,0,0,0,0,3,224,0,0,0,0,26,376402,523016,0,0,0,0,0,1,1,0,30,224,0,0,0,0,0,"Icon_Housing1x1_590_Mineral_Deposit_Tier1_01","Icon_Housing1x1_590_Mineral_Deposit_Tier1_02","Icon_Housing1x1_590_Mineral_Deposit_Tier1_03","","",1,0
26,61103,1,360659,656,656,656,656,10,0,0,0,0,0,0,0,0,3,44,0,0,0,0,27,523017,544196,0,27873,0,0,0,1,1,0,30,227,0,0,0,0,0,"Icon_Housing1x1_656_Mineral_Deposit_Tier2_01","Icon_Housing1x1_656_Mineral_Deposit_Tier2_02","Icon_Housing1x1_656_Mineral_Deposit_Tier2_03","","",1,0
