"ID","housingDecorInfoIdDefaultRoof","housingDecorInfoIdDefaultEntryway","housingDecorInfoIdDefaultDoor","housingWallpaperInfoIdDefault","worldLocation2IdInside00","worldLocation2IdInside01","worldLocation2IdInside02","worldLocation2IdInside03","worldLocation2IdOutside00","worldLocation2IdOutside01","worldLocation2IdOutside02","worldLocation2IdOutside03"
1,0,0,0,0,5679,5679,5679,5679,5680,5680,5680,5680
7,13,15,26,1,7170,7170,7170,7170,7169,7169,7169,7169
8,103,15,99,1,7135,7135,7135,7135,7134,7134,7134,7134
11,675,671,673,56,16440,16438,16336,16432,16439,16437,16335,16431
14,197,190,189,29,16436,16763,16582,16434,16435,16762,16581,16433
17,193,192,191,61,16572,16569,16510,16580,16571,16568,16509,16579
18,550,549,548,64,29406,29406,29406,29406,29405,29405,29405,29405
19,553,552,551,68,29409,29409,29409,29409,29408,29408,29408,29408
20,613,614,612,68,0,0,32111,0,0,0,32113,0
21,632,637,630,64,0,0,32145,0,0,0,32146,0
22,636,634,633,68,0,0,32421,0,0,0,32420,0
23,639,650,551,68,0,0,32730,0,0,0,32729,0
24,0,0,0,0,33015,33015,33015,33015,33015,33015,33015,33015
25,662,663,661,71,0,0,34971,0,0,0,34970,0
26,667,668,665,29,0,0,35608,35608,0,0,35607,35607
27,177,179,178,56,0,0,35875,35875,0,0,35874,35874
28,680,679,678,61,0,0,36672,0,0,0,36671,0
30,0,0,0,0,48274,48274,48274,48274,48274,48274,48274,48274
32,0,0,1818,0,49347,49347,49347,49347,49346,49346,49346,49346
34,0,0,2116,0,49876,49876,49876,49876,49877,49877,49877,49877
35,2227,2226,2225,102,50661,50661,50661,50661,50660,50660,50660,50660
37,3044,3041,3038,56,51661,51661,51661,51661,51660,51660,51660,51660
38,662,663,661,71,0,0,53062,0,0,0,53061,0
