"ID","housingPlugItemId","maintenanceCost","upgradeCost00","upgradeCost01","upgradeCost02","spell4IdAbility00","spell4IdAbility01","spell4IdAbility02","spell4IdAbility03","spell4IdAbility04","spell4IdAbility05","spell4IdAbility06","spell4IdAbility07","spell4IdAbility08","spell4IdAbility09","spell4IdAbility10","spell4IdAbility11"
1,338,0,0,145,210,41284,43956,43957,45228,45229,45230,0,0,0,0,0,0
2,336,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
3,333,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
4,334,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
5,329,0,0,545,640,40615,52304,52305,40557,44121,44122,0,0,0,0,0,0
6,335,0,0,210,275,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
7,368,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
8,369,0,0,145,210,41284,43956,43957,41284,43956,43957,0,0,0,0,0,0
9,370,0,0,145,210,41284,43956,43957,45228,45229,45230,0,0,0,0,0,0
10,399,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
11,400,0,0,145,210,0,0,0,0,0,0,0,0,0,0,0,0
12,401,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
13,402,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
14,403,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
15,404,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
16,405,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
17,406,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
18,407,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
19,408,0,0,655,800,62963,63078,63080,62962,63077,63079,0,0,0,0,0,0
20,409,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
21,482,0,0,545,640,40615,52304,52305,40557,44121,44122,0,0,0,0,0,0
22,483,0,0,545,640,40615,52304,52305,40557,44121,44122,0,0,0,0,0,0
23,484,0,0,545,640,53203,53210,53211,53202,53207,53208,0,0,0,0,0,0
24,485,0,0,545,640,53205,53214,53215,53204,53212,53213,0,0,0,0,0,0
25,439,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
26,440,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
27,441,0,0,230,290,53758,53758,53758,53767,53767,53767,53761,53761,53761,53764,53764,53764
28,442,0,0,230,290,53759,53759,53759,53768,53768,53768,53762,53762,53762,53765,53765,53765
29,427,0,0,210,275,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
30,428,0,0,210,275,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
31,429,0,0,210,275,46679,46679,46679,46685,46685,46685,46681,46681,46681,46683,46683,46683
