"ID","enumName","localizedTextId","inputActionCategoryId","canHaveUpDownState","displayIndex"
1,"Nothing",130849,1,0,0
2,"Options",130980,1,0,0
3,"CharacterPanel",130981,2,0,3
4,"Inventory",130982,2,0,13
5,"QuestLog",130983,1,0,18
6,"Communicator",130984,2,0,6
7,"Escape",130985,2,0,10
8,"Shift",130986,1,1,0
9,"Control",130987,1,1,0
10,"Select",130988,5,0,0
11,"MouseInteract",130989,1,1,0
12,"Interact",130990,4,1,0
13,"HostileInteract",130991,1,1,0
14,"TargetSelf",130992,5,0,0
15,"TargetParty1",130993,5,0,1
16,"TargetParty2",130994,5,0,2
17,"TargetParty3",130995,5,0,3
18,"TargetParty4",130996,5,0,4
19,"TargetNextEnemy",130997,5,0,5
20,"TargetPreviousEnemy",130998,5,0,6
21,"TargetNextFriend",130999,5,0,8
22,"TargetPreviousFriend",131000,5,0,9
23,"AssistTarget",131001,5,0,11
24,"MoveForward",131002,3,1,2
25,"MoveBackward",131003,3,1,3
26,"StrafeLeft",131004,3,1,4
27,"StrafeRight",131005,3,1,5
28,"TurnLeft",131006,3,1,6
29,"TurnRight",131007,3,1,7
30,"PitchUp",131008,1,1,30
31,"PitchDown",131009,1,1,31
32,"MouseTurn",131010,1,1,0
33,"SprintModifier",131011,3,1,0
34,"VacuumLoot",131012,4,0,8
35,"PathAction",131013,4,0,4
36,"Jump",131014,3,1,20
37,"Dismount",131015,1,1,25
38,"ToggleSit",131016,3,0,26
39,"ToggleWalk",131017,3,0,27
40,"ToggleAutoRun",131018,3,0,28
41,"CameraUp",131019,6,1,0
42,"CameraDown",131020,6,1,1
43,"CameraLeft",131021,6,1,2
44,"CameraRight",131022,6,1,3
45,"CameraIn",131023,6,0,4
46,"CameraOut",131024,6,0,5
47,"MouseLook",131025,1,1,0
48,"CastObjectiveAbility",131026,4,1,1
49,"LimitedActionSet1",131027,4,1,9
50,"LimitedActionSet2",131028,4,1,9
51,"LimitedActionSet3",131029,4,1,9
52,"LimitedActionSet4",131030,4,1,9
53,"LimitedActionSet5",131031,4,1,9
54,"LimitedActionSet6",131032,4,1,9
55,"LimitedActionSet7",131033,4,1,9
56,"LimitedActionSet8",131034,4,1,9
57,"CastGadgetAbility",131035,4,1,9
58,"CastPathAbility",131036,4,1,9
59,"ActionBar0_Unused1",131037,1,1,0
60,"ActionBar0_Unused2",131038,1,1,0
61,"ActionBar1_Slot1",131039,4,1,9
62,"ActionBar1_Slot2",131040,4,1,9
63,"ActionBar1_Slot3",131041,4,1,9
64,"ActionBar1_Slot4",131042,4,1,9
65,"ActionBar1_Slot5",131043,4,1,9
66,"ActionBar1_Slot6",131044,4,1,9
67,"ActionBar1_Slot7",131045,4,1,9
68,"ActionBar1_Slot8",131046,4,1,9
69,"ActionBar1_Slot9",131047,4,1,9
70,"ActionBar1_Slot10",131048,4,1,9
71,"ActionBar1_Slot11",131049,4,1,9
72,"ActionBar1_Slot12",131050,4,1,9
73,"ActionBar2_Slot1",131051,4,1,9
74,"ActionBar2_Slot2",131052,4,1,9
75,"ActionBar2_Slot3",131053,4,1,9
76,"ActionBar2_Slot4",131054,4,1,9
77,"ActionBar2_Slot5",131055,4,1,9
78,"ActionBar2_Slot6",131056,4,1,9
79,"ActionBar2_Slot7",131057,4,1,9
80,"ActionBar2_Slot8",131058,4,1,9
81,"ActionBar2_Slot9",131059,4,1,9
82,"ActionBar2_Slot10",131060,4,1,9
83,"ActionBar2_Slot11",131061,4,1,9
84,"ActionBar2_Slot12",131062,4,1,9
85,"ActionBar3_Slot1",131063,4,1,9
86,"ActionBar3_Slot2",131064,4,1,9
87,"ActionBar3_Slot3",131065,4,1,9
88,"ActionBar3_Slot4",131066,4,1,9
89,"ActionBar3_Slot5",131067,4,1,9
90,"ActionBar3_Slot6",131068,4,1,9
91,"ActionBar3_Slot7",131069,4,1,9
92,"ActionBar3_Slot8",131070,4,1,9
93,"ActionBar3_Slot9",131071,4,1,9
94,"ActionBar3_Slot10",131072,4,1,9
95,"ActionBar3_Slot11",131073,4,1,9
96,"ActionBar3_Slot12",131074,4,1,9
97,"Unused1",131075,1,0,0
98,"Unused2",131076,1,0,0
99,"Unused3",131077,1,0,0
100,"Unused4",131078,1,0,0
101,"Unused5",131079,1,0,0
102,"Unused6",131080,1,0,0
103,"SetStance1",131081,4,0,11
104,"SetStance2",131082,4,0,11
105,"SetStance3",131083,4,0,11
106,"Unused7",131084,1,0,0
107,"Unused20",131085,1,0,0
108,"Unused11",131086,1,0,1
109,"ToggleInterface",131087,8,0,2
110,"ToggleFramerate",131088,8,0,3
111,"Unused21",131089,1,0,4
112,"Unused23",131090,1,0,0
113,"Unused22",131091,1,0,1
114,"WorldMap",131092,2,0,30
115,"LimitedActionSetBuilder",131093,2,0,16
116,"Unused8",131094,1,0,0
117,"Unused9",131095,1,0,0
118,"ExplicitMouseLook",131096,6,0,6
119,"ToggleWeapons",131097,4,0,7
120,"LeftMouseHold",131098,1,1,0
121,"RightMouseHold",131099,1,1,0
122,"CenterMouseHold",131100,1,0,0
123,"CastInnateAbility",131101,4,1,2
124,"MarkingMenuLeftClick",131102,1,0,0
125,"MarkingMenuLeftHold",131103,1,0,0
126,"MarkingMenuRightClick",131104,1,0,0
127,"MarkingMenuRightHold",131105,1,0,0
128,"HUDShowQuests",131106,1,0,12
129,"ToggleCameraAngle",131998,6,0,7
130,"ToggleScannerBot",166530,4,0,6
131,"Codex",180310,2,0,4
133,"PathAction2",203548,4,0,5
134,"FloatingActionBar_Slot1",219356,4,1,10
135,"FloatingActionBar_Slot2",219379,4,1,10
136,"FloatingActionBar_Slot3",219380,4,1,10
137,"FloatingActionBar_Slot4",219381,4,1,10
138,"FloatingActionBar_Slot5",219385,4,1,10
139,"FloatingActionBar_Slot6",219387,4,1,10
146,"ScaleRampedMotion",297585,9,0,0
147,"ScaleRampedRotation",297587,9,0,1
148,"BrakeRampedMotion",297589,9,0,2
149,"BrakeRampedRotation",297591,9,0,3
150,"MoveDown",301954,3,1,29
151,"GroupFinder",306780,2,0,7
152,"CastMiscSpell",345043,4,1,3
154,"SetTargetMark1",360913,5,0,12
155,"SetTargetMark2",360914,5,0,13
156,"SetTargetMark3",361078,5,0,14
157,"SetTargetMark4",361079,5,0,15
158,"SetTargetMark5",361080,5,0,16
159,"SetTargetMark6",361082,5,0,17
160,"SetTargetMark7",361083,5,0,18
161,"SetTargetMark8",361084,5,0,19
