"ID","localizedTextIdName","minLevel","maxLevel","expectedCompletionTime","instancePortalTypeEnum"
1,129392,1,100,30,0
3,130339,11,14,60,0
4,137714,10,12,15,0
5,144134,6,10,10,1
6,159652,0,0,0,2
7,194334,17,24,15,1
8,194361,0,0,0,3
9,194365,9,12,15,1
10,194366,0,0,0,3
11,199283,1,60,0,0
12,199284,1,60,0,0
13,200129,17,20,35,0
14,200130,0,0,0,2
15,200486,12,16,15,1
16,208283,0,0,0,3
17,214079,0,0,0,1
18,246958,50,0,15,1
19,246959,0,0,0,3
20,264403,6,60,5,0
21,262098,9,12,15,1
22,264404,0,0,0,3
23,281443,10,16,15,1
24,286439,26,32,30,1
25,297869,0,0,0,2
26,297883,22,25,35,0
27,303649,0,0,0,3
28,303650,32,35,45,1
29,334967,12,16,15,1
31,339016,17,24,15,1
33,340749,0,0,0,3
34,345755,0,0,15,0
35,345759,0,0,0,2
36,352184,0,0,0,3
37,358785,0,0,0,3
38,362166,6,0,0,1
39,363648,6,0,0,0
40,363649,6,0,0,2
41,374906,0,0,0,3
42,374910,0,0,0,3
43,374914,0,0,0,3
44,376210,6,0,0,1
45,376211,6,0,0,2
46,376219,6,0,0,0
47,376220,6,0,0,3
48,376221,6,0,0,2
49,376674,6,0,0,0
50,376675,0,0,0,2
51,378361,0,0,0,2
52,378362,37,40,45,0
53,378363,0,0,0,3
54,424947,50,0,0,1
55,424948,50,0,0,1
56,424949,0,0,0,1
57,424950,0,0,0,1
58,427333,6,0,0,2
59,428203,6,0,0,2
60,429622,30,36,45,1
61,429623,30,36,45,1
62,429624,0,0,0,3
63,434965,0,0,0,1
64,435522,0,0,0,1
65,437407,0,0,0,1
66,438116,0,0,0,1
67,443641,31,37,45,1
68,455931,31,37,45,1
69,443655,0,0,0,3
70,443673,40,46,30,1
71,443674,0,0,0,3
72,452664,6,0,0,0
73,452667,6,0,0,2
74,452668,6,0,0,1
75,452671,6,0,0,3
76,453608,6,0,0,0
77,453610,6,0,0,2
78,455554,22,50,30,1
79,455625,22,50,30,1
80,455865,28,50,30,1
81,455866,28,50,30,1
82,0,1,50,30,1
83,466712,50,0,0,0
84,467041,0,0,0,1
85,467045,0,0,0,1
86,467094,0,0,0,1
87,467095,0,0,0,1
88,472617,27,50,35,1
89,472816,30,50,35,0
92,476846,40,0,70,0
94,486879,25,0,30,0
95,493549,45,0,90,0
96,494203,15,0,30,0
97,498519,50,50,0,1
98,498520,50,50,0,1
99,500206,15,0,30,0
100,500333,34,50,30,1
101,500334,34,50,30,1
102,501127,50,50,0,1
106,525755,0,0,0,3
107,530793,40,50,30,1
108,530794,40,50,30,1
109,530795,45,50,30,1
110,530796,45,50,30,1
111,535399,50,0,0,1
112,535400,50,0,0,1
113,535406,50,0,0,1
114,535407,50,0,0,1
115,535408,14,0,0,1
116,535409,14,0,0,1
117,535410,14,0,0,1
118,535412,14,0,0,1
119,535413,14,0,0,1
120,535419,14,0,0,1
121,535430,22,0,0,1
122,535441,22,0,0,1
123,535453,29,0,0,1
124,535459,29,0,0,1
125,535470,41,0,0,1
126,535486,35,0,0,1
127,535492,35,0,0,1
128,535498,45,0,0,1
129,535499,45,0,0,1
130,563129,0,0,0,3
131,563132,50,50,0,1
132,563362,0,0,0,3
136,570576,6,0,0,0
137,570615,6,0,0,2
138,574494,0,0,0,1
139,574495,0,0,0,1
140,574496,0,0,0,1
141,574497,0,0,0,1
143,583262,0,0,0,1
144,615145,0,0,0,3
145,622272,10,50,0,1
146,622496,50,0,60,1
147,622513,10,50,0,3
148,625691,50,50,0,1
149,625696,0,0,0,3
150,625787,50,50,60,1
152,625793,0,0,0,3
153,626418,50,50,45,1
154,627271,0,0,0,3
155,627538,0,0,0,1
156,627804,0,0,0,1
157,627805,0,0,0,1
158,627806,0,0,0,1
159,627807,0,0,0,1
160,627808,0,0,0,1
161,627809,0,0,0,1
162,627810,0,0,0,1
163,627811,0,0,0,1
164,627812,0,0,0,1
165,627813,0,0,0,1
166,627814,0,0,0,1
167,627816,0,0,0,1
168,627817,0,0,0,1
169,628157,50,0,25,1
170,630349,10,50,30,1
171,632039,50,0,0,1
176,0,50,50,0,1
177,0,50,50,0,1
178,0,50,50,0,1
179,0,50,50,0,1
180,637515,50,50,45,1
181,638723,10,50,0,1
182,0,10,50,0,3
183,648568,6,9,20,1
184,640935,6,9,20,1
185,641028,6,50,20,3
186,648572,6,9,20,1
187,648573,6,9,20,1
188,652753,0,0,0,3
189,676739,0,0,0,1
190,676740,0,0,0,1
193,678414,50,0,25,0
194,680790,0,0,0,1
195,680791,0,0,0,1
196,680792,0,0,0,1
197,680793,0,0,0,1
198,680795,0,0,0,1
199,680796,0,0,0,1
200,680797,0,0,0,1
201,680798,0,0,0,1
202,680829,50,50,0,0
203,680835,50,50,0,3
204,681014,0,0,0,1
205,681015,0,0,0,1
214,683931,0,0,0,1
215,683932,0,0,0,1
217,683949,0,0,0,1
218,683950,0,0,0,1
219,683951,0,0,0,1
220,683952,0,0,0,1
221,683953,0,0,0,1
222,683954,0,0,0,1
223,684049,0,0,0,3
224,685013,0,0,0,1
225,685014,0,0,0,1
226,685016,0,0,0,1
227,685017,0,0,0,1
228,686732,20,26,30,1
229,686734,0,0,0,3
230,690741,6,50,5,0
231,690757,6,50,5,0
232,690758,6,50,5,0
233,690759,6,50,5,0
234,695622,0,0,0,1
235,700221,15,20,20,1
236,700222,15,20,20,1
237,700269,15,20,20,3
238,0,0,0,0,1
239,0,0,0,0,1
240,719914,50,0,0,1
241,719916,50,0,0,1
243,742187,0,0,0,1
244,742188,0,0,0,1
245,742189,0,0,0,1
246,742190,0,0,0,1
247,742620,50,50,45,1
248,742712,0,0,0,1
249,745447,50,50,0,1
250,0,0,0,0,1
251,0,0,0,0,1
252,0,0,0,0,1
253,0,0,0,0,1
254,0,0,0,0,1
255,0,0,0,0,1
256,0,0,0,0,1
257,746365,50,0,0,1
258,750154,50,50,45,1
259,756718,50,50,45,3
260,760100,0,50,0,1
261,760101,0,50,0,3
262,761905,0,0,0,1
263,762113,0,0,0,1
264,762123,0,0,0,1
265,762124,0,0,0,1
266,762439,50,0,0,1
267,763040,50,50,0,1
268,763061,0,0,0,3
269,767477,50,50,30,0
270,767483,0,0,0,2
271,769426,0,0,0,3
