"ID","localizedTextId","itemProficiencyId","flags","tradeSkillId","soundEventIdEquip","vendorMultiplier","turninMultiplier","armorModifier","armorBase","weaponPowerModifier","weaponPowerBase","item2FamilyId"
1,190362,4,0,14,0,1,1,0.75,0,1,0,1
2,190363,3,0,12,0,1,1,1,0,1,0,1
3,190364,2,0,12,0,1,1,1.25,0,1,0,1
4,190365,1,65536,12,0,1,1,0,0,1,0,6
5,190366,0,0,0,0,1,1,1,0,1,0,27
6,190367,0,65536,0,0,1,1,0,0,1,0,1
7,0,0,0,0,0,1,1,1,0,1,0,15
8,190389,5,0,1,0,1,1,1,0,1,0,2
9,190372,6,65536,0,0,1,1,0,0,1,0,2
10,190391,7,0,1,0,1,1,1,0,1,0,2
11,190371,8,65536,0,0,1,1,0,0,1,0,2
12,190392,9,0,1,0,1,1,1,0,1,0,2
13,190370,10,65536,0,0,1,1,0,0,1,0,2
14,190393,11,0,1,0,1,1,1,0,1,0,2
15,190369,12,65536,0,0,1,1,0,0,1,0,2
16,190395,13,0,1,0,1,1,1,0,1,0,2
17,190368,14,65536,0,0,1,1,0,0,1,0,2
18,190396,15,0,1,0,1,1,1,0,1,0,2
19,190373,16,65536,0,0,1,1,0,0,1,0,2
20,190397,17,0,1,0,1,1,1,0,1,0,2
21,190374,18,65536,0,0,1,1,0,0,1,0,2
22,190398,19,0,1,0,1,1,1,0,1,0,2
23,190375,20,65536,0,0,1,1,0,0,1,0,2
24,190399,21,0,1,0,1,1,1,0,1,0,2
25,190376,22,65536,0,0,1,1,0,0,1,0,2
26,0,0,65536,14,0,1,1,0,0,1,0,10
27,0,0,65536,0,0,1,1,0,0,1,0,5
28,0,0,65536,0,0,1,1,0,0,1,0,5
29,0,0,65536,0,0,1,1,0,0,1,0,5
30,0,0,65536,0,0,1,1,0,0,1,0,5
31,0,0,65536,0,0,1,1,0,0,1,0,12
32,0,0,65536,0,0,1,1,0,0,1,0,12
33,0,0,65536,0,0,1,1,0,0,1,0,12
34,0,0,65536,0,0,1,1,0,0,1,0,12
35,0,0,65536,0,0,1,1,0,0,1,0,12
36,0,14,65536,0,0,1,1,0,0,1,0,2
37,0,0,65536,0,0,1,1,0,0,1,0,13
40,0,0,65536,0,0,1,1,0,0,1,0,14
41,0,0,65536,0,0,1,1,0,0,1,0,14
42,0,0,65536,0,0,1,1,0,0,1,0,14
43,0,0,65536,0,0,1,1,0,0,1,0,14
44,0,0,65536,0,0,1,1,0,0,1,0,14
45,0,0,65536,0,0,1,1,0,0,1,0,14
46,0,0,65536,0,0,1,1,0,0,1,0,14
47,190377,0,0,2,0,1,1,0,0,1,0,16
48,190378,0,0,0,0,1,1,0,0,1,0,16
49,190379,0,0,0,0,1,1,0,0,1,0,16
50,190380,0,0,0,0,1,1,0,0,1,0,16
51,0,0,0,0,0,1,1,0,0,1,0,16
52,0,0,0,0,0,1,1,0,0,1,0,16
53,0,0,0,0,0,1,1,0,0,1,0,16
54,568656,0,0,0,0,1,1,0,0,1,0,16
