"ID","dyeColorRampId00","dyeColorRampId01","dyeColorRampId02"
1,14,39,3
2,9,9,9
3,7,6,5
8,61,61,52
9,71,34,65
11,0,0,0
12,132,6,106
13,158,135,4
14,162,0,0
15,168,0,0
16,163,0,0
17,165,0,0
18,164,0,0
21,174,0,0
22,167,0,0
23,169,0,0
24,170,0,0
25,171,0,0
26,172,0,0
27,226,0,0
28,136,56,74
29,179,0,0
30,178,0,0
31,180,0,0
32,181,0,0
33,182,0,0
34,183,0,0
35,184,0,0
36,185,0,0
37,186,0,0
38,187,0,0
39,188,0,0
40,189,0,0
41,190,0,0
42,191,0,0
43,192,0,0
44,193,0,0
45,194,0,0
46,222,0,0
47,223,0,0
48,224,0,0
49,225,0,0
50,227,0,0
51,228,0,0
52,229,0,0
53,230,0,0
54,231,0,0
55,232,0,0
56,233,0,0
57,234,0,0
58,235,0,0
59,74,104,104
60,254,0,0
61,94,59,157
65,114,111,117
66,345,46,58
67,346,157,127
68,268,0,0
69,269,0,0
70,270,0,0
71,271,0,0
72,272,0,0
73,274,0,0
74,275,0,0
75,276,0,0
76,277,0,0
77,58,154,0
78,127,154,0
79,89,0,0
80,235,0,0
81,236,0,0
82,237,0,0
83,238,0,0
84,239,0,0
85,240,0,0
86,241,0,0
87,242,0,0
88,243,0,0
89,244,0,0
90,245,0,0
91,246,0,0
92,247,0,0
93,248,0,0
94,249,0,0
95,250,0,0
96,251,0,0
97,252,0,0
98,253,0,0
99,97,138,54
100,10,128,99
101,129,11,99
102,97,138,54
103,135,90,0
104,132,122,134
105,158,140,127
106,37,0,100
107,0,104,75
108,260,0,0
109,259,0,0
110,255,0,0
111,257,0,0
112,256,0,0
113,258,0,0
114,265,0,0
115,263,0,0
116,261,0,0
117,264,0,0
118,266,0,0
119,267,0,0
120,262,0,0
121,157,157,24
122,140,138,47
123,157,153,157
124,157,157,131
125,69,0,0
126,324,0,0
127,325,0,0
128,326,0,0
129,327,0,0
130,328,0,0
131,329,0,0
132,330,0,0
133,331,0,0
134,332,0,0
135,333,0,0
136,159,159,159
137,4,64,44
138,158,134,127
139,334,0,0
140,335,0,0
141,336,0,0
142,337,0,0
143,338,0,0
144,339,0,0
145,340,0,0
146,341,0,0
147,342,0,0
148,343,0,0
149,157,93,158
150,122,98,158
151,98,158,98
152,136,93,74
158,4,10,3
159,44,50,43
160,157,157,92
161,105,90,127
162,11,5,92
163,94,59,122
164,96,92,157
165,50,158,108
166,125,132,89
167,124,138,95
168,6,157,92
169,157,96,0
170,97,138,138
171,47,96,47
172,157,157,92
173,50,48,96
175,70,96,67
176,70,70,139
177,242,125,45
178,96,96,63
179,131,92,0
180,6,157,82
182,148,0,0
183,30,126,125
184,31,94,54
185,55,157,43
187,31,93,5
188,136,122,92
189,157,157,92
190,158,157,158
191,69,159,21
192,158,104,109
193,104,158,109
194,147,91,158
195,25,94,158
196,0,0,0
197,25,158,64
198,91,91,157
199,94,25,158
200,51,11,91
201,6,45,158
202,158,6,6
203,45,91,85
206,51,42,113
208,46,131,130
209,157,73,124
210,41,14,42
211,42,158,113
212,15,132,42
214,59,89,59
215,147,105,144
216,28,18,128
218,100,131,116
219,157,133,141
220,111,116,118
221,157,137,137
222,110,47,42
223,96,105,106
224,41,95,96
226,71,96,121
227,127,137,157
228,157,129,78
229,73,157,124
230,31,25,131
231,157,5,137
232,5,157,83
233,127,138,137
234,157,5,83
235,131,46,42
236,51,6,137
237,121,55,93
238,142,57,124
241,52,60,102
242,102,60,52
243,103,52,83
247,25,126,45
249,142,35,132
250,138,122,124
251,59,77,72
252,122,138,124
253,72,77,59
254,110,106,51
255,83,52,142
261,131,158,93
262,87,156,120
263,120,156,87
264,58,157,134
265,6,157,137
266,130,137,157
267,157,157,137
268,157,145,158
269,157,24,124
270,24,157,124
271,44,103,158
272,103,44,158
273,61,157,158
274,57,24,73
275,124,122,53
276,159,139,57
280,27,52,124
281,126,8,134
282,36,137,137
284,104,79,159
285,123,157,137
286,131,96,75
289,94,157,156
290,15,147,103
291,124,147,73
293,73,147,124
294,52,147,124
295,103,124,147
296,142,346,55
298,6,27,157
299,41,28,141
300,52,73,27
302,81,72,156
303,148,147,55
304,132,122,96
305,157,46,96
307,61,91,87
309,157,31,98
310,125,114,158
312,57,76,70
314,128,157,25
315,157,157,157
316,55,129,126
317,122,158,42
318,46,158,99
319,156,106,116
321,26,56,18
322,109,110,114
325,156,95,96
326,94,48,67
327,48,94,67
329,4,157,137
332,74,157,137
333,41,72,26
334,114,82,139
335,4,4,4
336,123,123,123
339,74,0,122
340,157,158,74
341,157,74,25
342,157,98,349
345,157,74,344
346,349,157,349
347,5,64,94
348,5,94,64
350,351,351,351
351,6,158,158
352,6,158,6
353,42,158,93
354,93,42,158
355,6,6,158
356,51,92,0
357,51,0,0
358,51,51,0
359,92,0,0
360,43,44,45
361,23,24,25
362,103,104,105
363,104,43,126
364,5,157,92
367,346,347,347
368,351,344,344
384,56,96,0
385,78,0,57
386,78,157,57
397,356,356,356
398,357,357,357
402,371,371,371
403,353,353,353
404,352,352,352
405,12,23,158
419,6,0,0
423,25,397,397
424,134,0,0
425,61,397,25
429,489,489,489
430,490,490,490
431,397,397,397
432,484,484,484
433,424,424,424
434,425,425,425
435,401,401,401
436,468,468,468
437,498,498,498
438,470,470,470
439,390,390,390
440,479,479,479
441,388,388,388
442,440,440,440
443,475,475,475
444,485,485,485
445,439,439,439
446,452,452,452
447,398,398,398
448,483,483,483
452,487,487,487
