"ID","description","item2TypeId","objectModel","objectModelL","objectTexture0","objectTexture1","modelTextureIdObject00","modelTextureIdObject01","skinnedModel","skinnedModelL","skinnedTexture0","skinnedTexture1","modelTextureIdSkinned00","modelTextureIdSkinned01","attachedModel","modelAttachmentIdAttached","attachedTexture0","attachedTexture1","modelTextureIdAttached00","modelTextureIdAttached01","componentRegionFlags","componentPriority","skinMaskMap","skinColorMap","skinNormalMap","skinDyeMap","armorMaskMap","armorColorMap","armorNormalMap","armorDyeMap","modelMeshId00","modelMeshId01","modelMeshId02","modelMeshId03","soundImpactDescriptionId","ItemVisualTypeId","soundReplaceDescriptionId","itemColorSetId","dyeChannelFlags","modelPoseId","modelPoseBlend","shaderPreset00","shaderPreset01"
1,"WPN_Sword1H_Warrior60Cross_000",51,"Art\Item\Weapon\Sword_1Hand\Warrior_60_Cross_000\WPN_Sword1H_Warrior60Cross_000.M3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
2,"WPN_Sword1H_Warrior60RivetBig_000",51,"Art\Item\Weapon\Sword_1Hand\Warrior_60_RivetBig_000\WPN_Sword1H_Warrior60RivetBig_000.M3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
3,"WPN_Sword_2H_001_DUPLICATE",51,"Art\Item\Weapon\Sword_2Hand\Sword_2H_001\WPN_Sword2H_Generic_001.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
4,"CHR_Human_M_Hair_Brown_01",66,"","","","",0,0,"Art\Character\Human\Male\Heads\Hair_01.M3","","","",0,0,"",0,"","",0,0,28,20,"Art\Character\Human\Male\Textures\CHR_Human_M_Hair_01_Mask.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Hair_Brown_01_Color.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Hair_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
5,"CHR_Human_M_Skin_01",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,492,0,"","Art\Character\Human\Male\Textures\CHR_Human_M_Skin_01_Color.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Skin_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
6,"CHR_Human_M_Eye_Brown",64,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,256,15,"","Art\Character\Human\Male\Textures\CHR_Human_M_Eyes_Brown_Color.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Skin_01_Normal.tex","","","","","",3,0,0,0,0,0,0,0,7,0,0,0,0
7,"AMR_C_Light_005_Boot",5,"","","","",0,0,"Art\Item\Armor\Light\Light_005\AMR_Light_Light_005_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\Light\Light_005\AMR_Light005_Color.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Normal.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Dye.tex",0,0,0,0,0,0,0,0,3,0,0,0,0
8,"AMR_C_Light_005_Chest",1,"","","","",0,0,"Art\Item\Armor\Light\Light_005\AMR_Light_Light_005_Chest.M3","","","",0,0,"",0,"","",0,0,2392064,110,"","","","","","Art\Item\Armor\Light\Light_005\AMR_Light005_Color.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Normal.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
9,"AMR_C_Light_005_Gloves",6,"","","","",0,0,"Art\Item\Armor\Light\Light_005\AMR_Light_Light_005_Gloves.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Light\Light_005\AMR_Light005_Color.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Normal.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Dye.tex",0,0,0,0,0,0,0,0,5,0,0,0,0
10,"AMR_C_Light_005_Pants",2,"","","","",0,0,"Art\Item\Armor\Light\Light_005\AMR_Light_Light_005_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\Light\Light_005\AMR_Light005_Color.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Normal.tex","Art\Item\Armor\Light\Light_005\AMR_Light005_Dye.tex",0,0,0,0,0,0,0,0,1,0,0,0,0
11,"OLD_Warrior_02_Shoulders",36,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_M_002\ARMOR_Warrior_02_Shoulders.M3","","","",0,0,"",0,"","",0,0,131072,120,"","","","","","Art\Item\Armor\Warrior\Warrior_M_002\AMR_Warrior_02_Color.tex","Art\Item\Armor\Warrior\Warrior_M_002\AMR_Warrior_02_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
12,"WPN_Sword2H_Generic_001",51,"Art\Item\Weapon\Sword_2Hand\Sword_2H_001\WPN_Sword2H_Generic_001.m3","","Art\Item\Weapon\Sword_2Hand\Sword_2H_001\WPN_Sword_2H_Steel_001_Color.tex","Art\Item\Weapon\Sword_2Hand\Sword_2H_001\WPN_Sword_2H_001_Normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
